date,year,month,int,oel,cot,mis,ora,rap
2017-12-31,2017,12,10,20,20,10,8,0
2017-12-30,2017,12,0,10,13,5,18,28
2017-12-29,2017,12,0,0,0,0,0,5
2017-12-28,2017,12,0,0,0,0,0,0
2017-12-27,2017,12,0,0,0,0,0,0
2017-12-26,2017,12,10,0,0,0,20,0
2017-12-25,2017,12,0,0,0,0,0,0
2017-12-24,2017,12,0,0,0,0,0,0
2017-12-23,2017,12,25,0,0,8,28,3
2017-12-22,2017,12,10,0,0,79,18,5
2017-12-21,2017,12,20,36,23,18,38,8
2017-12-20,2017,12,0,0,0,0,0,3
2017-12-19,2017,12,0,0,0,0,0,0
2017-12-18,2017,12,0,0,0,0,0,0
2017-12-17,2017,12,0,0,0,0,0,0
2017-12-16,2017,12,0,0,0,0,0,0
2017-12-15,2017,12,0,0,0,30,0,0
2017-12-14,2017,12,0,0,3,0,0,0
2017-12-13,2017,12,0,0,0,0,0,0
2017-12-12,2017,12,0,0,0,0,0,0
2017-12-11,2017,12,0,0,0,0,0,0
2017-12-10,2017,12,0,0,0,0,0,0
2017-12-09,2017,12,0,0,0,0,0,0
2017-12-08,2017,12,0,0,0,0,0,0
2017-12-07,2017,12,15,0,5,8,0,0
2017-12-06,2017,12,0,5,0,0,5,8
2017-12-05,2017,12,0,0,10,23,0,5
2017-12-04,2017,12,58,5,0,0,46,0
2017-12-03,2017,12,0,0,0,0,0,5
2017-12-02,2017,12,0,0,0,0,0,0
2017-12-01,2017,12,0,0,0,0,0,0
2017-11-30,2017,11,0,0,0,0,0,0
2017-11-29,2017,11,0,0,0,0,0,0
2017-11-28,2017,11,0,0,0,0,0,0
2017-11-27,2017,11,0,0,0,0,0,0
2017-11-26,2017,11,0,0,0,0,0,0
2017-11-25,2017,11,0,0,0,0,0,0
2017-11-24,2017,11,0,0,0,0,0,0
2017-11-23,2017,11,0,0,0,0,0,0
2017-11-22,2017,11,18,0,0,0,0,0
2017-11-21,2017,11,0,0,0,5,0,0
2017-11-20,2017,11,0,0,0,0,0,0
2017-11-19,2017,11,0,0,0,0,0,0
2017-11-18,2017,11,0,8,25,0,0,0
2017-11-17,2017,11,13,0,0,0,0,15
2017-11-16,2017,11,0,0,0,0,0,0
2017-11-15,2017,11,0,0,0,0,0,0
2017-11-14,2017,11,0,0,0,0,0,0
2017-11-13,2017,11,0,0,0,0,0,0
2017-11-12,2017,11,0,0,0,0,0,0
2017-11-11,2017,11,0,0,0,0,0,0
2017-11-10,2017,11,0,0,0,0,0,0
2017-11-09,2017,11,0,0,0,0,0,0
2017-11-08,2017,11,0,0,3,0,0,0
2017-11-07,2017,11,0,0,0,8,0,0
2017-11-06,2017,11,25,0,0,38,0,0
2017-11-05,2017,11,0,0,0,58,0,0
2017-11-04,2017,11,0,0,0,0,0,3
2017-11-03,2017,11,0,3,0,0,5,3
2017-11-02,2017,11,109,8,0,81,152,3
2017-11-01,2017,11,0,5,0,0,0,13
2017-10-31,2017,10,0,0,0,0,0,0
2017-10-30,2017,10,0,0,0,0,0,0
2017-10-29,2017,10,0,0,0,0,0,0
2017-10-28,2017,10,0,0,0,0,0,0
2017-10-27,2017,10,5,0,0,0,0,0
2017-10-26,2017,10,25,0,0,0,0,0
2017-10-25,2017,10,0,0,0,0,0,0
2017-10-24,2017,10,0,0,0,0,0,0
2017-10-23,2017,10,0,0,0,0,0,0
2017-10-22,2017,10,0,0,0,38,0,0
2017-10-21,2017,10,0,15,38,0,0,0
2017-10-20,2017,10,0,0,0,0,0,0
2017-10-19,2017,10,0,0,0,0,0,0
2017-10-18,2017,10,0,0,0,0,0,0
2017-10-17,2017,10,0,0,0,0,0,0
2017-10-16,2017,10,0,0,0,0,0,0
2017-10-15,2017,10,20,0,137,13,28,0
2017-10-14,2017,10,0,165,33,0,33,20
2017-10-13,2017,10,0,0,0,0,0,0
2017-10-12,2017,10,0,0,0,0,0,0
2017-10-11,2017,10,0,0,0,0,0,0
