Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,AMH1a7,AMH1b6,AMH1d7,AMH1p6,AMH1v6
Amphipoda,Gammaridae,6,,GC,,,20,,
Amphipoda,Talitridae,8,,GC,42,,,1,
Ann. Oligochaeta,Naididae,8,,GC,,,,46,54
Annelida,Nematoda,5,,PA,,,,,1
Arthronod,Nematomorpha,Unk.,,PA,,1,,,
Coleoptera,Elmidae,4,,GC,11,2,4,1,11
Coleoptera,Hydrophilidae,5,,PR,,1,,,
Diptera,Ceratopogonidae,6,,PR ,,,,2,4
Diptera,Chironomidae,6,,GC,1,,8,,27
Diptera,Simuliidae,6,,FC,5,,,,
Diptera,Tabanidae,8,,PR,,,2,,
Diptera,Tipulidae,3,,SH (GC),,,,2,
Ephemeroptera,Baetidae,4,,GC,13,,12,,
Ephemeroptera,Siphlonuridae,7,,GC,,,3,,
Gastropoda,Physidae,8,,SC,2,,,,1
Hemiptera,Naucoridae,5,,PR,1,,,,
Hemiptera,Notonectdae,Unk.,,PR,,,,1,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,1,,,,
Megaloptera,Sialidae,4,,PR,,,4,,
Pelecypoda,Sphaeriidae,8,,FC,6,20,,2,4
Trichoptera,Brachycentridae,1,,GC,13,52,,1,
Trichoptera,Hydropsychidae,4,,FC,26,,45,,4
Trichoptera,Leptoceridae,4,,GC,,3,,,
Trichoptera,Limnephilidae,4,,SH,1,18,,,
Trichoptera,Odontoceridae,0,,SH,,,,,
Trichoptera,Phrygoneidae,4,,OM,,,,,1
Veneroida,Corbiculidae,3.1,,FC,,,,2,
