Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,BEA1a6,BEA1b6,BEA1d7,BEA1t6,BEA1u6
Amphipoda,Gammaridae,6,GC,,,,52,,
Amphipoda,Talitridae,8,GC,,71,2,,9,75
Annelida,Glossiphoniidae,10,PR,,1,1,,,
Annelida,Hirudinae,10,PR,,,,2,,5
Annelida,Nematomorpha,-9999,PA,,,,,22,
Annelida,Oligochaeta,10,GC,,,2,,2,44
Coleoptera,Elmidae,6,SC,Stienelmis sp. '96,,,3,4,
Coleoptera,Elmidae,4,GC,,6,3,,,35
Coleoptera,Haliplidae,7,SH/PR,,,,,,2
Decapoda,,8,SH,,,,,,5
Diptera,Athericidae,2,PR,,,,,,11
Diptera,Chironomidae,6,GC,,29,61,,265,455
Diptera,Simuliidae,6,FC,,,20,,,3
Diptera,Stratiomyidae,8,GC,,1,,,,
Ephemeroptera,Baetidae,4,GC,,6,13,6,42,151
Gastropoda,Physidae,8,SC,,,,,,4
Hemiptera,Naucoridae,5,PR,,,,2,,
Megaloptera,Sailidae,4,PR,,,,,4,
Plecoptera,Perlidae,3,PR,,,,,,2
Trichoptera,Brachycentridae,1,GC,,,,,,2
Trichoptera,Hydropsychidae,4,FC,Symphitopsyche sp. '96 ,1,4,34,12,68
Trichoptera,Hydroptilidae,4,SC,,,,,12,
Trichoptera,Leptoceridae,4,GC,,1,,,,
Trichoptera,Limnephilidae,4,SH ,,,,,,1
Trichoptera,Polycentropodidae,6,PR (FC),Polycentrous cinereus '96,,,1,,
Tricladida,Planariidae,4,PR,,,2,,,
Trombidiformes,Hydracarina,4,PR,,,,,,2
Veneroidea,Sphaeriidae,8,FC,,4,,,,6
