Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,BCR2b6,BCR2d7,BEA2t6,BEA2u6
Amphipoda,Gammaridae,6,GC,,,20,,
Amphipoda,Talitridae,8,GC,,27,,32,2
Annelida,Glossiphoniidae,8,PR,,3,,,
Annelida,Hirudinea,10,PR,,,7,,
Annelida,Oligochaeta,10,GC,,27,3,17,9
Basommatophora,Ancylidae,6,SC,,,,4,
Basommatophora,Physidae,8,SC,,,,11,
Coleoptera,Elmidae,4,GC,,1,9,5,4
Decapoda,Astacidae,8,SC,,,,2,
Decapoda,Palaemonidae,4,SC,,5,,,
Diptera,Chironomidae,6,GC,,11,,62,37
Diptera,Simuliidae,6,FC,,,,2,
Diptera,Tipulidae,3,SH (GC),,4,1,,
Ephemeroptera,Baetidae,4,GC,,2,1,1,1
Ephemeroptera,Heptageniidae,4,SC (GC),,3,1,,
Hemiptera,Hebridae,-9999,PR,,,,,2
Trichoptera,Brachycentridae,1,GC,,,10,,
Trichoptera,Hydropsychidae,4,FC,,19,46,,3
Trichoptera,Limnephilidae,4,SH,,3,2,,
Veneroida,Pisidiidae,8,FC,,,,1,
