Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,BEL1a6,BEL1b6,BEL1d8,BEL1t6,BEL1u6
Amphipoda,Gammaridae,6,GC,,,,2,,
Amphipoda,Talitridae,8,GC,,71,2,,,
Annelida,Hirudinea,10,PR,,1,,,,
Annelida,Nematomorpha,-9999,PA,,,,,2,
Annelida,Oligochaeta,10,GC,,,11,3,49,21
Basommatophora,Physidae,8,SC,,,,,1,
Coleoptera,Dryopidae,5,SC,,,,25,,
Coleoptera,Elmidae,4,GC,,6,2,1,4,3
Decapoda,Palaemonidae,4,GC,,,3,,,
Diptera,Athericidae,2,PR,,,,2,,
Diptera,Ceratopogonidae,6,PR(CG),,,,,4,
Diptera,Chironomidae,6,GC,,29,4,1,67,38
Diptera,Simuliidae,6,FC,,,,3,,
Diptera,Stratiomyidae,8,GC,,1,,,,
Ephemeroptera,Baetidae,4,GC,,6,1,1,,1
Ephemeroptera,Heptageniidae,4,SC (CG),,,59,9,5,4
Ephemeroptera,Oligoneuriidae,2,FC,,,2,15,,
Ephemeroptera,Tricorythidae,5,GC,,,1,3,11,
Gastropoda,Ancylidae,6,SC,,,,,2,
Odonata,Calopterygidae,5,PR,,,,2,,
Odonata,Gomphidae,1,PR,,,1,2,,
Plecoptera,Perlodidae,2,PR/GC/SC,,,1,,,
Trichoptera,Brachycentridae,1,GC,,,2,13,2,
Trichoptera,Hydropsychidae,4,FC,,1,1,18,6,20
Trichoptera,Hydroptilidae,4,OM,,,,,2,
Trichoptera,Leptoceridae,4,GC,,1,,,,
Trombidiformes,Hydracarina,4,PR,,,,,1,
Veneroidea,Sphaeriidae,8,FC,,4,,,,
