Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,BEL2b6,BEL2d8,BEL2t6,BEL2u6
Acari,Lebertiidae,8,Lebertia sp. In 1994,PR,5,,,
Amphipoda,Talitridae,8,,GC,,,,
Annelida,Hirudinea sub-class,10,,PR,,,,
Annelida,Oligochaeta,10,,GC,,8,14,14
Coleoptera,Dytiscidae,5,,PR,,1,,
Coleoptera,Elmidae,4,,GC,,,,
Diptera,Ceratopogonidae,6,Culicoides sp. In 1993,PR (CG),21,1,,
Diptera,Chironomidae,6,,GC,,19,50,59
Diptera,Simuliidae,6,,FC,,,76,11
Diptera,Tabanidae,8,,PR,,1,,
Diptera,Tipulidae,3,,SH (GC),,1,,
Ephemeroptera,Baetidae,4,,GC,2,,1,
Ephemeroptera,Heptageniidae,4,,SC (CG),32,15,,
Ephemeroptera,Leptophlebiidae,5,,GC,23,,,
Ephemeroptera,Oligoneuriidae,2,,FC,2,,,
Ephemeroptera,Tricorythidae,5,,GC,,6,,
Gastropoda,Planorbidae,7,,SC,,,,
Hemiptera,Belostomatidae,9.8,from Belostoma,PR,,1,,
Hemiptera,hebridae,-9999,,PR,,,,1
Hemiptera,Naucoridae,5,,PR,2,,,
Hemiptera,Notonectdae,-9999,Undetermined,PR,,3,,
Odonata,Calopterygidae,5,,PR,,9,,
Odonata,Coenagrionidae,6,,PR,,1,,
Odonata,Gomphidae,1,,PR,,6,,
Pelecypoda,Sphaeriidae,8,,FC,,,,
Trichoptera,Glossosomatidae,0,,SC,,1,,
Trichoptera,Hydropsychidae,4,(Variable),FC,5,23,,
Trichoptera,Limnephilidae,4,,SH,,,,
Trichoptera,Rhyacophilidae,0,,PR,,1,,
