Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,BLC1a6,BLC1b6,BLC1d8
Ephemeroptera,Baetidae,4,,GC,6,1,1
Eph. Baetidae,Acentrella sp.,4,,GC,,,
Ephemeroptera,Caenidae,7,,GC,,,
Eph. Caenidae,   Caenis latipennis,7,,GC,,,
Eph. Caenidae,   Caenis sp.,7,,GC,,,
Ephemeroptera,Ephemeridae,4,,GC,,,
Ephemeroptera,Ephemerellidae,1,,GC,,,
Ephemeroptera,Heptageniidae,4,,SC (CG),,59,9
Ephemeroptera,Leptophlebiidae,5,,GC,,,
Ephemeroptera,Oligoneuriidae,2,,FC,,2,15
Ephemeroptera,Polymitoreyidae,2,,GC,,,
Ephemeroptera,Siphlonuridae,7,,GC,,,
Ephemeroptera,Tricorythidae,5,,GC,,1,3
Eph. Tricorythidae,   Tricorythodes sp.,5,,GC,,,
Trichoptera,Brachycentridae,1,,GC,,2,13
Trichoptera,Glossosomatidae,0,,SC,,,
Trichoptera,Helicopsychidae,3,,SC,,,
Trichoptera,Hydropsychidae,4,(Variable),FC,1,1,18
Tri. Hydropsychidae,Cheumatopsyche sp.,5,,FC,,,
Tri. Hydropsychidae,Symphitopsyche ,4,(from family level),FC,,,
Tri. Hydropsychidae,Hydropsyche betteni,6,,FC,,,
Tri. Hydropsychidae,Hydropsyche morosa,4,(from subfamily level),FC,,,
Trichoptera,Hydroptilidae,4,,OM,,,
Tri. Hydroptilidae,Hydroptila sp.,6,,SC,,,
Trichoptera,Ithytrichia sp.,6,(from Orthotricia),SC,,,
Trichoptera,Leptoceridae,4,,GC,1,,
Trichoptera,Limnephilidae,4,,SH,,,
Trichoptera,Limnephilus sp.,5,,SH (GC),,,
Trichoptera,Nectopsyche sp.,3,,SH/GC,,,
Trichoptera,Odontoceridae,0,,SH,,,
Trichoptera,Oecetis sp.,8,,PR,,,
Trichoptera,Phrygoneidae,5,,SH/PR,,,
Trichoptera,Polycentropodidae,4,Averaged from genus,GC/PR,,,
Tri. Polycentropodidae,Poly. Polycentrous cinereus,6,,PR (FC),,,
Trichoptera,Ryacophilidae,1,Averaged from genus,,,,
Plecoptera,Perlodidae,2,,PR/GC/SC,,1,
Plecoptera,Isoperla sp.,2,,PR/GC,,,
Plecoptera,Pteronorcydae,2,Averaged from genus,SC,,,
Plecoptera,Perlidae,1,,PR,,,
Plecoptera,Taeniopterygidae,2,,SH/GC/SC,,,
Odonata,Aeshnidae,3,,PR,,,
Odonata,Coenagrionidae,6,,PR,,,
Odo. Coenagrionidae,Coenagrion/Enallagma sp.,9,,PR,,,
Odo. Coenagrionidae,Argia sp.,6,Averaged from regional,PR,,,
Odonata,Corduliidae,2,,PR,,,
Odonata,Calopterygidae,5,,PR,,,2
Odonata,Gomphidae,1,,PR,,1,2
Odonata,Gom. Hagenius,1,blank,,,,
Odonata,Lestidae,9,From Guide to Mongolia,PR,,,
Odonata,Libellulidae,9,,PR,,,
Odonata,Petaluridae,5,From PA State DENR,,,,
Hemiptera,Naucoridae,5,,PR,,,
