Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,BLP1a7,BLP1b7,BLP1d8,BLP1r6,BLP1t,BLP1u6
Amphipoda,Talitridae,8,GC,,10,15,,,,
Annelida,Nematomorpha,-9999,PA,,,,,,,3
Annelida,Oligochaeta,10,GC,,,,,8,,
Basommatophora,Physidae,8,SC,Class: Gastropoda,17,,,4,8,
Coleoptera,Dytiscidae,5,PR,,,,,,2,4
Coleoptera,Elmidae,4,GC,,11,1,9,5,1,
Coleoptera,Haliplidae,7,?,,,,,,6,
Diptera,?,,,,,,,,,
Diptera,Chironomidae,6,GC,,6,,,11,,80
Diptera,Tipulidae,3,SH (GC),,1,,1,3,,1
Ephemeroptera,Baetidae,4,GC,,,,1,6,,2
Ephemeroptera,Heptageniidae,4,SC (CG),,,,,1,,
Ephemeroptera,Tricorythidae,5,GC,,,,,2,,3
Hemiptera,?,,,,,,,,,
Hemiptera,Naucoridae,5,PR,,,,2,,1,
Hemiptera,notonectidae,,PR,,,,,,141,
Hirudinida,Hirudinidea,7,PR,,4,,,,,
Megaloptera,Sialidae,4,PR,,4,,,,,3
Odonata,Aeshnidae,3,PR,,,1,,,,
Odonata,Calopterygidae,5,PR,,1,,4,,,
Odonata,Gomphidae,1,PR,,7,5,,2,,1
Pulmonata,Planorbidae,7,SC,,,,,,,
Trichoptera,Brachycentridae,1,FC,,75,79,79,67,,5
Trichoptera,Helicopsychidae,3,SC,,4,,,1,,
Trichoptera,Hydropsychidae,4,FC,,3,1,1,,,
Tricladida,Planariidae,4,PR,,,,3,,,
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,6,,,3,,1
