Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,BUZ1a7,BUZ1d8,BUZ1r6,BUZ1u6
Amphipoda,Gammaridae,6,GC,,,28,,
Amphipoda,Talitridae,8,GC,,72,,93,
Annelida,Nematomorpha,-9999,PA,,,6,,
Annelida,Oligochaeta,10,GC,,,,3,8
Basommatophora,Physidae,8,SC,Class: Gastropoda,7,,3,27
Basommatophora,Planorbidae,8,SC,Class: Gastropoda,,,1,10
Coleoptera,Dytiscidae,5,PR,,,,,1
Coleoptera,Elmidae,4,GC,,,4,,
Coleoptera,Haliplidae,7,SH/PR,2 adults included in this count,3,,,7
Coleoptera,Hydrophilidae,5,PR,,,2,,
Decapoda,Palaemonidae,4,SC,,2,,,
Diptera,Ceratopogonidae,6,PR (GC),,,1,,
Diptera,Chironomidae,6,GC,,18,3,22,34
Diptera,Culicidae,8,GC,,,2,,
Diptera,needs a look,,,,,,,1
Diptera,Tipulidae,3,SH (GC),,,1,,
Ephemeroptera,Baetidae,4,GC,,66,,2,
Ephemeroptera,Caenidae,7,GC,,,2,,
Hemiptera,Corixidae,10,PR,,,,2,
Hemiptera,needs a look,,,,,,,1
Hemiptera,Notonectidae,-9999,PR,,,,,1
Hirudinida,Hirudinidae,7,PR,,,5,,
Megaloptera,Sialidae,4,PR,,,6,,
Nematoda,,-9999,PA,,,,,4
Odonata,Coenagrionidae,6,PR,,,2,,
Plecoptera,Perlodidae,2,PR,,,,8,
Trichoptera,Hydropsychidae,4,FC,,,38,1,
Trichoptera,Hydroptilidae,4,OM,,,,1,
Veneroida,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,,,8,4
