Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,CHR1b7,CHR1d8,CHR1s6
Annelida,Oligochaeta,5,GC,,,2,4
Coleoptera,Amphizoidae,1,PR,,,,1
Coleoptera,Elmidae,4,GC,,,4,3
Coleoptera,Hydrophilidae,5,PR,,,1,
Diptera,Chironomidae,6,GC,,1,,3
Diptera,Simuliidae,6,FC,,,1,
Ephemeroptera,Baetidae,4,GC,,1,6,27
Ephemeroptera,Heptageniidae,4,SC (CG),,10,,47
Ephemeroptera,Leptophlebiidae,5,GC,,4,16,
Ephemeroptera,Polymitoreyidae,2,GC,,5,,
Ephemeroptera,Siphlonuridae,7,GC,,,,2
Ephemeroptera,Tricorythidae,5,GC,,25,15,1
Hemiptera,Naucoridae,5,PR,,8,6,
Odonata,Gomphidae,1,PR,,,5,
Plecoptera,Perlidae,1,PR,,,,8
Trichoptera,Helicopsychidae,3,SC,,45,,5
Trichoptera,Hydropsychidae,4,FC,,,,3
Trichoptera,Hydroptilidae,4,SC,,,37,
