Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,COR1b7,COR1d7,COR1u6
Amphipoda,Gammaridae,6,,GC,,62,
Amphipoda,Talitridae,8,,GC,77,,
Annelida,Oligochaeta,10,,GC,2,5,6
Coleoptera,Dytiscidae,5,,PR,,,1
Coleoptera,Elmidae,4,,GC,3,6,1
Decapoda,Cambaridae,6,,GC,,,3
Diptera,Ceratopogonidae,6,,PR (CG),,2,3
Diptera,Chironomidae,6,,GC,6,1,51
Diptera,Simuliidae,6,,FC,,,11
Diptera,Stratiomyidae,8,,GC,,1,
Diptera,Tabanidae,8,,PR,,1,
Ephemeroptera,Baetidae,4,,GC,1,2,
Ephemeroptera,Heptageniidae,4,,SC (CG),,1,
Hemiptera,Corixidae,10,,PR,,10,3
Hemiptera,Saldidae,10,,PR,,,1
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,2,,
Megaloptera,Sialidae,4,,PR,,1,
Nematodes,,-9999,,PA,,,11
Odonata,Coenagrionidae,6,,PR,,1,
Trichoptera,Hydropsychidae,4,(Variable),FC,2,,1
