Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,CRA1a6,CRA1b6,CRA1d8,CRA1t6,CRA1u6
Amphipoda,Gammaridae,6,,GC,,,43,,
Amphipoda,Talitridae,8,,GC,7,94,,3,9
Annelida,Hirudinae,10,,PR,,,,,4
Annelida,Nematomorpha,-9999,,PA,,,,,1
Annelida,Oligochaeta,10,,GC,,,,,7
Coleoptera,Dytiscidae,5,,PR,1,,,,
Coleoptera,Elmidae,4,,GC,6,,18,14,36
Coleoptera,Hydrophilidae,5,,PR,2,,,,
Diptera,Ceratopogonidae,6,,PR(CG),,,,,1
Diptera,Chironomidae,6,,GC,7,,2,6,22
Diptera,Simuliidae,6,,FC,2,,,6,9
Diptera,Tabanidae,8,,PR,1,,,,
Ephemeroptera,Baetidae,4,,GC,121,,11,139,13
Ephemeroptera,Caenidae,7,,GC,7,,,,
Ephemeroptera,Ephemeridae,4,,GC,,,2,,
Ephemeroptera,Tricorythidae,5,,GC,3,,,1,14
Gastropoda,Physidae,8,,SC,,,,1,9
Hemiptera,Naucoridae,5,,PR,1,,,,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,2,,2,,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,,2,,,
Odonata,Gomphidae,1,,PR,,,2,,
Platyhelminthes,Platyhelminthes,-9999,Undetermined,,,,12,,
Trichoptera,Hydropsychidae,4,(Variable),FC,,,3,6,
Trombidiforms,Hydracarina,4,,PR,,,,,2
Veneroida,Sphaeriidae,8,,FC,,,,1,
