Sort,Latitude,Longitude,Sample Sites,Flow (cfs),Year,High_Low,Notes,DATE,TIME,D'/W',Depth(ft),Width(ft),Temp_C,Temp_F,pH,COND.,DO,TURB.,NH3,Hardness,Ca,Mg,Na,K,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,TSS,
457,43.232525,102.3023972,Porcupine Creek I,NA,1993,H,NA,6/10/93,8:00am,1.5'/---,1.5,,15,59,8.21,310,1.31,,,,,,32,,219,4,0.36,26,0.2,0.012,0.09,0.125,0,0.166,,0.018,0,0.24,0,0.05,0,0,0,0,0.11,,,,,,
458,43.232525,102.3023972,Porcupine Creek I,NA,1993,L,NA,11/18/93,,"1'2""/15'",1.2,15,3.6,38.48,8.31,274,12.47,6.64,,,,,40,,210,4,0.32,25,0.49,0,0.026,0.045,0,0.1,0.006,0.012,0,0.13,0,0.05,0,0,0,0,0.22,,,,,,
459,43.232525,102.3023972,Porcupine Creek I,NA,1994,H,date = e,6/21/94,,,,,NA,NA,,,,,,,,,35,,224,16,0.32,36,0.27,0,0.005,0.125,0,0.14,0.012,,0,0.44,0.01,0.08,0,,,,0.07,,,,,,
460,43.232525,102.3023972,Porcupine Creek I,NA,1994,L,NA,,,,,,,,,,,,,,,,32,,204,13,0.32,28,0.25,0,0.046,0.076,0,0.13,0.015,,0,0.14,0.012,0,0.0003,,,,0.05,,,,,,
461,43.232525,102.3023972,Porcupine Creek I,NA,1995,H,NA,5/4/95,12:30pm,1.7'/10.5',1.6,10.5,13,55.4,9.02,51.9,10.13,38.3,,,,,39,,224,7,0.31,30,0,0,0.019,0.038,0,0.152,0,,0,0,0,0,0.0004,,,,0.014,,,,,,
462,43.232525,102.3023972,Porcupine Creek I,NA,1995,L,NA,10/3/95,9:38am,"1'8""/16'2""",1.7,16.2,7.4,45.32,7.07,518,6.46,3.63,,,,,32,,210,9,0.26,27,0,0,0.07,0.07,0,0.13,0,,0,0.07,0,0,0.0004,,,,0,,,,,,
463,43.232525,102.3023972,Porcupine Creek I,NA,1996,H,NA,6/13/96,10:10am,"1'4""/14'",1.3,14,19.1,66.38,8.55,497,10.99,13.35,,,,,35,,210,4,0.3,32,0.14,0.02,0.18,0.18,0.005,0.153,0,,0,0.29,0,0.07,0.0002,,,,0.032,,,,,,
464,43.232525,102.3023972,Porcupine Creek I,NA,1996,L,NA,10/31/96,12:15pm,"1'1""/21'",1.1,21,1.62,34.916,9.46,627,1.97,5.5,,,,,41,,228,5,0.3,43,0.5,0,0.14,0.14,0,0.172,0,,0.013,0.18,0,0,0.0004,,,,0.037,,,,,,
465,43.232525,102.3023972,Porcupine Creek I,NA,1997,H,NA,6/6/97,10:17am,"1'9""/13'7""",1.8,13.7,17.93,64.274,7.68,1,3.42,141,,,,,42,,212,3,0.25,58,0.52,0.52,0.46,0.38,0.005,0.2,0,0,0,3.4,0.005,0.19,0.0004,0,,0,0,,,,,,
466,43.232525,102.3023972,Porcupine Creek I,NA,1997,L,NA,9/25/97,12:40pm,"1'/11'1""",1,11.1,12.78,55.004,8.63,487,4.57,13.8,,,,,42,,232,4,0.31,31,0.63,0,0.04,0.06,0,0.12,0,0,0,1.7,0.006,0.06,0,0,,0,0,,,,,,
467,43.232525,102.3023972,Porcupine Creek I,NA,1998,H,NA,,,,,,,,,,,,,,,,31,,186,18,0.37,29,0.24,0.24,0,0,0,0,0,0,0,0.34,0,0.06,0,0,,0,0,,,,,,
469,43.232525,102.3023972,Porcupine Creek I,NA,1999,H,NA,8/23/99,1:45pm,"6""/8'",0.5,8,18.78,65.804,7.65,467,9.07,12,,,,,27,,206,2,0.6,34,0,0.53,0.11,0.12,0,0.12,0,0,0,0.32,0,0.02,0,0,0,0,0,,,,,,
