Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,EAN1b7,EAN1d8,EAN1t6,EAN1u6
Annelida,Nematomorpha,-9999,PA,,,,4,
Annelida,Oligochaeta,10,GC,,,,5,16
Anthomedusae,Hydridae,?,?,,,,4,
Basommatophora,Planorbidae,7,SC,,,,3,
Bilvalvia,Sphaeriidae,8,FC,,,,,3
Col. Elmidae,Elmid. Stienelmis,6,SC,,,2,,
Coleoptera,Dryopidae,5,SH,,,,,1
Coleoptera,Elmidae,4,GC,,,,3,
Coleoptera,Hydrophilidae,5,PR,,1,,,
Dip. Simuliidae,Simulium sp.,6,FC,,,9,,
Diptera,Athericidae,2,nd,,14,16,,
Diptera,Ceratopogonidae,6,PR(CG),,,,3,
Diptera,Chironomidae,6,GC,,,,128,95
Diptera,Dicranota sp.,3,PR,,4,,,
Diptera,Dolichopodidae,4,PR,,,1,,
Diptera,Sciomyzidae,6,PR,,17,,,
Diptera,Tabanidae,8,PR,,61,13,,
Ephemeroptera,Caenidae,7,GC,,,25,1,
Ephemeroptera,Heptageniidae,4,SC(CG),,1,,,
Gas. Planorbidae,Ferrissia sp.,7,FC,,1,,,
Gastropoda,Physidae,8,SC,,,,4,5
Hemiptera,Belostomatidae,9.8,PR,,2,4,,
Hemiptera,Pleidae,-9999,PR,,1,,,
megaloptera,corydalidae,0,PR,,,,1,
Nematoda,,-9999,PA,,,,86,1
Odonata,Lestidae,9,PR,,,,14,
Plecoptera,Perlidae,1,PR,,,10,,
Rhynchobdellida,piscicolidae,?,?,,,,5,
Trichoptera,Hydropsychidae,4,FC,,10,24,1,
Trombidiformes,Hydracarina,4,PR,,,,3,
