Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,LON1b7,LON1u6
Annelida,Oligochaeta,10,GC,,,31
Annelida,Oligochaeta,10,GC,,1,
Arthronod/ worm like,Nematomorpha,,PA,,1,
Coleoptera,Dytiscidae,5,PR,,,1
Coleoptera,Elmidae,4,GC,,,12
Coleoptera,Elmidae,4,GC,,1,
Diptera,Ceratogonidae,6,PR (CG),,,1
Diptera,Chironomidae,6,GC,,10,121
Diptera,Dixidae,1,GC,,,1
Diptera,Tabanidae,8,PR,,1,
Ephemeroptera,Baetidae,4,GC,,,4
Ephemeroptera,Caenidae,7,GC,,2,
Gastropoda,Physidae,8,SC,,1,
Hemiptera,Hebridae,-9999,PR,,,1
Hemiptera,Naucoridae,5,PR,,8,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,PR,,,1
Megaloptera,Sialidae,4,PR,,31,
Odonata,Aeshnidae,3,PR,,16,
Odonata,Calopterygidae,5,PR,,1,
Odonata,Coenagrionidae,6,PR,,4,
Trichoptera,Hydropsychidae,4,FC,,,14
Trichoptera,Hydropsychidae,4,FC,,33,
Trichoptera,Tricorythidae,4,GC,,,9
Trombidforms,Halacaridae,-9999,PR,,,1
Trombidforms,Hydracarina,4,PR,,,10
Unknown in the data,Unknown,-9999,N/A,,,6
