Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,LWR1a6,LWR1b5,LWR1d8,LWR1r6,LWR1s7,LWR1s7(2),LWR1t6,LWR1v6
Amphipoda,Gammaridae,6,GC,,,,5,,,,,
Amphipoda,Talitridae,8,GC,,,,,2,41,21,21,
Annelida,Nematomorpha,-9999,PA,,,,,,,1,3,
Annelida,Oligochaeta,8,GC,Naididae (Family),,12,17,2,,,,
Annelida,Oligochaeta,10,GC,,,,2,,,,17,1
Basommatophora,Lymnaeidae,6.5,SC,Class: Gastropoda,,,,1,,,,
Basommatophora,Physidae,8,SC,Class: Gastropoda,,1,,2,,,1,
Basommatophora,Planorbidae,7,SC,Class: Gastropoda,,,,,,1,,
Bivalvia,Sphaeriidae,8,FC,,,,,,,,,6
Coleoptera,Dryopidae,5,SC,Adult,,,1,,,,,
Coleoptera,Dytiscidae,5,PR,,,,,,,,4,
Coleoptera,Elmidae,4,GC,,,,,6,,9,3,1
Coleoptera,Hydrophilidae,5,PR,,,,1,,1,1,,
Coleoptera,Ptilodactylia,5,SH,,,1,,,,,,
Crustacea,Conchostraca,8,GC,,,,,,,,2,
Crustacea,Copepoda,8,GC,,,,,,,,1,
Diptera,Ceratopogonidae,6,PR (CG),,87,44,,,,,,
Diptera,Chironomidae,6,GC,2011 -1 pupae,,,8,25,28,36,31,36
Diptera,Culicidae,10,PR (GC),Culicoides sp.,,,1,,,,,
Diptera,Culicidae,8,GC,,,,3,,,,,
Diptera,Ephydridae,6,OM,,,,,3,,,,
Diptera,Simuliidae,6,FC,,107,25,,107,13,18,19,
Diptera,Tipulidae,3,SH,,,,,1,,,,
Ephemeroptera,Baetidae,4,GC,,,,2,,16,,1,6
Ephemeroptera,Caenidae,7,GC,,,,,,,6,,
Ephemeroptera,Ephemeridae,4,GC,,,,,,,,1,
Ephemeroptera,Heptageniidae,4,SC,,,,,,,,,32
Ephemeroptera,Polymitarcidae,2,GC,,,,,,,,,
Ephemeroptera,Tricorythidae,5,GC,,,,2,,,,,2
Hemiptera,Corixidae,10,PR,,,,,1,,,13,
Hemiptera,Naucoridae,5,PR,,,,2,,,,,
Hemiptera,Notonectidae,-9999,PR,Undetermined values,,1,,,,1,,
Hirudinida,Glossiphoniidae,8,PR,,,10,,,,,,
Hirudinida,Hirudinidae,7,PR,,12,,,,,,,
Lepidoptera,Pyralidae,5,SH,,,1,,,,,,
Odonata,Calopterygidae,5,PR,,,,3,,,,,
Odonata,Coenagrionidae,6.9,PR,,,,,,3,4,,
Trichoptera,Brachycentridae,1,FC,,,,4,,,,,
Trichoptera,Hydropsychidae,4,FC,,,,50,17,1,1,,
Trichoptera,Leptoceridae,4,GC,,,,,,,,,1
Veneroida,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,,,,,2,1,,
