Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,LWR2a6,LWR2d7,LWR2s7,LWR2t6(a),LWR2t6(b),LWR2v6
Amphipoda,Gammaridae,6,,GC,,,4,,,
Amphipoda,Talitridae,8,,GC,,,,,1,
Annalida,Nematomorpha,-9999,,PA,,,,,,1
Annalida,Oligochaeta,10,,GC,,,2,5,,13
Coleoptera,Elmidae,4,4 adults in 2011,GC,,2,12,,1,4
Coleoptera,Hydrophilidae,5,,PR,,,,2,,
Decapoda,Astacidae,8,,SC,,,2,,,
Decapoda,Cambaridae,-9999,Undetermined,GC,,5,,,,
Decapoda,Palaemonidae,,,,,,,2,,
Diptera,Athericidae,2,,PR,,,2,,,
Diptera,Ceratopogonidae,5.7,,PR,,,,1,1,
Diptera,Chironomidae,6,,GC,7,4,12,12,4,7
Diptera,Ephydridae,6,,GC,,,,2,,
Diptera,Simulidae,6,,FC,,,2,4,2,
Ephemeroptera,Baetidae,4,,GC,,1,23,26,44,19
Ephemeroptera,Caenidae,7,,GC,,,44,5,11,
Ephemeroptera,Ephemeridae,4,,GC,3,8,,2,,
Ephemeroptera,Heptageniidae,4,,SC (CG),13,7,26,39,28,11
Ephemeroptera,Leptophlebiidae,5,,GC,,4,,,,
Ephemeroptera,Oligoneuriidae,2,,FC,,5,18,,1,2
Ephemeroptera,Polymitarcidae,2,Sp = Ephoron,GC,,,5,2,1,34
Ephemeroptera,Siphlonuridae,7,,GC,,36,9,9,,
Ephemeroptera,Tricorythidae,5,,GC,,1,,,,
Ephemeroptera,Unclassified,NA,,NA,,,5,,,
Hemiptera,Corixidae,10,,PR,,1,,,,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,,1,,,,
Odonata,Calopterygidae,5,,PR,,,4,,,
Odonata,Gomphidae,1,1996 sp = hagenius,PR,5,3,,,,
Pelecypoda,Sphaeriidae,8,,FC,15,8,,,,
Trichoptera,Brachycentridae,1,,FC,,,3,1,2,1
Trichoptera,Hydropsychidae,4,(Variable),FC,18,24,6,12,22,2
Trichoptera,Hydroptilidae,4,,,,,,1,,
Trichoptera,Leptoceridae,4,,GC,,,2,3,7,
Trichoptera,Limnephilidae,4,,SH,4,,,,,
