Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,LWR4a6,LWR4d7,LWR4s8,LWR4t6
Annelida,Nematomorpha,-9999,PA,,,,1,
Annelida,Oligochaeta,10,GC,,,1,,27
Cladocera,Mionidae,,,,,,,
Coleoptera,Dytiscidae,5,PR,,,,,1
Coleoptera,Elmidae,4,GC,,2,1,7,8
Coleoptera,Helodidae,,,,,,,
Collembola,Isotomidae,,OM,,,,,1
Diptera,Athericidae,2,PR,,,1,2,1
Diptera,Ceratopogonidae,5.7,PR,,,,,4
Diptera,Chironomidae,6,GC,,,6,7,97
Diptera,Simuliidae,6,FC,,1,,48,6
Diptera,Syrphidae,10,GC,,,,,
Ephemeroptera,Baetidae,4,GC,,,,32,7
Ephemeroptera,Caenidae,7,GC,,,51,33,54
Ephemeroptera,Ephemerellidae,1,GC,,,,,1
Ephemeroptera,Ephemeridae,4,GC,,,5,,
Ephemeroptera,Heptageniidae,4,SC (CG),,26,2,3,
Ephemeroptera,Leptophlebiidae,1,GC,Paraleptophlebia sp.,,,1,
Ephemeroptera,Oligoneuriidae,2,FC,,4,7,,
Ephemeroptera,Tricorythidae,4,GC,Tricorythodes sp. (1996),,11,21,4
Gastropoda,,7.5,SC,,,,1,
Hemiptera,Gerridae,5,PR,,,,,
Lepidoptera,Pyralidae,5,SH,,,,,1
Odonata,Calopterygidae,5,PR,,2,,,
Odonata,Gomphidae,1,PR,,10,3,2,1
Plecoptera,Perlidae,1,PR,,,3,1,3
Plecoptera,Pteronarcyidae,0,SC,,1,,,
Trichoptera,Brachycentridae,1,GC,,1,,,
Trichoptera,Hydropsychidae,4,FC,,,9,3,
Trichoptera,Hydroptilidae,4,SC,,,,,3
Trichoptera,Leptoceridae,4,GC,,1,,3,1
