Reset,Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,LWR4b7,LWR4d7
14,Ephemeroptera,Baetidae,4,,GC,,
15,Eph. Baetidae,Acentrella sp.,4,,GC,,
16,Ephemeroptera,Caenidae,7,,GC,,51
17,Eph. Caenidae,   Caenis latipennis,7,,GC,,
18,Eph. Caenidae,   Caenis sp.,7,,GC,,
19,Ephemeroptera,Ephemeridae,4,,GC,,5
20,Ephemeroptera,Ephemerellidae,1,,GC,,
21,Ephemeroptera,Heptageniidae,4,,SC (CG),26,2
22,Ephemeroptera,Leptophlebiidae,5,,GC,,
23,Ephemeroptera,Oligoneuriidae,2,,FC,4,7
24,Ephemeroptera,Polymitoreyidae,2,,GC,,
25,Ephemeroptera,Siphlonuridae,7,,GC,,
26,Ephemeroptera,Tricorythidae,5,,GC,,
27,Eph. Tricorythidae,   Tricorythodes sp.,5,,GC,,11
28,Trichoptera,Brachycentridae,1,,GC,1,
29,Trichoptera,Glossosomatidae,0,,SC,,
30,Trichoptera,Helicopsychidae,3,,SC,,
31,Trichoptera,Hydropsychidae,4,(Variable),FC,,9
32,Tri. Hydropsychidae,Cheumatopsyche sp.,5,,FC,,
33,Tri. Hydropsychidae,Symphitopsyche ,4,(from family level),FC,,
34,Tri. Hydropsychidae,Hydropsyche betteni,6,,FC,,
35,Tri. Hydropsychidae,Hydropsyche morosa,4,(from subfamily level),FC,,
36,Trichoptera,Hydroptilidae,4,,OM,,
37,Tri. Hydroptilidae,Hydroptila sp.,6,,SC,,
38,Trichoptera,Ithytrichia sp.,6,(from Orthotricia),SC,,
39,Trichoptera,Leptoceridae,4,,GC,1,
40,Trichoptera,Limnephilidae,4,,SH,,
41,Trichoptera,Limnephilus sp.,5,,SH (GC),,
42,Trichoptera,Nectopsyche sp.,3,,SH/GC,,
43,Trichoptera,Odontoceridae,0,,SH,,
44,Trichoptera,Oecetis sp.,8,,PR,,
45,Trichoptera,Phrygoneidae,5,,SH/PR,,
46,Trichoptera,Polycentropodidae,4,Averaged from genus,GC/PR,,
47,Tri. Polycentropodidae,Poly. Polycentrous cinereus,6,,PR (FC),,
48,Trichoptera,Ryacophilidae,1,Averaged from genus,,,
49,Plecoptera,Perlodidae,2,,PR/GC/SC,,
50,Plecoptera,Isoperla sp.,2,,PR/GC,,
51,Plecoptera,Pteronorcydae,2,Averaged from genus,SC,1,
52,Plecoptera,Perlidae,1,,PR,,3
53,Plecoptera,Taeniopterygidae,2,,SH/GC/SC,,
54,Odonata,Aeshnidae,3,,PR,,
55,Odonata,Coenagrionidae,6,,PR,,
56,Odo. Coenagrionidae,Coenagrion/Enallagma sp.,9,,PR,,
57,Odo. Coenagrionidae,Argia sp.,6,Averaged from regional,PR,,
58,Odonata,Corduliidae,2,,PR,,
59,Odonata,Calopterygidae,5,,PR,2,
60,Odonata,Gomphidae,1,,PR,10,3
61,Odonata,Gom. Hagenius,1,blank,,,
62,Odonata,Lestidae,9,From Guide to Mongolia,PR,,
63,Odonata,Libellulidae,9,,PR,,
64,Odonata,Petaluridae,5,From PA State DENR,,,
65,Hemiptera,Naucoridae,5,,PR,,
66,Hemiptera,Belostomatidae,9.8,from Belostoma,PR,,
67,Hemiptera,Corixidae,10,,PR,,
68,Hemiptera,Hydrometridae,10,From UMN.edu,,,
69,Hemiptera,Macroveliidae,6,"From ""Somewhat Tolerant"" google",,,
70,Hemiptera,Notonectdae,-9999,Undetermined,PR,,
71,Hemiptera,Pleidae,-9999,Undetermined,PR,,
72,Hemiptera,Valiidae,-9999,Undetermined,,,
73,Hymenoptera,Heloridae,-9999,Undetermined,,,
74,Coleoptera,Dryopidae,5,From Guide to Mongolia,,,
75,Coleoptera,Dytiscidae,5,,PR,,
76,Col. Dystiscidae,Laccophilus sp.,6.5,Averaged from regional,PR,,
77,Coleoptera,Elmidae,4,,GC,2,1
78,Col. Elmidae,Dubiraphia sp.,4,,GC,,
79,Col. Elmidae,Elmid. Stienelmis,6,,SC,,
80,Coleoptera,Haliplidae,7,,SH/PR,,
81,Coleoptera,Hydraenidae,8,Averaged from genus,,,
82,Coleoptera,Hydrophilidae,5,,PR,,
83,Coleoptera,Macronychus glabratus,4,,GC,,
84,Coleoptera,Psephenidae,4,,,,
85,Coleoptera,Ptilodactylia,5,,SH,,
86,Coleoptera,Staphylinidae,8,,PR,,
87,Coleoptera,Microcylloepus sp.,4,,GC,,
88,Megaloptera,Sialidae,4,,PR,,
89,Megaloptera,Corydalidae,0,,PR,,
90,Lepidoptera,Pyralidae,5,,SH,,
91,Diptera,Athericidae,2,From North Dakota Digital Key,nd,,1
92,Diptera,Atherix sp.,2,,PR,,
93,Diptera,Cecidumyiidae,6,From North Dakota Digital Key,nd,,
94,Diptera,Ceratopogonidae,6,,PR (CG),,
95,Dip. Ceratopogonidae,Bezzia/Palpomyia sp.,6,,GC,,
96,Dip. Ceratopogonidae,Dasyhelea sp.,6,,GC/SC,,
97,Dip. Ceratopogonidae,Probezzia sp.,6,,PR,,
98,Dip. Ceratopogonidae,Mallochohelea sp.,6,,PR,,
99,Diptera,Chironomidae,6,,GC,,6
100,Dip. Chironomidae,Chironomus sp.,10,,GC,,
101,Dip. Chironomidae,Cladotanytarsus sp.,7,,GC,,
102,Dip. Chironomidae,Dicrotendipes sp.,8,,GC,,
103,Dip. Chironomidae,Cryptochironomus sp.,8,,PR,,
104,Dip. Chironomidae,Glyptotendipes sp.,6.2,,SH/GF/GC,,
105,Dip. Chironomidae,Labrundinia sp.,3.8,,PR,,
106,Dip. Chironomidae,Lopescladius sp.,6,,GC,,
107,Dip. Chironomidae,Micropsectra sp.,3.5,,GC,,
108,Dip. Chironomidae,Odontomesa sp.,7,,GC,,
109,Dip. Chironomidae,Orthocladius Complex,6,,GC,,
110,Dip. Chironomidae,Parakiefferiella sp.,6,,GC,,
111,Dip. Chironomidae,Paralauterborniella nigrohalteralis,6,,SH,,
112,Dip. Chironomidae,Polypedilum sp.,6,,SH,,
113,Dip. Chironomidae,Paratendipes sp.,8,,GC,,
114,Dip. Chironomidae,Pentaneurini,6,,PR,,
115,Dip. Chironomidae,Phaenopsectra sp.,7,,SC/GC,,
116,Dip. Chironomidae,Procladius sp.,9,,PR,,
117,Dip. Chironomidae,Prodiamesa sp.,3,,GC,,
118,Dip. Chironomidae,Pseudochironomus sp.,5,,GC,,
119,Dip. Chironomidae,Robackia claviger,2.4,,GC,,
120,Dip. Chironomidae,Saetheria tylus,4,,GC,,
121,Dip. Chironomidae,Tanypus sp.,10,,PR/GC,,
122,Dip. Chironomidae,Thienemanniella sp.,6,,PR (CG),,
123,Diptera,Culicidae,8,,GC,,
124,Dip. Culicidae,Culicoides sp.,10,,PR/GC,,
125,Diptera,Dixidae,1,,GC,,
126,Diptera,Dolichopodidae,4,,PR,,
127,Diptera,Empididae,6,,PR (GC),,
128,Diptera,Ephydridae,6,,OM,,
129,Diptera,Pediciidae,6,,PR,,
130,Diptera,Dicranota sp.,3,,PR,,
131,Diptera,Ptychopteridae,7,,GC,,
132,Diptera,Sciomyzidae,6,,PR,,
133,Diptera,Simuliidae,6,,FC,1,
134,Dip. Simuliidae,Simulium sp.,6,,FC,,
135,Diptera,Stratiomyidae,8,,GC,,
136,Diptera,Tabanidae,8,,PR,,
137,Diptera,Tipulidae,3,,SH (GC),,
138,Diptera,Tipula sp.,4,,SH (GC),,
139,Amphipoda,Talitridae,8,,GC,,
140,Amphipoda,Gammaridae,6,,GC,,
141,Amp. Gammaridae,Hyalella sp.,8,,,,
142,Decapoda,Cambaridae,-9999,Undetermined,,,
143,Decapoda,Palaemonidae,4,,,,
144,Decapoda,Astacidae,8,,,,
145,Pelecypoda,Sphaeriidae,8,,FC,,
146,Pel. Sphaeriidae,Sphaerium sp.,5.3,Averaged from regional,GC,,
147,Pelecypoda,Pisidiidae,8,,,,
148,Pel. Pisidiidae,Pisidium sp.,8,,GC,,
149,Veneroida,Corbiculidae,3.1,From genus,,,
150,Gastropoda,Gastropoda,7,,SC,,
151,Gastropoda,Lymnaeidae,6.5,Averaged from regional,SC,,
152,Gastropoda,Physidae,8,,SC,,
153,Gastropoda,Planorbidae,7,,SC,,
154,Gas. Planorbidae,Ferrissia sp.,7,From family,FC,,
155,Gastropoda,Pleuroceridae,3.7,From subfamily,SC,,
156,Gastropoda,Viviparidae,6,,SC,,
157,Annelida,Oligochaeta,10,,GC,,1
158,Ann. Oligochaeta,Naididae,8,,GC,,
159,Ann. Oligochaeta,Enchytraeidae,10,,,,
160,Ann. Oligochaeta,Limnodrilus hoffmeisteri,9.8,,,,
161,Ann. Oligochaeta,Limnodrilus udekemianus,9.7,,,,
162,Hirudinea sub-class,Hirudinea sub-class,10,,PR,,
163,Hirudinea sub-class,Hirudidae,7,,PR,,
164,Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,,
165,Acari,Acari,8,From genera,,,
