Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,MER1a7,MER1b6,MER1d8,MER1p6,MER1t8,MER1v6
Amphipoda,Gammaridae,4,GC,,,,,,6,
Amphipoda,Talitridae,8,GC,,,,,3,,3
Annelida,Nematomorpha,-9999,PA,,,,,,2,
Annelida,Oligochaeta,10,GC,Limnodrilus udekemian:'94; Enchytraeidae sp.:'96,,2,2,75,1,6
Arachnida,Hydracarina,4,PR,Hygrobatoidae sp.:'12,,,,,8,1
Basommatophora,Physidae,8,SC,Class: Gastropoda,,,,,1,
Basommatophora,Planorbidae,7,FC,"Ferrissia sp.:'94,'96",,3,1,,,
Coleoptera,Elmidae,6,SC,Stienelmis sp.:'93,1,,,,,
Coleoptera,Elmidae,4,GC,,,,,3,42,33
Coleoptera,Haliplidae,7,SH/PR,,,,3,,,
Coleoptera,Hydraenidae,8,SC,,,,1,,,
Coleoptera,Noteridae,5,PR,Larval; adults excluded,,,,,1,
Coleoptera,Staphylinidae,8,PR,,,,2,,,
Diptera,Athericidae,2,PR,,105,26,60,,,
Diptera,Ceratopogonidae,6,PR (CG),,,,,1,5,6
Diptera,Chironomidae,9,PR,Procladius sp.:'96,,,2,,,
Diptera,Chironomidae,6,GC,,,,,26,88,32
Diptera,Dixidae,1,GC,,,,1,,,
Diptera,Dolichopodidae,4,PR,,6,,,,,
Diptera,Ephydridae,6,OM,,1,,3,,,
Diptera,Nematocera,?,?,,,,,5,,
Diptera,Sciomyzidae,6,PR,,6,23,,,,
Diptera,Simuliidae,6,FC,Simulium sp.:'96,,,4,,,1
Diptera,Tabanidae,8,PR,,16,17,,,,
Diptera,Tupulidae,3,PR,"Dicranota sp.:'93,'96",3,,2,,,
Diptera,Tupulidae,4,SH/GC,Tipula sp.:'94,,2,,,,
Diptera,Tupulidae,3,SH,,,,,,2,
Ephemeroptera,Baetidae,4,GC,,,,,8,17,33
Ephemeroptera,Siphlonuridae,7,GC,,,,,,2,
Gastropoda,Physidae,8,SC,,,,,9,,
Hemiptera,Belostomatidae,10,PR,,7,3,,,,
Hemiptera,Hebridae,-9999,PR,Undetermined Tolerance,,,,,1,
Odonata,Aeshnidae,3,PR,,,,2,,,
Odonata,Coenagrionidae,8,PR,,,,,,5,
Odonata,Gomphidae,1,PR,,,,1,,,
Odonata,Libellulidae,9,PR,,,,6,,,
Plecoptera,Perlidae,1,PR,,4,,,,,
Trichoptera,Brachycentridae,1,GC,,,,,,10,5
Trichoptera,Hydropsychidae,4,FC,,39,19,3,,206,3
Trichoptera,Leptoceridae,3,SH/GC,"Nectopsyche sp.:'93,'96",1,,2,,,
Trichoptera,Phryganeidae,4,OM,,,,,,,1
Tricladida,Planariidae,4,PR,,,,7,,,
Veneroidea,Pisidiidae,8,GC,Class: Bivalvia formerly Pelecypoda,,,,4,,
