Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,MERa7,MER3d7,MER3p6,MER4t8,MER3u6,MER3v6
Amphipoda,Talitridae,8,GC,,,,,,11,1
Annelida,Nematomorpha,-9999,PA,,,,,,,1
Annelida,Oligochaeta,10,GC,,,,12,4,,61
Coleoptera,Dryopidae,5,GC,,,1,,,,
Coleoptera,Drysticidae,6.5,PR,,,1,,,20,
Coleoptera,Elmidae,4,GC,,,,10,24,,28
Coleoptera,Ptilodactylia,5,SH,,,1,,,,
Diptera,Cecidomyiidae,6,PH,,71,1,,,,
Diptera,Ceratopogonidae,6,PR (CG),,,,1,,58,
Diptera,Chironomidae,6,GC,,,20,52,57,,45
Diptera,Ephydridae,6,OM,,,,1,,,
Diptera,Simuliidae,6,FC,,,3,1,,,
Ephemeroptera,Baetidae,4,GC,,,8,5,,,2
Ephemeroptera,Caenidae,7,GC,,11,17,,,4,
Ephemeroptera,Tricorythidae,5,GC,,,,1,,,44
Gastropoda,Physidae,8,SC,,,,,,,6
Gastropoda,Viviparidae,6,SC,,,11,,,,1
Hemiptera,Naucoridae,5,PR,,1,4,,,,
Hemiptera,Notonectdae,-9999,PR,,,5,,,,
Plecoptera,Perlodidae,2,PR/GC/SC,,,4,,,,
Trichoptera,Brachycentridae,1,FC,,,,,2,21,3
Trichoptera,Hydropsychidae,4,FC,,,,,5,6,8
Trichoptera,Hydroptilidae,4,SC,,,,,,3,
Trichoptera,Lepidostomatidae,3,SH,,,,,,11,
Trombidiforms,Hydracarina,4,PR,,,,,,,7
