Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,MER4p6,MER4t8,MER4u6,MER4v6
Annalida,Hirudinea,10,PR,,,1,,
Annalida,Nematomorpha,-9999,PA,,,1,,
Annalida,Oligochaeta,5,GC,,2,7,,1
Coleoptera,Elmidae,4,GC,,12,65,2,
Coleoptera,Limnichidae,4,GC,*Assumed same values as Elmidae*,,5,,
Diptera,Ceratopogonidae,6,PR,,,1,,
Diptera,Chironomidae,6,GC,,13,49,20,1
Diptera,Empididae,6,PR(GC),,,,,1
Diptera,Simuliidae,6,FC,,11,2,32,115
Diptera,Tipulidae,3,SH,,,2,,
Ephemeroptera,Baetidae,4,GC,,34,14,66,45
Ephemeroptera,Heptageniidae,4,SC(CG),,,,,6
Ephemeroptera,Tricorythidae,4,GC,,,7,1,
Gastropoda,viviparidae,6,SC,,2,,,
Hemiptera,Naucoridae,5,PR,,,1,,1
Odonata,Calopterygidae,5,PR,,,1,4,
Trichoptera,Brachycentridae,1,FC,,,1,,
Trichoptera,Hydropsychidae,4,FC,,2,4,,2
Trichoptera,Hydroptilidae,4,SC,,,3,3,
Trombidiformes,Hydracarina,4,PR,Hygrobatoidea sp.,,18,1,5
