Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,NFL1a7,NFL1b6,NFL1b7,NFL1d8,NFL1p6,NFL1v6
Amphipoda,Gammaridae,6,GC,,,,,35,,
Amphipoda,Talitridae,8,GC,,108,31,,,1,3
Annelida,Oligochaeta,10,GC,,18,37,4,10,3,32
Coleoptera,Elmidae,4,GC,,11,,,2,90,96
Diptera,Ceratogonidae,6,PR (CG),,,,,,1,3
Diptera,Chironomidae,6,GC,,3,1,65,,3,59
Diptera,Dixidae,1,GC,,,,,,1,
Diptera,Psychodidae,10,GC,,,,,,1,
Diptera,Simuliidae,6,FC,,,,2,,,
Diptera,Tabanidae,8,PR,,,,,,2,
Diptera,Tipulidae,3,SH (GC),,,,,,1,1
Diptera,Ephydridae,6,GC,,,,,,,1
Ephemeroptera,Baetidae,4,GC,,,2,1,1,10,2
Ephemeroptera,Caenidae,7,GC,,,,11,1,,
Ephemeroptera,Heptageniidae,4,SC (CG),,1,,,,,
Gastropoda,Hydrobidae,7,SC,,,,,,1,
Gastropoda,Lymnaeidae,6.5,SC,,,,,,3,
Gastropoda,Physidae,8,SC,,,5,,7,9,2
Gastropoda,Planorbidae,7,SC,,,,,,,1
Hemiptera,Naucoridae,5,PR,,,,1,,,
Hemiptera,Pleidae,-9999,PR,,,,,1,,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,PR,,7,1,,2,,
Lepidoptera,Cossidae,-9999,SH,,,,,,1,
Odonata,Corduliidae,2,PR,,,,,6,,
Pelecypoda,Corbiculidae,3.1,FC,,,,,,6,
Pelecypoda,Sphaeriidae,8,FC,,,4,,12,,
Plecoptera,Perlidae,1,PR,,,,,,4,
Trichoptera,Brachycentridae,1,GC,,1,13,,,,
Trichoptera,Glossosomatidae,0,SC,,,,,,1,
Trichoptera,Hydrophilidae,5,PR,,,,,1,,
Trichoptera,Hydropsychidae,4,FC,,,4,,,1,3
Trichoptera,Tricorythidae,4,GC,,,,,,,1
Tricladida,Planariidae,4,PR,,3,,,,,
