Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,PAS1a7,PAS1d8,PAS1r6,PAS1t6,PAS1u6
Amphipoda,Gammaridae,6,GC,,,3,9,,
Amphipoda,Talitridae,8,GC,,47,,,,
Annelida,Oligochaeta,8,GC,,,,2,4,66
Basommatophora,Lymnaeidae,6,SC,Class: Gastropoda,,,1,,
Basommatophora,Physidae,8,SC,Class: Gastropoda,,,6,,53
Basommatophora,Planorbidae,8,SC,Class: Gastropoda,,,7,,
Basommatophora,Viviparidae,6,SC,Class: Gastropoda,,,3,,
Coleoptera,Elmidae,4,GC,,6,9,1,9,4
Coleoptera,Hydrophilidae,5,PR,,,,,1,
Diptera,Athericidae,2,PR,,,,,25,1
Diptera,Chironomidae,6,GC,,3,13,14,37,56
Diptera,Psychodidae,10,GC,,,,,,1
Diptera,Tabanidae,8,PR,,,2,,,
Diptera,Tipulidae,3,SH (GC),,,2,2,,
Ephemeroptera,Baetidae,4,GC,,1,,7,38,2
Ephemeroptera,Caenidae,7,GC,,,,1,1,
Ephemeroptera,Ephemeridae,4,GC,,8,2,,,
Ephemeroptera,Heptageniidae,4,SC (GC),,2,1,22,8,1
Ephemeroptera,Siphlonuridae,7,GC,,,,,5,
Ephemeroptera,Tricorythidae,5,GC,,,3,,,
Hemiptera,Belostomatidae,10,PR,,,1,,,
Hemiptera,Naucoridae,5,PR,,,2,,,
Hirudinida,Hirudinidae,7,PR,,3,,,,
Megaloptera,Sialidae,4,PR,,1,1,,,
Odonata,Aeshnidae,3,PR,,,1,,,
Odonata,Coenagrionidae,6,PR,,1,,,,
Odonata,Gomphidae,1,PR,,,,,1,2
Plecoptera,Perlidae,1,PR,,,,,,4
Trichoptera,Brachycentridae,1,FC,,60,52,8,20,
Trichoptera,Hydropsychidae,4,FC,,,8,1,3,
Trichoptera,Hydroptilidae,4,SC,,,,,1,
Trichoptera,Leptoceridae,4,GC,,,,29,,
Trombidiforms,Hydracarina,4,PR,,,,,1,1
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,,,5,,5
