Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,PAS3a8,PAS3b7,PAS3d8,PAS3r6,PAS3t6,PAS3u6
Annelida,Nematomorpha,-9999,PA,,,,,,,1
Annelida,Oligocheata,8,GC,,,,,,5,16
Basommatophora,Physidae,8,SC,Class: Gastropoda,,10,1,,,
Basommatophora,Planorbidae,7,FC,Class: Gastropoda; Ferrissia sp.,,,8,,,
Coleoptera,Curculionidae,-9999,SH,Tolerance unknown,,,,,,1
Coleoptera,Dytiscidae,5,PR,,39,5,,,,
Coleoptera,Elmidae,4,GC,,,,,,3,1
Coleoptera,Staphylinidae,8,PR,,1,,,,,
Collembola,,10,GC,,,,,,,3
Diptera,Ceratopogonidae,6,PR,,,,,3,,
Diptera,Chironomidae,6,GC,,,,5,9,15,19
Diptera,Culicidae,8,GC,,102,,,,,1
Diptera,Empididae,4,GC,,,,,1,2,
Diptera,Ephydridae,6,GC,,,,,,,2
Diptera,Sciomyzidae,6,PR,,,,,,,2
Diptera,Simulidae,6,FC,,,,,14,4,28
Ephemeroptera,Baetidae,4,GC,,,,,20,25,15
Ephemeroptera,Heptageniidae,4,SC,,,,,10,5,4
Ephemeroptera,Leptophlebiidae,5,GC,,,79,77,,,
Ephemeroptera,Oligoneuriidae,2,FC,,,,,2,1,
Hemiptera,hebridae,-9999,PR,,,,,,,4
Hemiptera,Notonectidae,-9999,PR,Tolerance unknown,,,,,,1
Odonata,Gomphidae,1,PR,,16,9,6,,,
Trichoptera,Hydropsychidae,4,FC,,,,,11,31,
Trichoptera,Hydroptilidae,4,SC,,,,,3,4,
Trichoptera,Leptoceridae,3,SH/GC,Nectopsyche sp.,,4,6,,1,
Trichoptera,Polycentropodidae,,FC,,,,,,3,
Trichoptera,Brachycentridae,1,FC,,,,,,1,
Trombidiformes,Hydracarina,4,PR,,,,,,7,
