Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,POR1a6,POR1b7,POR1c8,POR1e7,POR1r6,POR1s6,POR1t6
Amphipoda,Gammaridae,6,GC,,,,,58,,1,
Amphipoda,Talitridae,8,GC,,35,7,2,,11,,
Annelida,Oligochaeta,10,GC,,,10,,31,,5,4
Basommatophora,Physidae,8,SC,Class: Gastropoda,1,,,,,,2
Basommatophora,Planorbidae,7,SC,Class: Gastropoda,6,2,1,,2,,
Coleoptera,Dytiscidae,5,PR,,,,,5,,,
Coleoptera,Elmidae,4,GC,,,2,4,,3,5,1
Coleoptera,Hydrophilidae,5,PR,,,1,,1,,,
Crustacae,Amphipoda,4,GC,,,,,,,,7
Decapoda,Astacidae,8,SC,,,,,,3,1,
Diptera,Ceratopogonidae,6,PR (CG),,,,,,1,2,4
Diptera,Chironomidae,6,GC,,31,13,,1,29,92,58
Diptera,Dixidae,1,GC,,,,,1,,,
Diptera,Ptychopteridae,7,GC,,,,,1,,,
Diptera,Simuliidae,6,FC,,1,,,,,,8
Diptera,Stratiomyidae,8,GC,,1,,,3,,,
Diptera,Thaumaleidae,0,OM,,,,,,,1,
Diptera,Tipulidae,3,SH,,,,,,,,2
Ephemeroptera,Baetidae,4,GC,,1,1,,,,1,2
Ephemeroptera,Caenidae,7,GC,,4,,,,,,
Ephemeroptera,Heptageniidae,4,SC (CG),,5,,,,,,
Ephemeroptera,Tricorythidae,5,GC,,,,1,,1,,
Hemiptera,Corixidae,10,PR,,,6,,1,,1,
Hemiptera,Herbridae,-9999,PR,Undetermined tolerance vlaues,,,,,,2,
Hemiptera,Naucoridae,5,PR,,,,3,,,,
Hirudinea,Glossiphoniidae,8,PR,,2,4,,,,,
Hirudinea,Hirudina,10,PR,,1,,,,,,
Megaloptera,Sialidae,4,PR,,,11,,,,,
Odonata,Aeshnidae,3,PR,,,,,,,,1
Odonata,Calopterygidae,5,PR,,1,1,3,,,,
Odonata,Coenagrionidae,6,PR,,2,,,,,,
Odonata,Lestidae,9,PR,,,,,2,,,
Trichoptera,Brachycentridae,1,FC,,6,,40,,30,,6
Trichoptera,Glossosomatidae,0,SC,,,,,,,,1
Trichoptera,Hydropsychidae,4,FC,,6,2,,,7,,4
Trichoptera,Hydroptilidae,4,SC,,,,,,,,1
Trichoptera,Limnephilidae,4,SH,,6,1,,,,,
Trichoptera,Psychomiidae,,,,,,,,,,2
Tricladida,Planariidae,4,PR,,1,,,3,,,
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecopoda,,6,,,3,,1
