Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,POR2a6,POR2b6,POR2d7,POR2d7(2),POR2r6,POR2s6,POR2t6,POR2u6,POR2v6
Amphipoda,Gammaridae,6,GC,,,,6,4,,4,2,,
Amphipoda,Taltridae,8,GC,,,,,,19,,,,5
Annalida,Nematomorpha,-9999,PA,,,,,,,,15,,
Annalida,Oligochaeta,5,GC,,,,,,,12,4,,1
Coleoptera,Dryopidae,5,SH,,,,2,,,,,,
Coleoptera,Elmidae,4,GC,,1,,,25,2,48,14,1,12
Coleoptera,Hydraenidae,8,PR,,15,1,29,1,,,,,
Decapoda,Palaemonidae,4,OM,,1,,,,,,,,
Diptera,Ceratopogonidae,6,PR,,,,,,,1,,,1
Diptera,Chironomidae,5,GC,,4,1,5,1,22,41,23,52,81
Diptera,Culcidae,8,GC,,9,12,,,,,,,
Diptera,Dolichopodidae,4,PR,,,,,25,,,,,
Diptera,Psychodidae,10,GC,,,,,,,,,,1
Diptera,Ptychopteridae,7,GC,,,,3,,,,,,
Diptera,Sciomyzidae,6,PR,,,7,,,,,,,
Diptera,Simulidae,6,FC,,,,,,54,,1,247,9
Diptera,Stratiomyidae,8,GC,,,,,,,,1,1,
Diptera,Tipulidae,3,PR,,1,,,,,,,,
Diptera,Nematocera,?,?,,,,,,,5,,,
Ephemeroptera,Baetidae,4,GC,,,,,,,,3,,2
Ephemeroptera,Heptigeniidae,4,SC (CG),,,,,,,,,,
Ephemeroptera,Tricorythidae,4,GC,,,,,,,3,,,
Gastropoda,Physidae,8,FC,,,,,,,,19,,1
Hemiptera,Hydrometridae,10,PR,,1,,,,,,,,
Hemiptera,Notonectdae,-9999,PR,,,,1,,,,,,
Hirudina,Glossiphoniidae,8,PR,,1,16,6,21,,1,,,
Odonata,Lestidae,9,PR,,,,2,,,,,,
Oligochaeta,Naididae,8,GC,,,,,,1,,,,
Pelecypoda,Pisidiidae,8,GC,,1,,,,,,5,,
Pelecypoda,Sphaeriidae,8,FC,,,,,,,5,,,
Pelicopoda,Unionidae,8,FC,,,14,10,1,,,,,
Platyhelminthes,Turbellaria,4,PR,,,10,,,,,,,
Plecoptera,Perlidae,1,PR,,35,30,1,8,,,,,
Trichoptera,Brachycentridae,1,FC,,,,5,,,,,,
Trichoptera,Hydropsychidae,4,FC,,1,1,11,12,9,4,14,1,2
Trichoptera,Leptoceridae,4,GC,,,,18,1,,,,,
Trichoptera,Polycentropodidae,6,PR (FC),,,,1,,,,,,1
