Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,POR2a6,POR2b6,POR2d7,POR2d7(2)
Acari,Acari,8,From genera,,,,,
Eph. Baetidae,Acentrella sp.,4,,GC,,,,
Odonata,Aeshnidae,3,,PR,,,,
Odo. Coenagrionidae,Argia sp.,6,Averaged from regional,PR,,,,
Decapoda,Astacidae,8,,,,,,
Diptera,Athericidae,2,From North Dakota Digital Key,nd,,,,
Diptera,Atherix sp.,2,,PR,,,,
Ephemeroptera,Baetidae,4,,GC,,,,
Hemiptera,Belostomatidae,9.8,from Belostoma,PR,,,,
Dip. Ceratopogonidae,Bezzia/Palpomyia sp.,6,,GC,,,,
Trichoptera,Brachycentridae,1,,GC,,,5,
Ephemeroptera,Caenidae,7,,GC,,,,
Eph. Caenidae,Caenis latipennis,7,,GC,,,,
Eph. Caenidae,Caenis sp.,7,,GC,,,,
Odonata,Calopterygidae,5,,PR,,,,
Decapoda,Cambaridae,-9999,Undetermined,,,,,
Diptera,Cecidumyiidae,6,From North Dakota Digital Key,nd,,,,
Diptera,Ceratopogonidae,6,,PR (CG),,,,
Tri. Hydropsychidae,Cheumatopsyche sp.,5,,FC,,,,
Diptera,Chironomidae,6,,GC,,,,
Dip. Chironomidae,Chironomus sp.,10,,GC,,,,
Dip. Chironomidae,Cladotanytarsus sp.,7,,GC,,,,
Odo. Coenagrionidae,Coenagrion/Enallagma sp.,9,,PR,,,,
Odonata,Coenagrionidae,6,,PR,,,,
Veneroida,Corbiculidae,3.1,From genus,,,14,10,1
Odonata,Corduliidae,2,,PR,,,,
Hemiptera,Corixidae,10,,PR,,,,
Megaloptera,Corydalidae,0,,PR,,,,
Dip. Chironomidae,Cryptochironomus sp.,8,,PR,,,,
Diptera,Culicidae,8,,GC,,,,
Dip. Culicidae,Culicoides sp.,10,,PR/GC,9,12,,
Dip. Ceratopogonidae,Dasyhelea sp.,6,,GC/SC,,,,
Diptera,Dicranota sp.,3,,PR,1,,,
Dip. Chironomidae,Dicrotendipes sp.,8,,GC,,,,
Diptera,Dixidae,1,,GC,,,,
Diptera,Dolichopodidae,4,,PR,,,,25
Coleoptera,Dryopidae,5,From Guide to Mongolia,,,,2,
Col. Elmidae,Dubiraphia sp.,4,,GC,,,,
Coleoptera,Dytiscidae,5,,PR,,,,
Col. Elmidae,Elmid. Stienelmis,6,,SC,,,,
Coleoptera,Elmidae,4,,GC,1,,,25
Diptera,Empididae,6,,PR (GC),,,,
Ann. Oligochaeta,Enchytraeidae,10,,,,,,
Ephemeroptera,Ephemerellidae,1,,GC,,,,
Ephemeroptera,Ephemeridae,4,,GC,,,,
Diptera,Ephydridae,6,,OM,,,,
Gas. Planorbidae,Ferrissia sp.,7,From family,FC,,,,
Amphipoda,Gammaridae,6,,GC,,,6,4
Gastropoda,Gastropoda,7,,SC,,,,
Trichoptera,Glossosomatidae,0,,SC,,,,
