Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,POR3a7,POR3b5,POR3r6,POR3s6,POR3s6(B),POR3t6,POR3u6,POR3v6
Annelida,Nematomorpha,-9999,,PA,,,,,,4,,5
Annelida,Oligochaeta,10,,GC,,4,,,2,1,1,6
Arachnida,Hydracarina,4,,PR,,,,,1,1,,
Coleoptera,Elmidae,4,,GC,1,2,,,1,1,,1
Coleoptera,Staphylinidae,8,,PR,,,1,,,,,
Diptera,Chironomidae,6,3 pupa,GC,5,1,2,1,6,116,1,84
Diptera,Empididae,6,,PR (GC) ,2,,,,,,,
Diptera,Simuliidae,6,,FC,12,3,2,4,12,2,72,6
Ephemeroptera,Baetidae,4,,GC,17,94,105,75,78,14,109,18
Ephemeroptera,Caenidae,7,,GC,,,,1,,,,
Ephemeroptera,Heptageniidae,4,,SC (CG) ,2,2,5,15,,,1,
Ephemeroptera,Tricorythidae,5,,GC,40,,,,1,,,
Gastropoda,Physidae,8,,SC,1,1,,,,,,
Hemiptera,Hebridae,-9999,undetermaned tolerence,PR,,,,,1,,,
Hemiptera,Naucoridae,5,,PR,31,,,,,,,
Trichoptera,Hydropsychidae,4,,FC,15,3,,2,2,7,,2
Trichoptera,Hydroptilidae,4,,SC,1,,,,,,,7
