Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,POT1a7,POT1b6,POT1d7,POT1u6
Amphipoda,Gammaridae,6,,GC,,,24,
Amphipoda,Talitridae,8,,GC,64,73,,1
Annelida,Hirudinae,10,,PR,,,,7
Annelida,Oligochaeta,10,,GC,,1,6,
Coleoptera,Amphizoidae, ,,,,,,4
Coleoptera,Curculionidae,-9999,,SH,,,,
Coleoptera,Dytiscidae,5,,PR,,1,,
Coleoptera,Elmidae,4,,GC,26,2,,103
Coleoptera,Haliplidae,7,,SH/PR,1,,,
Coleoptera,Psephenidae,4,,SC,,,6,14
Diptera,Chironomidae,6,,GC,,11,2,
Diptera,Dolichopodidae,4,,PR,,,1,
Diptera,Simuliidae,6,,FC,,,1,
Diptera,Stratiomyidae,8,,GC,,,1,
Ephemeroptera,Baetidae,4,,GC,,2,,
Ephemeroptera,Caenidae,7,,GC,,,2,
Gastropoda,Physidae,8,,SC,,1,,
Hemiptera,Hydrometridae,10,From UMN.edu,,,,1,
Hemiptera,Naucoridae,5,,PR,1,,23,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,,,8,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,,2,,
Megaloptera,Sialidae,4,,PR,3,3,8,
Odonata,Coenagrionidae,6,,PR,,,3,
Odonata,Gomphidae,1,,PR,7,,8,
Odonata,Lestidae,9,From Guide to Mongolia,PR,1,,,11
Odonata,Libellulidae,9,,PR,,1,1,1
Odonata,Petaluridae,5,From PA State DENR,,,,1,1
Trichoptera,Hydropsychidae,4,(Variable),FC,,1,1,3
Trombidiforms,Hydracarina,4,,PR,,,,14
