parent_id,Parent_TSN,TSN,prior_name,scientific_name,rbp_level_validity,type,NC,WI,OH,ID,MACS,Hilsenhoff,FBI_value,fun_grp_primary,fun_grp_secondary,habit_primary,habit_secondary
1,202423,59490,Nematoda,Nematoda,class,nematodes,,,,5,,,5,PA,,,
2,202423,64183,Nematomorpha,Nematomorpha,class,horsehair worms,,,,,,,-9999,PA,,,
3,202423,57411,Nemertea,Nemertea,phylum,ribbon worms,,,,8,,,,PR,,,
4,,57412,Rhynchocoela,Nemertea,synonym,ribbon worms,,,,,,,,,,,
5,57577,57578,Prostoma graecense,Nemertea,species,ribbon worms,6.6,,,,,,,PR,,,
6,57577,193496,Prostoma rubrum,Nemertea,species,ribbon worms,,,,,,,,,,,
7,202423,53963,Platyhelminthes,,,,,,,,,,-9999,,,,
8,53963,53964,Turbellaria,Turbellaria,section,,,,,4,,,4,PR,,,
9,53965,54468,Tricladida,Tricladida,section,,,,,4,,,4,GC,,,
10,54552,54553,Cura,Tricladida,section,,,,,,,,4,,,,
11,54468,54502,Planariidae,Tricladida,section,,,,,1,,,4,OM,,,
12,54502,54503,Dugesia,Tricladida,section,,,,,4,,,4,OM,,,
13,54503,54504,Dugesia tigrina,Tricladida,section,,7.5,,,,,,4,PR,,,
14,54502,54510,Polycelis,Tricladida,section,,,,,6,,,4,GC,,,
15,54510,54512,Polycelis coronata,Tricladida,section,,,,,1,,,4,OM,,,
16,202423,46861,Porifera,Tricladida,section,,,,,,,,4,FC,,,
17,47690,47691,Spongillidae,Tricladida,section,,,,,,,,4,FC,,,
18,47691,47692,Spongilla,Tricladida,section,,,,,,,,4,FC,,,
19,47692,47696,Spongilla aspinosa,Tricladida,section,,,,,,,,4,FC,,,
20,,155470,Ectoprocta,Tricladida,section,,,,,,,,4,,,,
21,156691,156692,Plumatella repens,Tricladida,section,,,,,,,,4,,,,
22,174619,174662,Hydrobates,Tricladida,section,,,,,,,,4,,,,
23,202423,48738,Cnidaria,Tricladida,section,,,,,,,,4,,,,
24,50844,50845,Hydra,Hydra,genus,,,,,5,,,4,PR,,,
25,50845,50846,Hydra americana,Hydra,genus,,,,,,,,4,,,,
26,156753,156754,Urnatella gracilis,Hydra,genus,,,,,,,,4,,,,
27,69458,79118,Bivalvia,Bivalvia,class,bivalves,,,,8,,,8,FC,,,
28,,79119,Pelecypoda,Bivalvia,synonym,bivalves,,,,8,,,8,FC,,,
29,79517,79519,Brachidontes exustus,Mytilidae,species,,,,,,,,8,FC,,,
30,79912,79913,Unionidae,Unionidae,family,,,,,8,,,8,FC,,,
31,79913,79930,Anodonta,Unionidae,family,,,,,8,,,8,FC,,,
32,79930,79946,Anodonta couperiana,Unionidae,family,,,,,,,,8,FC,,,
33,,,Anodonta nuttalliana idahoensis,Unionidae,family,,,,,8,,,8,FC,,,
34,79913,79951,Elliptio,Unionidae,family,,,,,,,,8,FC,,,
35,79951,79975,Elliptio buckleyi,Unionidae,family,,,,,,,,8,FC,,,
36,79951,79952,Elliptio complanata,Elliptio complanata,species,,5.4,,,,,,8,,,,
37,79951,79964,Elliptio lanceolata,Elliptio lanceolata,species,,1.9,,,,,,8,,,,
38,79913,80032,Gonidea,Gonidea,genus,,,,,4,,,4,FC,,,
39,80032,80033,Gonidea angulata,Gonidea angulata,species,,,,,8,,,8,FC,,,
40,79986,80006,Lampsilis teres,Unionidae,family,,,,,,,,8,FC,,,
41,79913,80370,Margaritifera,Margaritifera,genus,,,,,4,,,4,FC,,,
42,80370,80371,Margaritifera margaritifera,Margaritifera margaritifera,species,,,,,8,,,8,FC,,,
43,80059,80067,Quadrula cylindrica,Unionidae,family,,,,,,,,8,FC,,,
44,81381,81385,Corbiculidae,Bivalvia,class,,,,,,,,8,FC,,,
45,81385,81387,Corbicula fluminea,Corbicula fluminea,species,,6.3,,3.2,,,,8,FC,,,
46,81385,81386,Corbicula manilensis,Bivalvia,class,,,,,,,,8,FC,,,
47,81333,81335,Mytilopsis leucophaeata,Bivalvia,class,,,,,,,,8,FC,,,
48,80384,81388,Pisidiidae,Pisidiidae,family,,,,,8,,,8,GC,,,
49,,81389,Sphaeriidae,Pisidiidae,family,,,,,8,8,,8,FC,,,
50,81388,81436,Eupera,Pisidiidae,family,,,,,,,,8,,,,
51,,205642,Byssanodonta cubensis (= Eupera),Pisidiidae,family,,,,,,,,8,FC,,,
52,81436,81438,Eupera cubensis,Pisidiidae,family,,,,,,,,8,FC,,,
53,81388,81427,Musculium,Musculium,genus,,,,,,5,,5,FC,,,
54,81427,81430,Musculium lacustre,Musculium,genus,,,,,,5,,5,FC,,,
55,,,Byssanodonta (= Eupera),Physidae,family,,,,,,,,8,FC,,,
56,81427,81434,Musculium securis,Musculium,genus,,,,,,5,,5,FC,,,
57,81427,81428,Musculium transversum,Musculium,genus,,,,,,,,5,,,,
58,81388,81400,Pisidium,Pisidiidae,family,,6.8,,4.6,8,8,,8,FC,,,
59,81400,81405,Pisidium casertanum,Pisidiidae,family,,,,,8,,,8,SC,,,
60,81400,,Pisidium lilljborgi,Pisidiidae,family,,,,,,8,,8,FC,,,
61,81400,81406,Pisidium compressum,Pisidiidae,family,,,,,8,,,8,FC,,,
62,81400,81402,Pisidium dubium,Pisidiidae,family,,,,,,,,8,FC,,,
63,81400,81408,Pisidium fallax,Pisidiidae,family,,,,,8,,,8,FC,,,
64,81400,81403,Pisidium idahoense,Pisidiidae,family,,,,,8,,,8,FC,,,
65,81400,81424,Pisidium punctatum,Pisidiidae,family,,,,,8,,,8,FC,,,
66,81400,81425,Pisidium punctiferum,Pisidiidae,family,,,,,,,,8,FC,,,
67,81400,81420,Pisidium walkeri,Pisidiidae,family,,,,,8,,,8,FC,,,
68,81388,81391,Sphaerium,Sphaerium,genus,,7.7,,4.7,6,,,6,GC,FC,,
69,81391,81395,Sphaerium patella,Pisidiidae,family,,,,,8,,,8,FC,,,
70,81391,81398,Sphaerium striatinum,Sphaerium,genus,,,,,,,,6,FC,,,
71,69458,69459,Gastropoda,Gastropoda,class,,,,,7,,,7,SC,,,
72,76437,76568,Ancylidae,Ancylidae,family,,,,,6,,,6,SC,,,
73,76568,76569,Ferrissia,Ancylidae,family,,6.9,,5.2,6,7,,6,SC,,,
74,76569,76573,Ferrissia hendersoni,Ancylidae,family,,,,,,,,6,SC,,,
75,76569,76572,Ferrissia rivularis,Ancylidae,family,,,,,,,,6,SC,,,
76,76569,76575,Ferrissia walkeri,Ancylidae,family,,,,,,7,,6,SC,,,
77,76585,76586,Hebetancylus excentricus,Ancylidae,family,,,,,,,,6,SC,,,
78,76568,76576,Laevapex,Ancylidae,family,,,,,,,,6,SC,,,
79,76576,76578,Laevapex diaphanus,Ancylidae,family,,,,,,,,6,SC,,,
80,76576,76577,Laevapex fuscus,Ancylidae,family,,7.3,,6.7,,,,6,SC,,,
81,76576,76579,Laevapex peninsulae,Ancylidae,family,,,,,,,,6,SC,,,
82,76476,76477,Lanx,Ancylidae,family,,,,,6,,,6,GC,,,
83,76437,76483,Lymnaeidae,Lymnaeidae,family,,,,6.9,6,6,,6,SC,,,
84,76483,76497,Fossaria,Fossaria,genus,,,,2.6,8,,,8,SC,,,
85,76483,76484,Lymnaea,Lymnaea,genus,,,,,8,,,8,SC,,,
86,76483,76528,Pseudosuccinea,Lymnaeidae,family,,,,,,,,6,SC,,,
87,76528,76529,Pseudosuccinea columella,Lymnaeidae,family,,7.2,,,,,,6,SC,,,
88,76483,76525,Radix,Lymnaeidae,family,,,,,,,,6,,,,
89,76483,76534,Stagnicola,Stagnicola,genus,,8,,,10,7,,10,SC,,,
90,76437,76676,Physidae,Physidae,family,,,,,8,,,8,SC,,,
91,76676,76677,Physa,Physidae,family,,,,,8,,,8,SC,,,
92,76676,76698,Physella,Physidae,family,,9.1,,7.6,8,8,,8,SC,,,
93,76698,76707,Physella cubensis,Physidae,family,,,,,,,,8,SC,,,
94,76698,76724,Physella hendersoni,Physidae,family,,,,,,,,8,SC,,,
95,76698,76736,Physella heterostropha,Physidae,family,,,,,,,,8,SC,,,
96,76437,76591,Planorbidae,Planorbidae,family,,,,,7,,,7,SC,,,
97,76591,76592,Gyraulus,Gyraulus,genus,,,,,8,,,8,SC,,,
98,76592,76593,Gyraulus circumstriatus,Gyraulus,genus,,,,,,7,,8,SC,,,
99,76592,76595,Gyraulus parvus,Gyraulus,genus,,,,5.5,,,,8,SC,,,
100,76591,76599,Helisoma,Planorbidae,family,,,,,,,,7,SC,,,
101,76599,76600,Helisoma anceps,Planorbidae,family,,6.5,,6,,7,,7,SC,,,
102,76591,76626,Menetus,Planorbidae,family,,,,,,,,7,,,,
103,76626,205210,Menetus dilatatus,Planorbidae,family,,8.4,,8.1,,,,7,SC,,,
104,76591,76643,Micromenetus,Planorbidae,family,,,,,,,,7,SC,,,
105,76643,76648,Micromenetus dilatatus,Planorbidae,family,,,,,,,,7,SC,,,
106,76643,76646,Micromenetus floridensis,Planorbidae,family,,,,,,,,7,SC,,,
107,76591,76654,Planorbella,Planorbella,genus,,,,,6,,,6,SC,,,
108,76654,76662,Planorbella duryi,Planorbella,genus,,,,,,,,6,SC,,,
109,76654,76667,Planorbella pilsbryi,Planorbella,genus,,,,7.4,,,,6,,,,
110,76654,76668,Planorbella scalaris,Planorbella,genus,,,,,,,,6,SC,,,
111,76671,205212,Planorbella trivolvis,Planorbella,genus,,,,9.5,,,,6,SC,,,
112,76591,76621,Promenetus,Planorbidae,family,,,,,,,,7,GC,,,
113,76591,76673,Vorticifex,Vorticifex,genus,,,,,8,,,8,SC,,,
114,76673,,Vorticifex effusa,Vorticifex,genus,,,,,6,,,8,SC,,,
115,77064,77300,Limacidae,Gastropoda,class,,,,,,,,7,,,,
116,70160,70163,Neritina reclivata,Gastropoda,class,,,,,,,,7,SC,,,
117,70745,70747,Amnicola,Amnicola,genus,,4.8,,,5,,,5,SC,,,
118,70747,70764,Amnicola dalli,Amnicola,genus,,,,,,,,5,SC,,,
119,70747,,Amnicola grana,Amnicola,genus,,,,,,8,,5,SC,,,
120,70764,205008,Amnicola dalli johnsoni,Amnicola,genus,,,,,,,,5,SC,,,
121,70747,70748,Amnicola limosa,Amnicola,genus,,,,,,8,,5,SC,,,
122,70745,70778,Fluminicola,Fluminicola,genus,,,,,5,,,5,SC,,,
123,70778,70782,Fluminicola hindsi,Fluminicola,genus,,,,,5,,,5,SC,,,
124,,71549,Pleurocera,Pleurocera,genus,,,,3.7,,,,3.7,,,,
125,70298,70493,Hydrobiidae,Hydrobiidae,family,,,,7,,,,8,SC,,,
126,,,Pyrgulopsis idahoensis,Hydrobiidae,family,,,,,8,,,8,SC,,,
127,70493,70509,Cincinnatia,Hydrobiidae,family,,,,,,,,8,SC,,,
128,70509,70513,Cincinnatia floridana,Hydrobiidae,family,,,,,,,,8,SC,,,
129,70493,70643,Fontelicella,Hydrobiidae,family,,,,,8,,,8,SC,,,
130,70493,70527,Littoridinops,Hydrobiidae,family,,,,,,,,8,SC,,,
131,70527,70530,Littoridinops monroensis,Hydrobiidae,family,,,,,,,,8,SC,,,
132,70633,70634,Notogillia wetherbyi,Hydrobiidae,family,,,,,,,,8,SC,,,
133,70493,205005,Potamopyrgus,Hydrobiidae,family,,,,,10,,,8,SC,,,
134,205005,205006,Potamopyrgus antipodarum,Hydrobiidae,family,,,,,8,,,8,SC,,,
135,70699,70700,Pyrgophorus platyrachis,Hydrobiidae,family,,,,,,,,8,SC,,,
136,70712,70713,Rhapinema dacryon,Hydrobiidae,family,,,,,,,,8,SC,,,
137,,70548,Somatogyrus,Hydrobiidae,family,,6.5,,,,,,8,,,,
138,70548,70582,Somatogyrus walkerianus,Hydrobiidae,family,,,,,,,,8,SC,,,
139,70493,70702,Spilochlamys,Hydrobiidae,family,,,,,,,,8,SC,,,
140,70702,70703,Spilochlamys conica,Hydrobiidae,family,,,,,,,,8,SC,,,
141,71541,71654,Elimia,Hydrobiidae,family,,2.5,,3.6,,2,,8,SC,,,
142,71654,71858,Elimia athearni,Hydrobiidae,family,,,,,,,,8,SC,,,
143,71654,71746,Elimia curvicostata,Hydrobiidae,family,,,,,,,,8,SC,,,
144,71654,71761,Elimia floridensis,Hydrobiidae,family,,,,,,,,8,SC,,,
145,71541,71542,Goniobasis,Hydrobiidae,family,,,,,,,,8,,,,
146,71541,71570,Juga,Hydrobiidae,family,,,,,7,,,8,SC,,,
147,71541,71601,Leptoxis,Hydrobiidae,family,,1.6,,,,,,8,,,,
148,70298,71531,Thiaridae,Hydrobiidae,family,,,,,,,,8,SC,,,
149,71531,71532,Melanoides,Hydrobiidae,family,,,,,,,,8,SC,,,
150,71532,71533,Melanoides tuberculata,Hydrobiidae,family,,,,,,,,8,SC,,,
151,70298,70345,Valvatidae,Hydrobiidae,family,,,,,,,,8,SC,,,
152,70345,70346,Valvata,Hydrobiidae,family,,,,,8,,,8,SC,,,
153,73194,73195,Marisa cornuarietis,Hydrobiidae,family,,,,,,,,8,,,,
154,70342,70343,Pomacea paludosa,Hydrobiidae,family,,,,,,,,8,SC,,,
155,331584,70304,Viviparidae,Viviparidae,family,,,,,6,,,6,SC,,,
156,331600,70311,Campeloma,Viviparidae,family,,,,,,,,6,SC,,,
157,70311,70312,Campeloma decisum,Viviparidae,family,,6.7,,,6,,,6,SC,,,
158,70311,70322,Campeloma floridense,Viviparidae,family,,,,,,,,6,SC,,,
159,70311,70315,Campeloma geniculum,Viviparidae,family,,,,,,,,6,SC,,,
160,70311,70317,Campeloma limum,Viviparidae,family,,,,,,,,6,SC,,,
161,70333,70336,Lioplax pilsbryi,Viviparidae,family,,,,,,,,6,SC,,,
162,331585,70305,Viviparus,Viviparidae,family,,,,,,,,6,SC,,,
163,70305,70307,Viviparus georgianus,Viviparidae,family,,,,,,,,6,SC,,,
164,202423,64357,Annelida,,,,,,,,,,-9999,GC,,,
165,64357,68422,Oligochaeta,Clitellata,,,,,,5,,,5,GC,,,
166,68498,69069,Lumbricina,,,,,,,8,,,,GC,,,
167,68422,69168,Branchiobdellida,Clitellata,,,,,,,,,,,,,
168,69168,69169,Branchiobdellidae,Branchiobdellidae,family,,,,,6,,,,GC,,,
169,69069,69080,Glossoscolecidae,Lumbricina,,,,,,,10,,,GC,,,
170,69069,69165,Lumbricidae,Lumbricina,,,,,,,10,,,GC,,,
171,68498,68499,Sparganophilidae,Lumbricina,,,,,,,,,,,,,
172,68509,68510,Enchytraeidae,Enchytraeidae,family,,10,,,10,10,,,GC,,,
173,68509,68854,Naididae,Naididae,,,,,,,,,5,GC,,,
174,68423,68424,Aeolosoma,Naididae,,,,,,,,,5,,,,
175,68854,68967,Allonais,Naididae,,,,,,,,,5,GC,,,
176,68967,68971,Allonais inequalis,Naididae,,,,,,,,,5,GC,,,
177,68854,69021,Bratislavia,Naididae,,,,,,,,,5,GC,,,
178,69021,69022,Bratislavia bilongata,Naididae,,,,,,,,,5,GC,,,
179,69021,69023,Bratislavia unidentata,Naididae,,,,,,,,,5,GC,,,
180,68934,68935,Chaetogaster diaphanus,Naididae,,,,,,,,,5,,,,
181,68854,68898,Dero,Naididae,,,10,,,,10,,5,GC,,,
182,68898,555636,Dero botrytis,Naididae,,,,,,,,,5,GC,,,
183,68898,68904,Dero digitata,Naididae,,,,,,,,,5,GC,,,
184,68898,68902,Dero flabelliger,Naididae,,,,,,,,,5,GC,,,
185,68898,68912,Dero furcata,Naididae,,,,,,,,,5,GC,,,
186,68898,68924,Dero lodeni,Naididae,,,,,,,,,5,GC,,,
187,68898,68900,Dero nivea,Naididae,,,,,,,,,5,GC,,,
188,68898,68907,Dero obtusa,Naididae,,,,,,,,,5,GC,,,
189,68898,68923,Dero pectinata,Naididae,,,,,,,,,5,GC,,,
190,68898,68903,Dero trifida,Naididae,,,,,,,,,5,GC,,,
191,68898,68915,Dero vaga,Naididae,,,,,,,,,5,GC,,,
192,69003,69004,Haemonais waldvogeli,Naididae,,,,,,,,,5,GC,,,
193,,68946,Nais,Naididae,,,9.1,,,,,,5,,,,
194,68946,68949,Nais behningi,Naididae,,,,,,,,,5,GC,,,
195,68946,68950,Nais communis,Naididae,,,,,,,,,5,GC,,,
196,68946,68952,Nais elinguis,Naididae,,,,,,,,,5,GC,,,
197,68946,68954,Nais pardalis,Naididae,,,,,,,,,5,GC,,,
198,68946,68956,Nais pseudobtusa,Naididae,,,,,,,,,5,GC,,,
199,68946,68957,Nais simplex,Naididae,,,,,,,,,5,GC,,,
200,68946,68959,Nais variabilis,Naididae,,,,,,,,,5,GC,,,
201,68862,68863,Paranais litoralis,Naididae,,,,,,,,,5,GC,,,
202,68854,68876,Pristina,Naididae,,,9.9,,,,,,5,GC,,,
203,68876,68879,Pristina aequiseta,Naididae,,,,,,,,,5,GC,,,
204,68876,68880,Pristina breviseta,Naididae,,,,,,,,,5,GC,,,
205,68876,68881,Pristina foreli,Naididae,,,,,,,,,5,GC,,,
206,68876,68894,Pristina leidyi,Naididae,,,,,,,,,5,GC,,,
207,68876,68893,Pristina longisoma,Naididae,,,,,,,,,5,GC,,,
208,68876,68887,Pristina osborni,Naididae,,,,,,,,,5,GC,,,
209,68876,68891,Pristina plumaseta,Naididae,,,,,,,,,5,GC,,,
210,68876,68878,Pristina sima,Naididae,,,,,,,,,5,GC,,,
211,68876,68895,Pristina synclites,Naididae,,,,,,,,,5,GC,,,
212,68854,69024,Pristinella,Naididae,,,,,,,,,5,GC,,,
213,69024,69030,Pristinella jenkinae,Naididae,,,,,,,,,5,GC,,,
214,69024,69025,Pristinella longisoma,Naididae,,,,,,,,,5,GC,,,
