Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,RED1a7,RED1b8,RED1d7,RED1p6,RED1v6
Amphipoda,Gammaridae,6,,GC,,,33,,
Amphipoda,Talitridae,8,,GC,151,7,,1,
Annelida,Oligochaeta,10,,GC,,1,4,,2
Anthropoda,Notostraca,-9999,Undetermined,OM,,,,,1
Arthronod/ worm like,Nematomorpha,-9999,U,PA,,,,1,
Coleoptera,Dytiscidae,5,,PR,2,,,,
Coleoptera,Elmidae,4,,GC,,6,11,9,9
Coleoptera,Hydrophilidae,5,,PR,,,1,2,
Diptera,Cecidomyiidae,6,From North Dakota Digital Key,nd,,,,1,
Diptera,Ceratopogonidae,6,,PR (CG),,,,,3
Diptera,Chironomidae,6,,GC,15,1,1,33,54
Diptera,Ephydridae,6,,OM,,,,1,
Diptera,Sciomyzidae,6,,PR,1,,,,
Diptera,Simuliidae,6,,FC,5,6,2,40,8
Diptera,Stratiomyidae,8,,GC,,1,,,
Ephemeroptera,Baetidae,4,,GC,6,1,,1,3
Ephemeroptera,Caenidae,7,,GC,5,,19,,
Ephemeroptera,Heptageniidae,4,,SC,,,,,1
Ephemeroptera,Siphlonuridae,7,,GC,,,,2,
Gastropoda,Physidae,8,,SC,,,,1,3
Gastropoda,Planorbidae,7,,SC,1,1,,,1
Gastropoda,Viviparidae,6,,SC,2,,,,
Hemiptera,Belostomatidae,9.8,from Belostoma,PR,,,1,2,
Hemiptera,Naucoridae,5,,PR,3,4,7,1,1
Hemiptera,Notonectdae,-9999,Undetermined,PR,,,,1,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,10,,PR,2,8,10,1,1
Hymenoptera,Heloridae,-9999,Undetermined,PA,,,,1,
Lepidoptera,Pyralidae,5,,SH,,,,1,
Megaloptera,Sialidae,4,,PR,20,9,4,,
Odonata,Aeshnidae,3,,PR,1,,,,
Odonata,Coenagrionidae,6,,PR,5,,4,3,
Odonata,Corduliidae,2,,PR,1,,,,
Odonata,Gomphidae,1,,PR,,,1,,
Odonata,Libellulidae,9,,PR,2,,2,1,
Pelecypoda,Sphaeriidae,8,,FC,,,,2,2
Trichoptera,Brachycentridae,1,,GC,,,,,
Trichoptera,Hydropsychidae,4,(Variable),FC,,1,,2,19
Trichoptera,Hydroptilidae,4,,SC,1,,,,1
