Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WCC1a67,WCC1d7,WCC1s6,WCC1t6
Amphipoda,Gammaridae,6,GC,,,1,,
Annelida,Oligochaeta,10,GC,,1,25,38,2
Basommatophora,Physidae,8,SC,Class: Gastropoda,,,17,1
Basommatophora,Planorbidae,7,SC,Class: Gastropoda,,,7,
Coleoptera,Elmidae,4,GC,,7,2,,7
Diptera,Chironomidae,6,GC,,7,19,10,18
Diptera,Ephyridae,6,GC,,,,2,
Diptera,Simuliidae,6,FC,,59,,,
Diptera,Tabanidae,8,PR,,1,,,
Ephemeroptera,Baetidae,4,GC,,1,,3,9
Ephemeroptera,Heptageniidae,4,SC (CG),,,2,,
Ephemeroptera,Siphlonuridae,7,GC,,,2,,
Hirudinida,Hirudinidae,7,PR,,2,,1,
Trichoptera,Brachycentridae,1,FC,,9,36,1,51
Trichoptera,Hydropsychidae,4,FC,,1,4,,
Trichoptera,Lepidostomatidae,3,SH,,,,1,
Trichoptera,Limnephilidae,4,SH,,1,,,
Diptera,Ceratopogonidae,6,PR,,,,,3
Odonata,Calopterygidae,5,PR,,,,,1
