Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WCC2a6/7,WCC2b6,WCC2d7,WCC2s6,WCC2t6
Annelida,Nematoda,-9999,PA,,,,,,2
Annelida,Nematomorpha,-9999,PA,,,,1,,
Annelida,Oligochaeta,10,GC,,,1,18,14,1
Coleoptera,Elmidae,4,GC,,,3,9,6,2
Decapoda,Astacidae,8,SC,,1,,,,
Decapoda,Palaemonidae,4,SC,,,3,,,
Diptera,Chironomidae,6,GC,,,20,11,42,190
Diptera,Culicidae,8,GC,,,,3,,
Diptera,Ephydridae,6,GC,,,,,2,
Diptera,Simuliidae,6,FC,,1,,,1,
Ephemeroptera,Baetidae,4,GC,,3,,4,,18
Ephemeroptera,Caenidae,7,GC,,,,1,,1
Ephemeroptera,Heptageniidae,4,SC (CG),,3,,3,,16
Ephemeroptera,Siphlonuridae,7,GC,,,,,,19
Gastropoda,Physidae,8,SC,,,1,,,
Hemiptera,Belostomatidae,9.8,PR,from Belostoma,,,1,,
Hirudinea sub-class,Hirudinea sub-class,10,PR,,6,,,,
Trichoptera,Brachycentridae,1,GC,,1,35,12,,14
Trichoptera,Hydropsychidae,4,FC,,2,28,26,19,130
Trichoptera,Hydroptilidae,4,SC,,,,,,13
Trichoptera,Leptoceridae,4,GC,,,,1,,1
Trombidiformes,Hydracarina,4,PR,Class:Arachnida,,,,1,43
Veneroida,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,2,,,,
Veneroidae,Pisidiidae,8,GC,,,,,,1
