Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WCC3d7,WCC3s6,WCC3t6
Annelida,Nematomorpha,-9999,PA,,,,8
Annelida,Oligochaeta,10,GC,,4,38,5
Basommatophora,Viviparidae,6,SC,Class: Gastropoda,,1,
Coleoptera,Dytiscidae,5,PR,,1,,
Decapoda,Cambaridae,6,GC,,3,,
Diptera,Ceratopogonidae,6,PR,,,,1
Diptera,Chironomidae,6,GC,4 Pupae 2012,15,10,68
Diptera,Culicidae,8,GC,,1,,
Diptera,Simuliidae,6,FC,,,27,1
Ephemeroptera,Baetidae,4,GC,,2,18,3
Ephemeroptera,Caenidae,7,GC,,3,,8
Ephemeroptera,Heptageniidae,4,SC (CG),,2,,
Odonata,Corduliidae,2,PR,,1,,
Trichoptera,Glossosomatidae,0,SC,,,,1
Trichoptera,Hydropsychidae,4,FC,,,,4
