Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WHI1a7,WHI1b6,WHI1d7,WHI1s6
Annelida,Nematomorpha,-9999,PA,,,,,1
Annelida,Oligochaeta,10,GC,,1,,5,11
Basommatophora,Viviparidae,6,SC,Class: Gastropoda,,,,1
Coleoptera,Elmidae,4,GC,,4,,19,2
Diptera,Chironomidae,6,GC,,8,,6,24
Diptera,Culicidae,8,GC,,,,,1
Diptera,Simuliidae,6,FC,,1,,1,13
Ephemeroptera,Baetidae,4,GC,,8,3,4,31
Ephemeroptera,Ephemeridae,4,GC,,,85,1,
Ephemeroptera,Heptageniidae,4,SC (CG),,37,3,10,16
Ephemeroptera,Leptophlebiidae,5,GC,,49,,2,
Ephemeroptera,Oligoneuriidae,2,FC,,,1,15,
Ephemeroptera,Potamanthus,4,FC,,,,,2
Ephemeroptera,Tricorythidae,5,GC,,1,,3,
Hemiptera,Naucoridae,5,PR,,,,2,
Trichoptera,Brachycentridae,1,GC,,,2,,
Trichoptera,Helicopsychidae,3,SC,,37,,,
Trichoptera,Hydropsychidae,4,FC,,,24,32,14
Trichoptera,Hydroptilidae,4,SC,,,,,5
Trombidiformes,Hydrocarina,4,PR,Class: Arachnida; Eylaoidea sp.,,,,1
