Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WHI2a7,WHI2b5,WHI2s6
Coleoptera,Elmidae,4,GC,,1,,
Diptera,Chironomidae,6,GC,,3,2,2
Diptera,Simuliidae,6,FC,,7,42,101
Ephemeroptera,Baetidae,4,GC,,,,3
Ephemeroptera,Ephemerellidae,1,GC,,1,,
Ephemeroptera,Heptageniidae,4,SC (CG),,2,44,10
Ephemeroptera,Leptophlebiidae,5,GC,,,1,
Ephemeroptera,Oligoneuriidae,2,FC,,45,,
Ephemeroptera,Tricorythidae,5,GC,,1,,1
Hemiptera,Hebridae,-9999,PR,,,,6
Lepidoptera,Pyralidae,5,SH,,,,1
Trichoptera,Hydropsychidae,4,FC,,14,18,20
Trichoptera,Leptoceridae,4,GC,,,1,
Trombidiformes,Hydracarina,4,PR,Class: Arachnida; Eylaoidea sp.,,,1
