Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WOK1a6,WOK1b5,WOK1r6,WOK1s6,WOK1t6
Amphipoda,Talitridae,8,GC,,108,53,,1,1
Annelida,Oligochaeta,10,GC,,,,1,4,
Coleoptera,Dytiscidae,5,PR,,3,6,,,
Coleoptera,Elmidae,4,GC,,1,,,1,
Coleoptera,Elmidae,4,SC,Microcylloepus sp.,,,1,,
Coleoptera,Elmidae,4,SH,Acerpenna sp.,,,9,,
Coleoptera,Elmidae,3,SC,Stenelmis sp.,,,1,,
Coleoptera,Haliplidae,7,SC,,1,,,,
Diptera,Chironomidae,6,GC,,13,5,9,30,32
Diptera,Simuliidae,6,FC,,1,2,,1,1
Diptera,Tabanidae,8,PR,Chrysops sp.,,,,1,
Diptera,Tipulidae,3,SH,,,,,1,
Ephemeroptera,Baetidae,4,GC,,11,36,11,41,5
Ephemeroptera,Baetidae,4,OM,Procloeon sp.,,,1,,
Ephemeroptera,Leptophlebiidae,5,GC,,,1,,,
Hemiptera,Naucoridae,5,PR,Ambrysus sp.,,,1,,
Hirudinea,Glossiphoniidae,8,PR,,,4,,,
Megaloptera,Sialidae,4,PR,,,1,,,
Neotaenioglossa,Hydrobiidae,7,SC,Class: Gastropoda,,,,1,
Plecoptera,Perlodidae,2,PR,,,7,,2,
Trichoptera,Brachycentridae,1,FC,,,,283,26,63
Trichoptera,Hydropsychidae,4,FC,,,,1,,
Trichoptera,Leptoceridae,4,GC,,,,,3,
Trichoptera,Phrygoneidae,5,SH,,,,1,,
Tricladida,Planariidae,4,PR,,1,,,,
Trombidiformes,Hydracarina,4,PR,Class: Arachnida,,,,1,
