Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WOK2a7,WOK2b6,WOK2r6,WOK2s6,WOK2s6(2) - Separate Count Keep,WOK2t6,WOK2u6,WOK2v6
Amphipoda,Gammaridae,6,GC,,,,,1,3,,,
Amphipoda,Talitridae,8,GC,,10,,1,,,4,51,3
Annelida,Oligochaeta,10,GC,,,,4,1,2,9,86,10
Basommatophora,Lymnaeidae,6,SC,Class: Gastropoda,,,1,,,,,
Basommatophora,Physidae,8,SC,Class: Gastropoda,,,,,1,29,2,
Basommatophora,Planorbidae,7,SC,Class: Gastropoda,1,,1,,,,,
Coleoptera,Elmidae,4,GC,,52,34,49,23,35,26,24,81
Coleoptera,Hydrophilidae,5,PR,,,,,,1,,,
Coleoptera,Dytiscidae,5,PR,,,,,,,,1,
Conchostraca,,-9999,N/A,,,,,,,1,,
Diptera,Ceratopogonidae,6,PR (CG),,,3,,1,,6,4,
Diptera,Chironomidae,6,GC,,23,35,26,77,21,74,432,41
Diptera,Culicidae,8,GC,,,,1,,,,,
Diptera,Ephydridae,6,GC,,,,1,,,,,
Diptera,Simuliidae,6,FC,,,,1,,1,1,4,
Diptera,Tabanidae,8,PR,,,3,,,,,,
Diptera,Thaumaleidae,0,GC,Extremely rare,,,,5,1,,,
Ephemeroptera,Baetidae,4,GC,,1,1,,12,1,3,2,2
Ephemeroptera,Caenidae,7,GC,,15,5,,1,,5,,
Ephemeroptera,Ephemeridae,4,GC,,,4,,,,,,
Ephemeroptera,Heptageniidae,4,SC (CG),,1,,,,,,,
Ephemeroptera,Siphlonuridae,7,GC,,,,,1,,,,
Ephemeroptera,Tricorythidae,5,GC,,4,,3,,6,,2,5
Hemiptera,Naucoridae,5,PR,,1,,,,,,,1
Hemiptera,Corixidae,10,PR,,,,,,,1,2,
Hirudinea,Hirudina,10,PR,,1,,,,,,,
Megaloptera,Sialidae,4,PR,,4,,1,,,,,
Odonata,Gomphidae,1,PR,,2,1,,,,,,
Plecoptera,Perlidae,3,PR,,,,,2,,,,
Trichoptera,Brachycentridae,1,FC,,,7,6,22,6,7,,
Trichoptera,Helicopsychidae,3,SC,,2,,,,,5,,
Trichoptera,Hydropsychidae,4,FC,,1,,16,2,15,,19,24
Trichoptera,Hydroptilidae,4,SC,,,,,,2,,,2
Trichoptera,Limnephilidae,4,SH,,2,1,,,,,,
Trombidiformes,Hydracarina,4,PR,Class: Arachnida,,,3,6,,2,15,7
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,1,2,,,,,1,2
