Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WDK4a6,WDK4b5,WDK4d7,WOK4r6/7,WOK4s6,WOK4t6,WOK4u6,WOK4v6
Amphipoda,Talitridae,8,GC,,2,,,,,,,
Annelida,Hirudinae,10,PR,,,,,,,1,,
Annelida,Nematomorpha,-9999,PA,,,,,,,10,,
Annelida,Oligochaeta,10,GC,,,3,9,11,11,,32,13
Aosobranchia,Viviparidae,6,SC,,,,,,,,,1
Basommatophora,Lymnaeidae,6,SC,Class: Gastropoda,1,,,,1,,,
Basommatophora,Planorbidae,7,SC,Class: Gastropoda,,,,,1,,,1
Coleoptera,Elmidae,4,GC,,,,11,,2,5,,6
Diptera,Ceratopogonidae,6,PR,,,,,,5,2,,1
Diptera,Chironomidae,6,GC,,34,1,38,26,31,66,32,6
Diptera,Culicidae,8,GC,,,,7,2,,,,
Diptera,Sciomyzidae,6,PR,,,,1,,,,,
Diptera,Simulidae,6,FC,,,,,,,,15,1
Diptera,Tabanidae,8,PR,,,,,,,,,1
Diptera,Tipulidae,3,SH,Tipula sp.(b5); Subfamily: Limoniinae(r6),,3,,1,,1,,
Ephemeroptera,Baetidae,4,GC,,16,4,7,16,6,1,14,40
Ephemeroptera,Caenidae,7,GC,,4,1,,,1,3,,
Ephemeroptera,Heptageniidae,4,SC (CG),,14,4,5,8,12,1,1,15
Ephemeroptera,Oligoneuriidae,2,FC,,2,,1,,,,,
Ephemeroptera,Tricorythidae,5,GC,,,2,11,,,,,
Hemiptera,Naucoridae,5,PR,,11,1,7,,5,,,
Plecoptera,Perlidae,3,PR,,6,1,,3,,,,1
Trichoptera,Brachycentridae,1,FC,,,1,1,,,4,,
Trichoptera,Hydropsychidae,4,FC,,2,2,1,35,,28,,1
Trichoptera,Hydroptilidae,4,SC,,,,,,2,9,,1
Trombidiformes,Hydracarina,4,PR,,,,,,,1,,2
