Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,WOL1a6,WOL1b5,WOL1d7,WOL1s6
Amphipoda,Gammaridae,6,GC,,,,52,
Amphipoda,Talitridae,8,GC,,58,24,,8
Annelida,Nematomorpha,-9999,PA,,,,2,7
Annelida,Oligochaeta,10,GC,,,7,4,
Basommatophora,Physidae,8,SC,Class: Gastropoda,,,,25
Coleoptera,Elmidae,4,GC,,1,4,8,
Decapoda,Palaemonidae,8,SH,,5,2,,
Diptera,Ceratopogonidae,6,PR (CG),,,7,,3
Diptera,Chironomidae,6,GC,,9,15,12,119
Diptera,Ephydridae,6,GC,,,,,1
Diptera,Simuliidae,6,FC,,59,2,,7
Diptera,Stratiomyidae,8,GC,,,1,,
Ephemeroptera,Baetidae,4,GC,,14,,4,2
Ephemeroptera,Caenidae,7,GC,,,1,,1
Ephemeroptera,Heptageniidae,4,SC,,,,,2
Ephemeroptera,Siphlonuridae,7,GC,,,,,3
Hemiptera,Mesoveliidae,-9999,PR,Undetermined tolerance values,,,,1
Hirudina,Glossiphoniidae,8,PR,,,2,,
Hirudina,Hirudinae,10,PR,,,,1,4
Megaloptera,Sialidae,4,PR,,,1,1,
Odonata,Libellulidae,9,PR,,,,1,
Plecoptera,Perlidae,1,PR,,,,,1
Trichoptera,Brachycentridae,1,FC,,,,10,2
Trichoptera,Limnephilidae,4,SH,,1,4,,
Trombidiformes,Hydracarina,4,PR,Class: Arachnida,,,,4
Veneroidea,Pisidiidae,8,GC,Class: Bivalvia formerly Pelecypoda,,22,,
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,,,,8
