group,sta,PC1_mean,PC2_mean,q1_mean,q7_mean,q30_mean,q1_q30_mean,eigen_dist,prob,type
V1,bat_bhr,-0.09225544404616,0.0476238738063223,-0.0265133655200554,-0.0432314535515734,-0.0906123671315968,0.0640990016115414,0.103822446091752,0.999989894493187,all
V1,bev_pri,-0.250165070500201,0.0756054714861972,-0.105790183657557,-0.124371019549045,-0.204081034533926,0.0982908508763696,0.261340295050382,0.994827778460532,all
V1,blp_bel,-0.488371121718451,-0.176857071971745,-0.395199900804891,-0.307232694896336,-0.141477329222881,-0.25372257158201,0.519408102011276,1,all
V1,spr_her,0.192832476433395,0.00908962256948334,0.122179208471288,0.107406024045117,0.104365657282405,0.0178135511888832,0.193046588174698,1,all
V1,whi_int,-0.508936854084406,-0.0697122195375737,-0.345533728724878,-0.296996460685468,-0.238269766450151,-0.107263962274726,0.513689122912085,1,all
V1,whi_kad,-0.339475175699414,-0.0697089581236956,-0.244940133571089,-0.201498435989041,-0.140820107620607,-0.104120025950482,0.346558413198755,1,all
V1,whi_slm,-0.292444870812618,-0.0144681935069478,-0.184535452034948,-0.164484130803162,-0.157417891622646,-0.0271175604123012,0.292802546245697,0.999999989031072,all
V2,bat_her,0.532910990451409,0.035314420284595,0.330597807818796,0.315245736153182,0.276762140238636,0.0538356675801602,0.53407979930338,0.999999999999917,all
V2,bev_buf,0.515416587827894,0.038620819811187,0.320410342964759,0.308222483254524,0.263606314463193,0.0568040285015662,0.516861516008918,0.999999999999958,all
V2,frn_fai,0.376602185046835,0.0337754073071386,0.237468771757188,0.22616017733509,0.188244520359371,0.0492242513978176,0.378113718239386,0.999999999973447,all
V2,lcr_bel,0.98656216939829,-0.0302483847509401,0.55755492876876,0.563178356053464,0.58839935952814,-0.0308444307593802,0.987025774165954,1,all
V2,lcr_vet,0.850457509542229,0.0237398251449212,0.510060182135788,0.494800447388463,0.467903047038522,0.0421571350972659,0.850788783914481,1,all
V2,lwr_abv,0.898849120485453,0.0219798982139055,0.537141786342406,0.522504065968142,0.496953834945818,0.0401879513965886,0.899117821713576,1,all
V2,lwr_mar,0.537872235269658,0.0353538235690127,0.333056032213716,0.318692900405939,0.279443099134725,0.0536129330789917,0.539032869419785,0.99999999999997,all
V2,lwr_ros,0.978036377614562,0.0174395934925527,0.58114148252255,0.5666881974378,0.545986423848096,0.0351550586744539,0.978191849975556,1,all
V2,lwr_whi,0.77602869815453,0.0245794466377026,0.465883637498435,0.453635396635737,0.424302570625949,0.0415810668724857,0.77641785757183,1,all
V2,rap_far,0.833525795852455,0.0126578639787523,0.491915745366417,0.485140617865046,0.466485730170722,0.0254300151956951,0.833621901027062,1,all
V2,wcc_ogl,0.525788695852349,0.000529240899010216,0.306017312270199,0.304480864230567,0.300177655295758,0.00583965697444134,0.525788962210166,0.99999999999187,all
V3,bev_abf,1.45372115109119,-0.0224842611077601,0.839274557025386,0.828104994842858,0.850872643345389,-0.0115980863200036,1.45389501929385,0.999999999801357,all
V3,fal_hot,1.20527999301698,0.00634597364958842,0.708594466759576,0.693790215068344,0.685179359832652,0.0234151069269238,1.20529669913618,0.940023853246138,all
V3,lcr_abv,1.48065147417211,-0.0214792956457129,0.854017680338795,0.8457875399915,0.865058551847066,-0.0110408715082708,1.48080726230981,0.999945690989784,all
V3,ros_ros,1.58282562830464,-0.0315028979191872,0.909020304068699,0.901146360165419,0.931803450928775,-0.0227831468600752,1.58313909755122,0.999999969709759,all
V3,wkc_wok,1.63739780813281,-0.042517366375028,0.936833487449243,0.927408477759691,0.972412796026607,-0.0355793085773642,1.63794972710446,1,all
V4,brsf_co,-2.12488172139443,-0.316539926166957,-1.4148931620644,-1.29881939122787,-0.962860281383016,-0.452032880681387,2.14832954985355,1,all
V4,hat_edg,-2.63197031201517,0.0285949853202698,-1.50862348068002,-1.52433531308213,-1.5259604052245,0.0173369245444848,2.6321256422357,1,all
V4,hor_oel,-3.51858567945997,0.0609343611758649,-2.00269164034405,-2.0344906870686,-2.057725661047,0.0550340207029489,3.51911326616134,1,all
V5,che_buf,-1.34080026977074,0.109235996516352,-0.722659594165554,-0.746152635807038,-0.854870744040061,0.132211149874507,1.34524267935277,1,all
V5,che_red,-1.25363351170746,0.109229067098841,-0.673568843751028,-0.693690420632219,-0.805470096515351,0.131901252764323,1.25838307791199,1,all
V5,whi_ogl,-0.899482589662056,0.0481782183427291,-0.497958113374843,-0.507363655963456,-0.553217461576706,0.0552593482018633,0.900771929973308,1,all
V5,whi_sta,-0.652480166355636,0.046396764655904,-0.356091613950118,-0.363829977492386,-0.410790812940569,0.0546991989904514,0.654127684216173,1,all
V5,whi_whi,-0.971257254186239,0.0102947899320132,-0.5621565743985,-0.555886075650144,-0.56437299068863,0.0022164162901303,0.971311812194796,1,all
V1,blp_bel,-0.290636311906871,-0.1841850094026,-0.285225072396515,-0.193051085035216,-0.0229132888204751,-0.26231178357604,0.344083686749988,1,wet
V1,whi_int,-0.496649348147718,-0.0780305550852515,-0.342929986499159,-0.291929629462628,-0.224496447164332,-0.118433539334827,0.502741824938473,0.999980164173835,wet
V1,whi_kad,-0.23256893911709,-0.0931285154367868,-0.196292287852569,-0.144285847679063,-0.0611616392636509,-0.135130648588918,0.250521918860423,0.999999906122393,wet
V2,bat_bhr,0.255690284532864,0.0379076595758762,0.171567446704608,0.154532802847947,0.116292466750065,0.0552749799545422,0.258485032949719,0.92743477720284,wet
V2,bev_pri,0.0143058726749158,0.0444283286647668,0.031754226811645,0.020116552301899,-0.02769728595649,0.059451512768135,0.0466747724251061,0.986978699293239,wet
V2,whi_ogl,-0.570627029536813,0.00258267392652254,-0.334329752434707,-0.324948223386311,-0.329160227182287,-0.00516952525241974,0.570632874134165,0.999995203233729,wet
V2,whi_slm,-0.56541366292195,0.0166650027692059,-0.325431657718157,-0.316182961484149,-0.338010658798749,0.012579001080592,0.565659201760313,0.999993548443202,wet
V2,whi_sta,-0.350492495378915,0.00541631431402087,-0.206347752319623,-0.194718538500268,-0.206156212015288,-0.000191540304334522,0.350534343221441,0.999754864865051,wet
V3,brsf_co,-1.81462998806848,-0.378559796312944,-1.27173804410438,-1.13054114339452,-0.735825754992673,-0.535912289111704,1.8536961760175,1,wet
V4,che_buf,-1.77970744014737,0.0683554101253683,-1.00192565677955,-1.00890931758626,-1.07264425757347,0.0707186007939231,1.78101966148869,0.999999999999807,wet
V4,che_red,-1.73055227355528,0.0766063767841325,-0.97224771328447,-0.974071870252796,-1.05218629659198,0.0799385833075086,1.73224701139051,0.999999916537681,wet
V4,spr_her,-0.915720911067542,0.102050650356929,-0.473598554268805,-0.509808846388668,-0.603952410833077,0.130353856564272,0.921389777566824,0.99999999914465,wet
V4,whi_whi,-1.5725498512096,0.0644235521244139,-0.88366376002115,-0.889781136893525,-0.951180542901181,0.067516782880031,1.57386893628652,0.999999999566151,wet
V5,bat_her,0.834932206864215,0.0199990549782942,0.500036104380679,0.483952231954079,0.461927583194204,0.0381085211864749,0.835171690288394,0.999030337989952,wet
V5,bev_abf,0.93712499200998,0.0232873028805071,0.561481626541337,0.543666224067854,0.517728465188034,0.0437531613533036,0.937414288948677,0.999852232530824,wet
