sta,ecoreg
bad_fpi,Pierre Shale Plains
bat_bhr,Pierre Shale Plains
bat_her,Black Hills Plateau
bev_abf,Black Hills Plateau
bev_buf,Black Hills Plateau
bev_pri,Black Hills Plateau
blc_wan,Keya Paha Tablelands
blp_bel,White River Badlands
brsf_co,Pierre Shale Plains
che_buf,Pierre Shale Plains
che_pla,Pierre Shale Plains
che_red,Pierre Shale Plains
che_sce,Pierre Shale Plains
che_was,Pierre Shale Plains
elk_elm,Pierre Shale Plains
fal_hot,Black Hills Plateau
frn_fai,Black Hills Plateau
hat_edg,Pierre Shale Plains
hor_oel,Pierre Shale Plains
key_key,Keya Paha Tablelands
key_wew,Keya Paha Tablelands
lcr_abv,Sand Hills
lcr_bel,Sand Hills
lon_riv,Sand Hills
lwr_aro,Sand Hills
lwr_mar,Sand Hills
lwr_ros,Sand Hills
lwr_vet,Sand Hills
lwr_whi,Sand Hills
nio_spa,Sand Hills
plu_hay,Pierre Shale Plains
ros_ros,Keya Paha Tablelands
spr_her,Black Hills Plateau
wcc_ogl,Pine Ridge Escarpment
whi_int,White River Badlands
whi_kad,White River Badlands
whi_oac,Pierre Shale Plains
whi_ogl,Pine Ridge Escarpment
whi_slm,Pine Ridge Escarpment
whi_sta,Pine Ridge Escarpment
whi_whi,Pine Ridge Escarpment
wkc_wok,Keya Paha Tablelands
