sta,site_no,flow_regime
hat_edg,6400000,intermittent
hor_oel,6400875,intermittent
fal_hot,6402000,perennial
bev_pri,6402430,intermittent
bev_abf,6402470,perennial
bev_buf,6402500,intermittent
che_buf,6402600,perennial
frn_fai,6403300,intermittent
che_red,6403700,perennial
bat_her,6406000,intermittent
bat_bhr,6406500,intermittent
spr_her,6408500,intermittent
che_sce,6408650,perennial
che_was,6423500,perennial
elk_elm,6425500,intermittent
che_pla,6438500,perennial
brsf_co,6440200,intermittent
plu_hay,6441110,intermittent
bad_fpi,6441500,intermittent
whi_sta,6445685,intermittent
whi_slm,6445700,intermittent
wcc_ogl,6445980,intermittent
whi_ogl,6446000,intermittent
wkc_wok,6446100,intermittent
whi_int,6446500,intermittent
blc_wan,6446700,intermittent
whi_kad,6447000,intermittent
blp_bel,6447230,intermittent
whi_whi,6447450,intermittent
lwr_mar,6447500,perennial
lcr_abv,6448000,perennial
lcr_bel,6449000,intermittent
lwr_vet,6449100,perennial
lwr_aro,6449300,perennial
ros_ros,6449400,intermittent
lwr_ros,6449500,perennial
lwr_whi,6450500,perennial
whi_oac,6452000,perennial
nio_spa,6461500,perennial
lon_riv,6463500,perennial
key_key,6464100,perennial
key_wew,6464500,perennial
