sta,min_yr,max_yr,count_yr,station_nm,site_no,dec_lat_va,dec_long_va,alt_va,drain_area_va,contrib_drain_area_va,state_cd,county_cd,huc_cd,land_net_ds,coord_datum_cd,dec_coord_datum_cd,alt_datum_cd
che_was,1915,2017,103,"CHEYENNE RIVER NEAR WASTA, SD",6423500,44.08109849,-102.4012746,2260.78,12679,12674,46,103,10120111,NENENWS02 T01N  R14E  7,NAD27,NAD83,NGVD29
whi_int,1929,2017,89,"WHITE R NEAR INTERIOR,SD",6446500,43.69388346,-101.9326516,2290.21,4101,4094,46,71,10140202,SWSES14 T43N  R18E  6,NAD27,NAD83,NAVD88
lcr_abv,1938,2016,79,"LAKE CR ABOVE REFUGE NEAR TUTHILL,SD",6448000,43.08711217,-101.60387,3090,57,57,46,7,10140203,NESWNES19 T36N  R36W  6,NAD27,NAD83,NGVD29
bev_buf,1938,2017,80,"BEAVER CR NEAR BUFFALO GAP,SD",6402500,43.4666495,-103.3060308,3151.87,127,127,46,47,10120109,NESES05 T07S  R07E  7,NAD27,NAD83,NAVD88
lwr_mar,1938,2017,80,"LITTLE WHITE R NEAR MARTIN,SD",6447500,43.1669155,-101.6327322,3045,313,299,46,7,10140203,NWSWNWS19 T37N  R36W  6,NAD27,NAD83,NGVD29
lcr_bel,1939,2017,79,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",6449000,43.1459166,-101.5128713,3055,121,121,46,7,10140203,SESES25 T37N  R36W  6,NAD27,NAD83,NGVD29
whi_kad,1942,2017,76,"WHITE R NEAR KADOKA,SD",6447000,43.7524949,-101.5248665,2122.18,4960,4953,46,71,10140202,SESES30 T03S  R22E  6,NAD27,NAD83,NGVD29
lwr_ros,1943,2017,75,LITTLE WHITE R NEAR ROSEBUD SD,6449500,43.3255586,-100.8837556,2294.99,1033,979,46,121,10140203,SWNWS28 T39N  R30W  6,NAD27,NAD83,NGVD29
whi_ogl,1943,2017,75,WHITE R NEAR OGLALA SD,6446000,43.25484357,-102.8273511,2853.54,2156,2156,46,102,10140201,SWNES24 T38N  R47W  6,NAD27,NAD83,NGVD29
rap_far,1946,2017,72,"RAPID CR NEAR FARMINGDALE,SD",6421500,43.94210239,-102.8539247,2699.74,603,603,46,103,10120110,SWSWSWS19 T01S  R11E  7,NAD27,NAD83,NAVD88
fal_hot,1947,2017,71,"FALL R AT HOT SPRINGS,SD",6402000,43.43053476,-103.4763069,3413.2,136,136,46,47,10120109,NWNWS24 T07S  R05E  7,NAD27,NAD83,NGVD29
bat_her,1949,2017,69,"BATTLE CR AT HERMOSA,SD",6406000,43.82804586,-103.1960211,3290,169,169,46,33,10120109,NESWSWS32 T02S  R08E  7,NAD27,NAD83,NGVD29
lwr_whi,1950,2017,68,"LITTLE WHITE R BELOW WHITE RIVER,SD",6450500,43.60138549,-100.7498608,1912.78,1549,1495,46,95,10140203,SWNWS23 T42N  R29W  6,NAD27,NAD83,NGVD29
bat_bhr,1951,2017,67,"BATTLE CR BELOW HERMOSA,SD",6406500,43.72543145,-102.9061231,2800.32,284,284,46,103,10120109,NESWSES03 T04S  R10E  7,NAD27,NAD83,NAVD88
hat_edg,1951,2017,67,"HAT CR NEAR EDGEMONT,SD",6400000,43.2399736,-103.5882519,3297.31,959,956,46,47,10120108,SWSENES25 T09S  R04E  7,NAD27,NAD83,NAVD88
lcr_vet,1959,2017,59,"LITTLE WHITE R NEAR VETAL,SD",6449100,43.10069918,-101.232234,2780.69,607,571,46,7,10140203,NENWS17 T36N  R33W  6,NAD27,NAD83,NGVD29
che_buf,1969,2017,49,CHEYENNE R NEAR BUFFALO GAP SD,6402600,43.5019636,-103.0744103,2812.85,9792,9788,46,33,10120109,SWNE  S29 T06S  R09E,NAD27,NAD83,NAVD88
frn_fai,1982,2017,36,FRENCH CR ABOVE FAIRBURN SD,6403300,43.7172105,-103.3679713,3850,105,105,46,33,10120109,SWSWNES11 T04S  R06E  7,NAD27,NAD83,NGVD29
hor_oel,1983,2017,35,"HORSEHEAD CR AT OELRICHS,SD",6400875,43.18803166,-103.2265866,3316.3,188,188,46,47,10120106,SWSWSWS07 T10S  R08E  7,NAD27,NAD83,NAVD88
whi_sta,1988,2017,30,WHITE R NR NE-SD STATE LINE,6445685,43.013036,-102.8357327,3030,1367,1367,46,102,10140201,NESWNES15 T35N  R47W  6,NAD27,NAD83,NGVD29
brsf_co,1989,2017,29,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",6440200,43.9690175,-101.767229,2242.96,257,257,46,71,10140102,NESWSES07 T01S  R20E  5,NAD27,NAD83,NGVD29
