count_yr,sta,site_no,station_nm,dec_lat_va,dec_long_va,state_cd,county_cd,alt_va,drain_area_va,contrib_drain_area_va,min_yr,max_yr
67,bat_bhr,6406500,"BATTLE CR BELOW HERMOSA,SD",43.72543145,-102.9061231,46,103,2800.32,284,284,1951,2017
69,bat_her,6406000,"BATTLE CR AT HERMOSA,SD",43.82804586,-103.1960211,46,33,3290,169,169,1949,2017
73,bat_key,6404000,"BATTLE CR NEAR KEYSTONE,SD",43.87164727,-103.3363029,46,103,3798.15,58.5,58.5,1945,2017
7,bev_abf,6402470,"BEAVER CREEK ABOVE BUFFALO GAP, SD",43.52220578,-103.356863,46,33,3372,111,111,1991,1997
80,bev_buf,6402500,"BEAVER CR NEAR BUFFALO GAP,SD",43.4666495,-103.3060308,46,47,3151.87,127,127,1938,2017
27,bev_pri,6402430,"BEAVER CREEK NEAR PRINGLE, SD",43.58137177,-103.4765835,46,33,4180,45.6,45.6,1991,2017
26,blp_bel,6447230,"BLACK PIPE CREEK NR BELVIDERE, SD",43.75527266,-101.2279205,46,95,2060,273,273,1992,2017
29,brsf_co,6440200,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",43.9690175,-101.767229,46,71,2242.96,257,257,1989,2017
103,che_was,6423500,"CHEYENNE RIVER NEAR WASTA, SD",44.08109849,-102.4012746,46,103,2260.78,12679,12674,1915,2017
72,chr_ang,6401500,"CHEYENNE R BELOW ANGOSTURA DAM,SD",43.34497757,-103.4371412,46,47,3058.02,9097,9092,1946,2017
71,fal_hot,6402000,"FALL R AT HOT SPRINGS,SD",43.43053476,-103.4763069,46,47,3413.2,136,136,1947,2017
36,frn_fai,6403300,FRENCH CR ABOVE FAIRBURN SD,43.7172105,-103.3679713,46,33,3850,105,105,1982,2017
67,hat_edg,6400000,"HAT CR NEAR EDGEMONT,SD",43.2399736,-103.5882519,46,47,3297.31,959,956,1951,2017
35,hor_oel,6400875,"HORSEHEAD CR AT OELRICHS,SD",43.18803166,-103.2265866,46,47,3316.3,188,188,1983,2017
79,lcr_bel,6449000,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",43.1459166,-101.5128713,46,7,3055,121,121,1939,2017
59,lcr_vet,6449100,"LITTLE WHITE R NEAR VETAL,SD",43.10069918,-101.232234,46,7,2780.69,607,571,1959,2017
23,lwr_abv,6449300,LITTLE WHITE R ABV ROSEBUD SD,43.26305967,-100.9176459,46,121,2416,911,855,1982,2004
80,lwr_mar,6447500,"LITTLE WHITE R NEAR MARTIN,SD",43.1669155,-101.6327322,46,7,3045,313,299,1938,2017
75,lwr_ros,6449500,LITTLE WHITE R NEAR ROSEBUD SD,43.3255586,-100.8837556,46,121,2294.99,1033,979,1943,2017
68,lwr_whi,6450500,"LITTLE WHITE R BELOW WHITE RIVER,SD",43.60138549,-100.7498608,46,95,1912.78,1549,1495,1950,2017
72,rap_far,6421500,"RAPID CR NEAR FARMINGDALE,SD",43.94210239,-102.8539247,46,103,2699.74,603,603,1946,2017
30,ros_ros,6449400,ROSEBUD CR AT ROSEBUD SD,43.2372267,-100.8576446,46,121,2531.91,49,49,1975,2004
56,spr_her,6408500,"SPRING CR NEAR HERMOSA,SD",43.9416695,-103.1591456,46,103,3265.3,205,205,1949,2004
34,wcc_ogl,6445980,WHITE CLAY CR NEAR OGLALA SD,43.14651127,-102.6833116,46,102,3001.54,375,375,1966,1999
76,whi_kad,6447000,"WHITE R NEAR KADOKA,SD",43.7524949,-101.5248665,46,71,2122.18,4960,4953,1942,2017
75,whi_ogl,6446000,WHITE R NEAR OGLALA SD,43.25484357,-102.8273511,46,102,2853.54,2156,2156,1943,2017
36,whi_slm,6445700,"WHITE RIVER AT SLIM BUTTE, SD",43.08970356,-102.7982327,46,102,3000,1426,1426,1962,1997
30,whi_sta,6445685,WHITE R NR NE-SD STATE LINE,43.013036,-102.8357327,46,102,3030,1367,1367,1988,2017
6,wkc_wok,6446100,"WOUNDED KNEE CREEK AT WOUNDED KNEE, SD",43.14351647,-102.3583815,46,102,3200,73.5,73.5,1992,1997
