sta,min_yr,max_yr,count_yr,site_no,station_nm,dec_lat_va,dec_long_va,state_cd,county_cd,alt_va,drain_area_va,contrib_drain_area_va
che_was,1915,2017,103,6423500,"CHEYENNE RIVER NEAR WASTA, SD",44.08109849,-102.4012746,46,103,2260.78,12679,12674
whi_int,1929,2017,89,6446500,"WHITE R NEAR INTERIOR,SD",43.69388346,-101.9326516,46,71,2290.21,4101,4094
whi_cra,1931,2004,74,6444000,"White River at Crawford, Nebr.",42.68666667,-103.4177778,31,45,3659.85,313,
bev_buf,1938,2017,80,6402500,"BEAVER CR NEAR BUFFALO GAP,SD",43.4666495,-103.3060308,46,47,3151.87,127,127
lwr_mar,1938,2017,80,6447500,"LITTLE WHITE R NEAR MARTIN,SD",43.1669155,-101.6327322,46,7,3045,313,299
lcr_bel,1939,2017,79,6449000,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",43.1459166,-101.5128713,46,7,3055,121,121
whi_kad,1942,2017,76,6447000,"WHITE R NEAR KADOKA,SD",43.7524949,-101.5248665,46,71,2122.18,4960,4953
lwr_ros,1943,2017,75,6449500,LITTLE WHITE R NEAR ROSEBUD SD,43.3255586,-100.8837556,46,121,2294.99,1033,979
whi_ogl,1943,2017,75,6446000,WHITE R NEAR OGLALA SD,43.25484357,-102.8273511,46,102,2853.54,2156,2156
rap_far,1946,2017,72,6421500,"RAPID CR NEAR FARMINGDALE,SD",43.94210239,-102.8539247,46,103,2699.74,603,603
fal_hot,1947,2017,71,6402000,"FALL R AT HOT SPRINGS,SD",43.43053476,-103.4763069,46,47,3413.2,136,136
spr_her,1949,2004,56,6408500,"SPRING CR NEAR HERMOSA,SD",43.9416695,-103.1591456,46,103,3265.3,205,205
bat_her,1949,2017,69,6406000,"BATTLE CR AT HERMOSA,SD",43.82804586,-103.1960211,46,33,3290,169,169
lwr_whi,1950,2017,68,6450500,"LITTLE WHITE R BELOW WHITE RIVER,SD",43.60138549,-100.7498608,46,95,1912.78,1549,1495
bat_bhr,1951,2017,67,6406500,"BATTLE CR BELOW HERMOSA,SD",43.72543145,-102.9061231,46,103,2800.32,284,284
hat_edg,1951,2017,67,6400000,"HAT CR NEAR EDGEMONT,SD",43.2399736,-103.5882519,46,47,3297.31,959,956
lcr_vet,1959,2017,59,6449100,"LITTLE WHITE R NEAR VETAL,SD",43.10069918,-101.232234,46,7,2780.69,607,571
whi_slm,1962,1997,36,6445700,"WHITE RIVER AT SLIM BUTTE, SD",43.08970356,-102.7982327,46,102,3000,1426,1426
wcc_ogl,1966,1999,34,6445980,WHITE CLAY CR NEAR OGLALA SD,43.14651127,-102.6833116,46,102,3001.54,375,375
che_buf,1969,2017,49,6402600,CHEYENNE R NEAR BUFFALO GAP SD,43.5019636,-103.0744103,46,33,2812.85,9792,9788
ros_ros,1975,2004,30,6449400,ROSEBUD CR AT ROSEBUD SD,43.2372267,-100.8576446,46,121,2531.91,49,49
lwr_abv,1982,2004,23,6449300,LITTLE WHITE R ABV ROSEBUD SD,43.26305967,-100.9176459,46,121,2416,911,855
frn_fai,1982,2017,36,6403300,FRENCH CR ABOVE FAIRBURN SD,43.7172105,-103.3679713,46,33,3850,105,105
hor_oel,1983,2017,35,6400875,"HORSEHEAD CR AT OELRICHS,SD",43.18803166,-103.2265866,46,47,3316.3,188,188
whi_sta,1988,2017,30,6445685,WHITE R NR NE-SD STATE LINE,43.013036,-102.8357327,46,102,3030,1367,1367
brsf_co,1989,2017,29,6440200,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",43.9690175,-101.767229,46,71,2242.96,257,257
bev_abf,1991,1997,7,6402470,"BEAVER CREEK ABOVE BUFFALO GAP, SD",43.52220578,-103.356863,46,33,3372,111,111
bev_pri,1991,2017,27,6402430,"BEAVER CREEK NEAR PRINGLE, SD",43.58137177,-103.4765835,46,33,4180,45.6,45.6
wkc_wok,1992,1997,6,6446100,"WOUNDED KNEE CREEK AT WOUNDED KNEE, SD",43.14351647,-102.3583815,46,102,3200,73.5,73.5
blp_bel,1992,2017,26,6447230,"BLACK PIPE CREEK NR BELVIDERE, SD",43.75527266,-101.2279205,46,95,2060,273,273
