site_no,yrs_incomp,years_rec,min_year,max_year,apparent_yrs,sta,station_nm,dec_lat_va,dec_long_va,state_cd,county_cd,alt_va,huc_cd,drain_area_va,contrib_drain_area_va
06400875,1,36,1983,2018,36,hor_oel,"HORSEHEAD CR AT OELRICHS,SD",43.18803166,-103.2265866,46,47,3316.3,10120106,188,188
06402430,1,28,1991,2018,28,bev_pri,"BEAVER CREEK NEAR PRINGLE, SD",43.58137177,-103.4765835,46,33,4180,10120109,45.6,45.6
06402600,1,13,1980,2018,39,che_buf,CHEYENNE R NEAR BUFFALO GAP SD,43.5019636,-103.0744103,46,33,2812.85,10120109,9792,9788
06403300,1,37,1982,2018,37,frn_fai,FRENCH CR ABOVE FAIRBURN SD,43.7172105,-103.3679713,46,33,3850,10120109,105,105
06403700,1,21,1998,2018,21,che_red,"CHEYENNE RIVER AT RED SHIRT, SD",43.6724058,-102.8921298,46,33,2653.21,10120109,10259,10254
06408650,1,12,2007,2018,12,che_sce,"CHEYENNE RIVER NEAR SCENIC, SD",43.8980449,-102.6440611,46,103,2432.37,10120109,11208,11204
06438500,2,23,1980,2018,39,che_pla,"CHEYENNE R NEAR PLAINVIEW,SD",44.5294304,-101.9301531,46,137,1848.7,10120112,21351,21340
06445700,1,7,1991,1997,7,whi_slm,"WHITE RIVER AT SLIM BUTTE, SD",43.08970356,-102.7982327,46,102,3000,10140201,1426,1426
06446100,1,6,1992,1997,6,wkc_wok,"WOUNDED KNEE CREEK AT WOUNDED KNEE, SD",43.14351647,-102.3583815,46,102,3200,10140201,73.5,73.5
06446700,2,26,1993,2018,26,blc_wan,"BEAR IN THE LODGE CR NEAR WANBLEE,SD",43.53666558,-101.7985923,46,71,2500.15,10140202,423,423
06447230,1,27,1992,2018,27,blp_bel,"BLACK PIPE CREEK NR BELVIDERE, SD",43.75527266,-101.2279205,46,95,2060,10140202,273,273
06447450,1,18,2001,2018,18,whi_whi,"WHITE RIVER NEAR WHITE RIVER, SD",43.71304839,-100.6850534,46,75,1770,10140202,6209,6202
06448000,2,21,1996,2016,21,lcr_abv,"LAKE CR ABOVE REFUGE NEAR TUTHILL,SD",43.08711217,-101.60387,46,7,3090,10140203,57,57
06449300,3,21,1982,2004,23,lwr_aro,LITTLE WHITE R ABV ROSEBUD SD,43.26305967,-100.9176459,46,121,2416,10140203,911,855
06449400,2,20,1980,2004,25,ros_ros,ROSEBUD CR AT ROSEBUD SD,43.2372267,-100.8576446,46,121,2531.91,10140203,49,49
06400000,,39,1980,2018,39,hat_edg,"HAT CR NEAR EDGEMONT,SD",43.2399736,-103.5882519,46,47,3297.31,10120108,959,956
