sta,years_rec,min_year,max_year,apparent_yrs,dec_lat_va,dec_long_va,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2
hat_edg,39,1980,2018,39,43.2399736,-103.5882519,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.56706521906984,2.65084146986676,3.48170301393745,4.23863557734703,1.95507355566372,4.46592756510607,1.67286958046156,-0.893243096048108,1.52427755127876
hor_oel,36,1983,2018,36,43.18803166,-103.2265866,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.97885540327733,1.73324249952827,3.54512269033381,5.09678737850628,1.23351407668898,4.90162781536032,1.22683979569586,-1.19701749375015,2.33035325053703
bev_pri,28,1991,2018,28,43.58137177,-103.4765835,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.54298001966882,1.22346529378466,4.16970588881406,1.84571147515559,4.26725759893207,1.41602581332632,3.71503261686392,-4.10101970829568,-1.5803852568216
bev_abf,7,1991,1997,7,43.52220578,-103.356863,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.68602447760174,1.47835389665646,3.75025537821135,1.96491557950493,3.91014711132744,1.96065112614413,3.41118848551748,-3.25485785512029,-1.15273984738332
che_buf,13,1980,2018,39,43.5019636,-103.0744103,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.85303791051098,3.72137360192833,2.27453907409335,3.059582656454,1.95507355566372,3.48560200203401,1.50882986105116,-0.315098928887838,2.19852390114694
frn_fai,37,1982,2018,37,43.7172105,-103.3679713,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.26063274977242,1.4273761760821,5.55191699936544,1.96491557950493,3.91014711132744,0,3.07831314835952,-5.43040915316145,-2.53386833155936
che_red,20,1999,2018,20,43.6724058,-102.8921298,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.78213082789321,3.7723513225027,2.02165789138983,3.10177557842598,1.95507355566372,3.48560200203401,1.54120374668367,-0.151877598419731,2.21617751563371
bat_her,39,1980,2018,39,43.82804586,-103.1960211,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.87920027264521,1.78422022010263,3.23765263586652,2.29066605840823,4.09764506679218,1.96065112614413,3.64359649159579,-3.2799624004836,-0.533284348130841
bat_bhr,30,1989,2018,30,43.72543145,-102.9061231,Black Hills Transition,gaged,Cheyenne,Black Hills Transition,3.04432606003794,1.98813110240007,1.93855408305555,3.059582656454,3.70054223006695,2.61420150152551,2.95018876459031,-2.02117487639977,0.44833815771126
spr_her,25,1980,2004,25,43.9416695,-103.1591456,Black Hills Plateau,gaged,Cheyenne,Black Hills Plateau,2.84678918537328,1.83519794067699,2.96119847973215,1.94120007631983,4.09764506679218,0.653550375381378,3.43404162641878,-4.28937686532029,-0.670213870472607
che_sce,12,2007,2018,12,43.8980449,-102.6440611,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.57452769856086,3.82332904307706,1.60428463908114,3.12280692639449,2.46702815337797,3.37667693947045,1.6895759673892,-0.152581036505521,2.15869854619559
che_was,39,1980,2018,39,44.08109849,-102.4012746,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.49355445901209,3.87430676365142,1.25119795930404,3.18564370262744,2.46702815337797,3.37667693947045,1.67286958046156,0.0823275882603095,2.24933892321732
elk_elm,39,1980,2018,39,44.24831768,-102.5032217,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,3.2142816654015,2.29399742584623,1.09795314761191,4.04755306106052,1.95507355566372,3.92130225228826,1.19651642732333,0.708629685493098,0.741091723241588
che_pla,23,1980,2018,39,44.5294304,-101.9301531,Pierre Shale Plains,gaged,Cheyenne,Pierre Shale,4.05461679798264,4.12919536652322,0.617381317643732,3.47395972836731,2.46702815337797,3.37667693947045,1.63962371576956,0.516783937453552,2.3966956193543
brsf_co,30,1989,2018,30,43.9690175,-101.767229,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.36406163685667,1.88617566125135,1.24157639080944,4.35175876146599,1.23351407668898,5.33732806561458,0.989632131088936,1.18420084987425,0.673435580230139
plu_hay,6,1990,1995,6,44.21053769,-100.7265279,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.3038460804136,2.03910882297443,0.294556594482771,5.66497273420819,1.23351407668898,5.22840300305101,0.655676173210774,2.11412112792743,1.76220208178389
bad_fpi,39,1980,2018,39,44.32664897,-100.3843003,Pierre Shale Plains,gaged,Bad River,Pierre Shale,3.39747546758964,3.16061867561037,0.0933046621541047,5.14952702713581,1.95507355566372,5.33732806561458,1.30351435847275,1.48866309366092,1.97809455416281
whi_sta,31,1988,2018,31,43.013036,-102.8357327,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.62006854186173,2.75279691101548,2.73464409420565,3.57504804027067,2.46702815337797,4.6837776902332,2.34927726624294,-0.473704475001306,0.706497279662239
whi_slm,7,1991,1997,7,43.08970356,-102.7982327,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.57578525511023,2.75279691101548,2.55042256990948,3.63524539833037,2.46702815337797,4.79270275279676,2.36829892072519,-0.368449327423836,0.706996056378576
wcc_ogl,14,1980,1999,20,43.14651127,-102.6833116,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,2.70366512705439,2.14106426412315,2.53432664821123,2.9959636345089,3.46291181462016,4.90162781536032,3.3431349315999,-1.27997132774767,-0.047194350417933
whi_ogl,39,1980,2018,39,43.25484357,-102.8273511,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.53980847544958,3.00768551388728,2.41345277320977,3.73483317879931,2.46702815337797,4.79270275279676,2.38738712323965,-0.304699547214335,0.84814853920079
wkc_wok,6,1992,1997,6,43.14351647,-102.3583815,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,2.29224254065392,1.27444301435902,3.21107986012477,2.64967508194513,1.95507355566372,4.6837776902332,1.96466335468902,-0.17867545099418,-0.969266514800962
