type,sta,flow_regime,ecoreg,L1,L_CV,L_skew,L_kurtosis,.class,.uncertainty,CV_group,hydro_group,group,ecoreg2,hydro_mclust
gage,bat_bhr,Intermittent,Pierre Shale Plains,1.43,0.26,-0.14,0.1,1,0,low,Pierre Shale High,2,psp,Pierre Shale High
gage,bat_her,Intermittent,Black Hills Plateau,1.75,0.16,-0.04,0.09,2,2.22044604925031e-16,low,Black Hills Plateau,3,bhp,Black Hills Plateau
gage,bev_buf,Intermittent,Black Hills Plateau,1.75,0.08,-0.27,0.29,3,0,very low,GW Control,1,bhp,GW Control
gage,brsf_co,Intermittent,Pierre Shale Plains,0.58,0.5,0.37,0.09,4,0,moderate,Pierre Shale Low,5,psp,Pierre Shale Low
gage,che_was,Perennial,Pierre Shale Plains,1.14,0.21,0.1,0.16,4,0,low,Pierre Shale High,5,psp,Pierre Shale High
gage,elk_elm,Intermittent,Pierre Shale Plains,0.68,0.75,0.2,-0.08,5,0,high,Pierre Shale Low,7,psp,Pierre Shale Low
gage,fal_hot,Perennial,Black Hills Plateau,2.26,0.01,-0.08,0.1,2,0,very low,GW Control,3,bhp,Black Hills Plateau
gage,frn_fai,Intermittent,Black Hills Plateau,1.65,0.18,0.02,0.08,2,9.83657599817889e-14,low,Black Hills Plateau,3,bhp,Black Hills Plateau
gage,hat_edg,Intermittent,Pierre Shale Plains,0.28,1.38,0.2,0.01,6,0.0188812873243873,very high,Pierre Shale Low,6,psp,Pierre Shale Low
gage,key_key,Perennial,Keya Paha Tablelands,1.74,0.1,0.05,0.09,2,5.51080793997905e-07,very low,Keya Paha Tablelands,3,kpt,Keya Paha Tablelands
gage,key_wew,Perennial,Keya Paha Tablelands,1.75,0.11,0.05,0.11,7,1.75063075147364e-10,very low,Keya Paha Tablelands,4,kpt,Keya Paha Tablelands
gage,lcr_bel,Intermittent,Sand Hills,2.11,0.12,-0.28,0.18,3,0,very low,GW Control,1,snd,GW Control
gage,lon_riv,Perennial,Sand Hills,2.57,0.01,0.19,0.13,7,0,very low,Sand Hills,4,snd,Sand Hills
gage,lwr_mar,Perennial,Sand Hills,1.76,0.09,0.07,0.12,7,0,very low,Sand Hills,4,snd,Sand Hills
gage,lwr_ros,Perennial,Sand Hills,2.09,0.05,0.06,0.11,7,0,very low,Sand Hills,4,snd,Sand Hills
gage,lwr_vet,Perennial,Sand Hills,1.99,0.07,0.05,0.1,7,7.99360577730113e-15,very low,Sand Hills,4,snd,Sand Hills
gage,lwr_whi,Perennial,Sand Hills,1.93,0.07,0.1,0.12,7,0,very low,Sand Hills,4,snd,Sand Hills
gage,nio_spa,Perennial,Sand Hills,1.99,0.03,-0.04,0.07,2,6.97338631283628e-10,very low,Sand Hills,3,snd,Sand Hills
gage,whi_kad,Intermittent,White River Badlands,1.12,0.33,-0.15,0.15,1,0,moderate,Tertiary Clays,2,bad,Tertiary Clays
gage,whi_oac,Perennial,Pierre Shale Plains,1.41,0.2,-0.04,0.13,1,0,low,Pierre Shale High,2,psp,Pierre Shale High
gage,whi_ogl,Intermittent,Pine Ridge Escarpment,0.93,0.41,-0.15,0.17,1,0,moderate,Tertiary Clays,2,pre,Tertiary Clays
gage,whi_sta,Intermittent,Pine Ridge Escarpment,1.03,0.33,-0.09,0.17,1,0,moderate,Tertiary Clays,2,pre,Tertiary Clays
discordant,bad_fpi,Intermittent,Pierre Shale Plains,0.29,2.07,0.11,-0.03,6,0,very high,Pierre Shale Low,6,psp,Pierre Shale Low
discordant,hor_oel,Intermittent,Pierre Shale Plains,0.47,0.39,0.69,0.37,8,0,moderate,Pierre Shale Low,8,psp,Pierre Shale Low
