type,sta,flow_regime,ecoreg,L1,L_CV,L_skew,L_kurtosis
gage,bat_bhr,Intermittent,Pierre Shale Plains,1.43,0.26,-0.14,0.1
gage,bat_her,Intermittent,Black Hills Plateau,1.75,0.16,-0.04,0.09
gage,bev_buf,Intermittent,Black Hills Plateau,1.75,0.08,-0.27,0.29
gage,brsf_co,Intermittent,Pierre Shale Plains,0.58,0.5,0.37,0.09
gage,che_was,Perennial,Pierre Shale Plains,1.14,0.21,0.1,0.16
gage,elk_elm,Intermittent,Pierre Shale Plains,0.68,0.75,0.2,-0.08
gage,fal_hot,Perennial,Black Hills Plateau,2.26,0.01,-0.08,0.1
gage,frn_fai,Intermittent,Black Hills Plateau,1.65,0.18,0.02,0.08
gage,hat_edg,Intermittent,Pierre Shale Plains,0.28,1.38,0.2,0.01
gage,key_key,Perennial,Keya Paha Tablelands,1.74,0.1,0.05,0.09
gage,key_wew,Perennial,Keya Paha Tablelands,1.75,0.11,0.05,0.11
gage,lcr_bel,Intermittent,Sand Hills,2.11,0.12,-0.28,0.18
gage,lon_riv,Perennial,Sand Hills,2.57,0.01,0.19,0.13
gage,lwr_mar,Perennial,Sand Hills,1.76,0.09,0.07,0.12
gage,lwr_ros,Perennial,Sand Hills,2.09,0.05,0.06,0.11
gage,lwr_vet,Perennial,Sand Hills,1.99,0.07,0.05,0.1
gage,lwr_whi,Perennial,Sand Hills,1.93,0.07,0.1,0.12
gage,nio_spa,Perennial,Sand Hills,1.99,0.03,-0.04,0.07
gage,whi_kad,Intermittent,White River Badlands,1.12,0.33,-0.15,0.15
gage,whi_oac,Perennial,Pierre Shale Plains,1.41,0.2,-0.04,0.13
gage,whi_ogl,Intermittent,Pine Ridge Escarpment,0.93,0.41,-0.15,0.17
gage,whi_sta,Intermittent,Pine Ridge Escarpment,1.03,0.33,-0.09,0.17
sta,COT,Precipitation,Precipitation,356.65,0.52,0.35,0.15
sta,GOR,Precipitation,Precipitation,407.13,0.5,0.33,0.12
sta,MIS,Precipitation,Precipitation,432.66,0.5,0.32,0.14
sta,OEL,Precipitation,Precipitation,366.25,0.49,0.34,0.15
sta,ONI,Precipitation,Precipitation,410.08,0.48,0.31,0.13
sta,RAP,Precipitation,Precipitation,353.86,0.5,0.36,0.18
discordant,bad_fpi,Intermittent,Pierre Shale Plains,0.29,2.07,0.11,-0.03
discordant,hor_oel,Intermittent,Pierre Shale Plains,0.47,0.39,0.69,0.37
