sample_id,count
# amh1a7   ,122
# amh1b6     ,97
# amh1d7        ,98
# amh1p6      ,58
# amh1v6       ,107
# bea1a6      ,120
# bea1b6      ,108
# bea1d7  ,100
# bea1t6    ,372
# bea1u6   ,871
# bea2b6,105
# bea2d7     ,100
# bea2t6       ,137
# bea2u6       ,58
# bea3a6   ,77
# bea3d8  ,100
# bea3t6  ,132
# bea3u6      ,97
# bel1a6,120
# bel1b6,90
# bel1d8,100
# bel1t6,156
# bel1u6,87
# bel2b6,92
# bel2d8,97
# bel2t6,141
# bel2u6,85
# blp1a7,149
# blp1b7,102
blp1d8,100
blp1r6,113
blp1t,159
blp1u6,103
# buz1a7,168
buz1d8,100
buz1r6,144
buz1u6,98
# chr1b7,99
chr1d8,93
chr1s6,104
chr2s6,104
# cor1b7,93
cor1d7,93
cor1u6,92
# cra1a6,160
cra1b6,96
cra1d8,95
cra1t6,177
cra1u6,127
# ean1b7,112
ean1d8,104
ean1t6,265
ean1u6,121
ean2d7,98
# ean2u6,95
# ldc1a6,111
ldc1d7,92
# lon1b7,110
lon1u6,207
# lwr1a6,206
lwr1b5,95
lwr1d8,101
lwr1r6,167
lwr1s7,100
lwr1s7_dup,105
lwr1t6,117
lwr1v6,85
lwr2a6,65
lwr2d7,110
lwr2r6,97
lwr2s7,181
lwr2t6,128
lwr2t6_dup,125
lwr2v6,94
lwr3a6,168
lwr3d7,103
lwr3r6,113
lwr3r6_dup,106
lwr3s8,121
lwr3t,91
lwr3v6,113
lwr4a6,48
lwr4d7,100
lwr4s8,165
lwr4t6,220
# mer1a7,189
mer1b6,95
mer1d8,71
mer1p6,134
mer1t8,397
mer1v6,124
mer3a7,83
mer3d7,76
mer3p6,83
mer3t8,92
mer3u6,134
mer3v6,207
mer4p6,76
mer4t8,182
mer4u6,129
mer4v6,177
# nfl1a7,152
nfl1b6,98
nfl1b7,84
nfl1d8,78
nfl1p6,139
nfl1v6,204
# pas1a7,132
pas1d8,100
pas1r6,118
pas1t6,154
pas1u6,196
pas2a6,138
pas2b7,117
pas2d8,99
pas2r6,115
pas2t6,183
pas2u6,114
pas3a8,158
pas3b7,107
# pas3d8,103
pas3r6,73
pas3t6,107
pas3u6,98
# por1a6,110
por1b7,61
por1c8,54
por1e7,107
por1r6,87
por1s6,111
por1t6,96
por2a6,70
por2b6,92
por2d7,100
por2d7_dup,99
por2r6,107
por2s6,124
por2t6,101
por2u6,302
por2v6,116
por3a7,127
por3b5,110
por3r6,115
por3s6,104
por3s6_dup,98
por3t6,146
por3u6,184
por3v6,129
# pot1a7,103
pot1b6,98
pot1d7,97
pot1u6,159
# red1a7,223
red1b8,46
red1d7,100
red1p6,107
red1v6,109
wcc1a67,89
wcc1d7,91
wcc1s6,80
wcc1t6,92
wcc2a6_7,19
wcc2b6,91
wcc2d7,90
wcc2s6,85
wcc2t6,451
wcc3d7,32
wcc3s6,94
wcc3t6,99
# whi1a7,146
whi1b6,118
whi1d7,100
whi1s6,122
whi2a7,74
whi2b5,108
whi2s6,145
whi3p6,96
whi4a8,35
whi5t6,91
whi5u6,105
# wok1a6,139
wok1b5,115
wok1r6,319
wok1s6,113
wok1t6,102
wok2a7,121
wok2b6,96
wok2r6,114
wok2s6,154
wok2s6_2_separate_count_keep,95
wok2t6,173
wok2u6,645
wok2v6,178
wok3a6,31
wok3b7,94
wok3r7,95
wok3s6,166
wok3t6,136
wok4a6,92
wok4b5,23
wok4d7,99
wok4r6_7,102
wok4s6,77
wok4t6,132
wok4u6,94
wok4v6,90
# wol1a6,147
wol1b5,92
wol1d7,95
wol1s6,198
