site,id,date,class,order,family,genus,count,watershed,ecoregion
MER1,mer1t8,2012-08-20,Arachnida,Trombidiformes,Hygrobatoidea,"",8,MER,Great Plains
MER4,mer4t8,2012-08-23,Arachnida,Trombidiformes,Hygrobatoidea,"",18,MER,Badlands
MER4,mer4u6,2013-06-25,Arachnida,Trombidiformes,Hygrobatoidea,"",1,MER,Badlands
MER4,mer4v7,2014-07-14,Arachnida,Trombidiformes,Hygrobatoidea,"",5,MER,Badlands
BEA1,bea1u6,2013-06-19,Arachnida,Trombidiformes,Hydracarina,"",2,BEL,Great Plains
BEA3,bea3t6,2012-06-11,Arachnida,Trombidiformes,Hydracarina,"",1,BEL,Great Plains
BEL1,bel1t6,2012-06-11,Arachnida,Trombidiformes,Hydracarina,"",1,BEL,Great Plains
CRA1,cra1u6,2013-06-18,Arachnida,Trombidiformes,Hydracarina,"",2,PAS,Great Plains
EAN1,ean1t6,2012-06-12,Arachnida,Trombidiformes,Hydracarina,"",3,BEL,Great Plains
LON1,lon1u6,2013-06-18,Arachnida,Trombidiformes,Hydracarina,"",10,PAS,Great Plains
LWR2,lwr2r6,2010-06-23,Arachnida,Trombidiformes,Hydracarina,"",1,LWR,Sandhills
LWR3,lwr3r6,2010-06-24,Arachnida,Trombidiformes,Hydracarina,"",1,LWR,Sandhills
LWR3,lwr3s8,2011-08-17,Arachnida,Trombidiformes,Hydracarina,"",1,LWR,Sandhills
LWR3,lwr3t6,2012-06-20,Arachnida,Trombidiformes,Hydracarina,"",1,LWR,Sandhills
MER1,mer1v6,2014-06-11,Arachnida,Trombidiformes,Hydracarina,"",1,MER,Great Plains
MER3,mer3v6,2014-06-10,Arachnida,Trombidiformes,Hydracarina,"",7,MER,Badlands
PAS1,pas1t6,2012-06-14,Arachnida,Trombidiformes,Hydracarina,"",1,PAS,Great Plains
PAS1,pas1u6,2013-06-18,Arachnida,Trombidiformes,Hydracarina,"",1,PAS,Great Plains
PAS2,pas2r6,2010-06-21,Arachnida,Trombidiformes,Hydracarina,"",1,PAS,Great Plains
PAS2,pas2t6,2012-06-14,Arachnida,Trombidiformes,Hydracarina,"",1,PAS,Great Plains
PAS3,pas3t6,2012-06-14,Arachnida,Trombidiformes,Hydracarina,"",7,PAS,Badlands
POR3,por3s6,2011-06-13,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Badlands
POR3,por3t6,2012-06-06,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Badlands
POT1,pot1u6,2013-06-19,Arachnida,Trombidiformes,Hydracarina,"",14,BEL,Great Plains
WCC2,wcc2s6,2011-06-16,Arachnida,Trombidiformes,Hydracarina,"",1,upper WHR,Great Plains
WCC2,wcc2t6,2012-06-04,Arachnida,Trombidiformes,Hydracarina,"",43,upper WHR,Great Plains
WOK1,wok1s6,2011-06-14,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Sandhills
WOK2,wok2r6,2010-06-23,Arachnida,Trombidiformes,Hydracarina,"",3,WOK,Great Plains
WOK2,wok2s6,2011-06-17,Arachnida,Trombidiformes,Hydracarina,"",6,WOK,Great Plains
WOK2,wok2t6,2012-06-06,Arachnida,Trombidiformes,Hydracarina,"",2,WOK,Great Plains
WOK2,wok2u6,2013-06-21,Arachnida,Trombidiformes,Hydracarina,"",15,WOK,Great Plains
WOK2,wok2v6,2014-06-16,Arachnida,Trombidiformes,Hydracarina,"",7,WOK,Great Plains
WOK3,wok3r6,2010-06-22,Arachnida,Trombidiformes,Hydracarina,"",5,WOK,Great Plains
WOK3,wok3s6,2011-06-14,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Great Plains
WOK3,wok3t6,2012-06-06,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Great Plains
WOK4,wok4t6,2012-06-06,Arachnida,Trombidiformes,Hydracarina,"",1,WOK,Badlands
WOK4,wok4v6,2014-06-09,Arachnida,Trombidiformes,Hydracarina,"",2,WOK,Badlands
WOL1,wol1s6,2011-06-15,Arachnida,Trombidiformes,Hydracarina,"",4,upper WHR,Sandhills
WHI1,whi1s6,2011-06-16,Arachnida,Trombidiformes,Eylaoidea,"",1,upper WHR,River
WHI2,whi2s6,2011-06-15,Arachnida,Trombidiformes,Eylaoidea,"",1,WOK,River
BEL2,bel2b6,1994-06-27,Arachnida,Trombidiformes,Lebertiidae,Lebertia,5,BEL,Great Plains
LON1,lon1u6,2013-06-18,Arachnida,Trombidiformes,Halacaridae,"",1,PAS,Great Plains
