site,id,date,class,order,family,genus,species,count,watershed,ecoreg
BEA2,bea2t6,2012-06-11,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",1,BEL,Keya Paha Tablelands
BEA3,bea3t6,2012-06-11,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",1,BEL,Keya Paha Tablelands
MER1,mer1p6,2008-06-11,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",4,MER,Pine Ridge Escarpment
POR2,por2a6,1993-06-16,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",1,WOK,Pine Ridge Escarpment
POR2,por2t6,2012-06-04,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",5,WOK,Pine Ridge Escarpment
WCC2,wcc2t6,2012-06-04,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",1,upper WHR,Pine Ridge Escarpment
WOL1,wol1b5,1994-05-25,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,"",22,upper WHR,Sandhills Fringe
MER1,mer1b7,1994-07-15,Clitellata,Haplotaxida,Naididae,Limnodrilus,udekemianus,2,MER,Pine Ridge Escarpment
BEA1,bea1b6,1994-06-14,Clitellata,Haplotaxida,Naididae,"","",2,BEL,Keya Paha Tablelands
BEA1,bea1t6,2012-06-11,Clitellata,Haplotaxida,Naididae,"","",2,BEL,Keya Paha Tablelands
BEA1,bea1u6,2013-06-19,Clitellata,Haplotaxida,Naididae,"","",44,BEL,Keya Paha Tablelands
BEA2,bea2b6,1994-06-16,Clitellata,Haplotaxida,Naididae,"","",27,BEL,Keya Paha Tablelands
BEA2,bea2d7,1996-07-25,Clitellata,Haplotaxida,Naididae,"","",3,BEL,Keya Paha Tablelands
BEA2,bea2t6,2012-06-11,Clitellata,Haplotaxida,Naididae,"","",17,BEL,Keya Paha Tablelands
BEA2,bea2u6,2013-06-20,Clitellata,Haplotaxida,Naididae,"","",9,BEL,Keya Paha Tablelands
BEA3,bea3a6,1993-06-30,Clitellata,Haplotaxida,Naididae,"","",3,BEL,Keya Paha Tablelands
BEA3,bea3d8,1996-08-19,Clitellata,Haplotaxida,Naididae,"","",3,BEL,Keya Paha Tablelands
BEA3,bea3t6,2012-06-11,Clitellata,Haplotaxida,Naididae,"","",26,BEL,Keya Paha Tablelands
BEA3,bea3u6,2013-06-20,Clitellata,Haplotaxida,Naididae,"","",12,BEL,Keya Paha Tablelands
BEL1,bel1b6,1994-06-16,Clitellata,Haplotaxida,Naididae,"","",11,BEL,Keya Paha Tablelands
BEL1,bel1d8,1996-08-14,Clitellata,Haplotaxida,Naididae,"","",3,BEL,Keya Paha Tablelands
BEL1,bel1t6,2012-06-11,Clitellata,Haplotaxida,Naididae,"","",49,BEL,Keya Paha Tablelands
BEL1,bel1u6,2013-06-19,Clitellata,Haplotaxida,Naididae,"","",21,BEL,Keya Paha Tablelands
BEL2,bel2d8,1996-08-19,Clitellata,Haplotaxida,Naididae,"","",8,BEL,White River Badlands
BEL2,bel2t6,2012-06-13,Clitellata,Haplotaxida,Naididae,"","",14,BEL,White River Badlands
BEL2,bel2u6,2013-06-17,Clitellata,Haplotaxida,Naididae,"","",14,BEL,White River Badlands
BLP1,blp1r6,2010-06-21,Clitellata,Haplotaxida,Naididae,"","",8,PAS,Keya Paha Tablelands
BUZ1,buz1r6,2010-06-21,Clitellata,Haplotaxida,Naididae,"","",3,PAS,Keya Paha Tablelands
BUZ1,buz1u6,2013-06-17,Clitellata,Haplotaxida,Naididae,"","",8,PAS,Keya Paha Tablelands
CHE1,che1d8,1996-08-30,Clitellata,Haplotaxida,Naididae,"","",2,CHR,Pierre Shale Plains
CHE1,che1s6,2011-06-15,Clitellata,Haplotaxida,Naididae,"","",4,CHR,Pierre Shale Plains
COR1,cor1b7,1994-07-05,Clitellata,Haplotaxida,Naididae,"","",2,PAS,Pine Ridge Escarpment
COR1,cor1d7,1996-07-30,Clitellata,Haplotaxida,Naididae,"","",5,PAS,Pine Ridge Escarpment
COR1,cor1u6,2013-06-19,Clitellata,Haplotaxida,Naididae,"","",6,PAS,Pine Ridge Escarpment
