code,common_name,taxa_level,class,order,family,genus,species,fbi_value,fbi_source,fun_grp,fun_grp_sec,habit,habit_sec,parent_tsn,tsn,excl_grp
t----,planarians,order,Rhabditophora,Tricladida,,,,4,"Barbour et al, 1999",PR,,sp,,053965,054468,""
n----,nematodes,class,Nematoda,,,,,5,"Barbour et al, 1999",PA,,cb,,202423,059490,""
GGo--,horsehair worms,family,Nematomorpha,Gordioida,Gordioidea,,,,,PA,,bu,,202423,064183,X
oEn--,potworms,family,Clitellata,Haplotaxida,Enchytraeidae,,,10,"Barbour et al, 1999",GC,,bu,,068509,068510,""
oNaLi,aquatic oligochaete-worms,genus,Clitellata,Haplotaxida,Naididae,Limnodrilus,udekemianus,9.7,"Barbour et al, 1999",GC,,bu,,068638,068644,""
oNa--,aquatic oligochaete-worms,family,Clitellata,Haplotaxida,Naididae,,,5,"Barbour et al, 1999",GC,,bu,,068509,068854,""
oGl--,freshwater jawless-leeches,family,Clitellata,Hirudinida,Glossiphoniidae,,,8,"Barbour et al, 1999",PR,,sp,,069295,069357,""
oGl--,medicinal leeches,family,Clitellata,Hirudinida,Hirudinidae,,,7,"Barbour et al, 1999",PR,,sp,,069406,069407,""
-----,gastropods,class,Gastropoda,,,,,7,"Barbour et al, 1999",SC,,cb,,069458,069459,""
AVi--,river snails,family,Gastropoda,Architaenioglossa,Viviparidae,,,6,"Barbour et al, 1999",SC,,cb,,069459,070304,""
lHy--,mud snails,family,Gastropoda,Littorinimorpha,Hydrobiidae,,,8,"Barbour et al, 1999",SC,,cb,,070298,070493,""
BLy--,pond snails,family,Gastropoda,Basommatophora,Lymnaeidae,,,6,"Barbour et al, 1999",SC,,cb,,076437,076483,""
BPlFe,ram-horn snails,genus,Gastropoda,Basommatophora,Planorbidae,Ferrissia,,6,"Barbour et al, 1999",SC,,cb,,076568,076569,""
BPl--,ram-horn snails,family,Gastropoda,Basommatophora,Planorbidae,,,7,"Barbour et al, 1999",SC,,cb,,076437,076591,""
BPh--,bladder snails,family,Gastropoda,Basommatophora,Physidae,,,8,"Barbour et al, 1999",SC,,cb,,076437,076676,""
VVe--,venus clams,family,Bivalvia,Veneroida,Veneridae,,,8,"Barbour et al, 1999",FC,,bu,,069458,079118,""
-----,bivalves,class,Bivalvia,,,,,8,"Barbour et al, 1999",FC,,cb,,069458,079118,""
UUn--,river mussels,family,Bivalvia,Unionida,Unionidae,,,8,"Barbour et al, 1999",FC,,bu,,079912,079913,""
VCo--,little-basket clams,family,Bivalvia,Veneroida,Corbiculidae,,,8,"Barbour et al, 1999",FC,,bu,,081381,081385,""
SPi--,peaclams,family,Bivalvia,Sphaeriida,Pisidiidae,,,8,"Barbour et al, 1999",FC,,bu,,080384,081388,""
SPiPi,peaclams,genus,Bivalvia,Sphaeriida,Pisidiidae,Pisidium,,8,"Barbour et al, 1999",FC,,bu,,081388,081400,""
CCo--,copopods,family,Crustacea,Crustacea,Copepoda,,,8,"Barbour et al, 1999",GC,,sw,,083677,085257,""
aGaGa,scuds,genus,Malacostraca,Amphipoda,Gammaridae,Gammarus,,4,"Barbour et al, 1999",OM,,sp,,093745,093773,""
aTaHy,scuds,genus,Malacostraca,Amphipoda,Talitridae,Hyalella,azteca,8,"Barbour et al, 1999",GC,,sp,,094025,094026,""
d----,decopods,order,Crustacea,Decapoda,,,,8,"Barbour et al, 1999",SH,,sp,,095495,095599,""
dPa--,freshwater shrimp,family,Crustacea,Decapoda,Palaemonidae,,,8,"Barbour et al, 1999",,,,,096106,096213,""
dAs--,crayfish,family,Crustacea,Decapoda,Astacidae,,,8,"Barbour et al, 1999",SC,,,,097306,097324,""
dCa--,crayfish,family,Crustacea,Decapoda,Cambaridae,,,6,"Barbour et al, 1999",GC,,sp,,097306,097336,""
c----,springtails,order,Entognatha,Collembola,,,,10,"Barbour et al, 1999",GC,,sp,sk,099209,099237,""
CIs--,springtails,family,Entognatha,Collembola,Isotomidae,,,10,"Barbour et al, 1999",OM,,sp,sk,099238,099245,""
EOl--,brushleg mayflies,family,Insecta,Ephemeroptera,Oligoneuriidae,,,2,"Hauer & Lamberti, 1996",GC,,bu,bu,100500,100502,""
E----,mayflies,order,Insecta,Ephemeroptera,,,,,,GC,,,,100500,100502,X
EHe--,flatheaded mayflies,family,Insecta,Ephemeroptera,Heptageniidae,,,4,"Barbour et al, 1999",SC,,cg,cg,100503,100504,""
EBaPr,small-minnow mayflies,genus,Insecta,Ephemeroptera,Baetidae,Procloeon,,4,"Barbour et al, 1999",OM,GC,sw,,100755,100504,""
EBa--,small-minnow mayflies,family,Insecta,Ephemeroptera,Baetidae,,,4,"Barbour et al, 1999",GC,,sw,sw,100503,100755,""
EBaAe,small-minnow mayflies,genus,Insecta,Ephemeroptera,Baetidae,Acerpenna,,4,"Barbour et al, 1999",GC,,sw,,100503,100755,""
ESi--,primitive-minnow mayflies,family,Insecta,Ephemeroptera,Siphlonuridae,,,7,"Barbour et al, 1999",GC,,sw,cb,100503,100951,""
ELe--,prong-gilled mayflies,family,Insecta,Ephemeroptera,Leptophlebiidae,,,2,"Barbour et al, 1999",GC,,cg,cg,101094,101095,""
ELePa,prong-gilled mayflies,genus,Insecta,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,,1,"Barbour et al, 1999",GC,,sw,,101095,101187,""
EEp--,spiny-crawler mayflies,family,Insecta,Ephemeroptera,Ephemerellidae,,,1,"Barbour et al, 1999",GC,,cg,cg,101094,101232,""
ETr--,little-stoutcrawler mayflies,family,Insecta,Ephemeroptera,Tricorythidae,,,4,"Barbour et al, 1999",GC,,sp,,101094,101404,""
ELpTr,little-stoutcrawler mayflies,genus,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,,4,"Barbour et al, 1999",GC,,sp,,101404,101405,""
ECa--,small-squaregill mayflies,family,Insecta,Ephemeroptera,Caenidae,,,7,"Barbour et al, 1999",GC,,sp,sp,101459,101467,""
EPoPo,hacklegill mayflies,genus,Insecta,Ephemeroptera,Potamanthidae,Potamanthus,,3.5,"Barbour et al, 1999",FC,,bu,,101509,101510,""
EEh--,common-burrower mayflies,family,Insecta,Ephemeroptera,Ephemeridae,,,4,"Barbour et al, 1999",GC,,bu,bu,101508,101525,""
EPoEp,pale-burrower mayflies,genus,Insecta,Ephemeroptera,Polymitarcyidae,Ephoron,,2,"Barbour et al, 1999",GC,,bu,,101569,101570,""
OAe--,darners,family,Insecta,Odonata,Aeshnidae,,,3,"Barbour et al, 1999",PR,,cb,cb,101595,101596,""
OPe--,petal-tail dragonflies,family,Insecta,Odonata,Petaluridae,,,4,Buchanan 2011,PR,,cb,cb,101594,101659,""
OGo--,clubtails,family,Insecta,Odonata,Gomphidae,,,1,"Barbour et al, 1999",PR,,bu,bu,101595,101664,""
OGoHa,clubtails,genus,Insecta,Odonata,Gomphidae,Hagenius,,1,"Barbour et al, 1999",PR,,sp,,101595,101664,""
OLi--,common skimmers,family,Insecta,Odonata,Libellulidae,,,9,"Barbour et al, 1999",PR,,sp,sp,101796,101797,""
OCd--,green-eyed skimmers,family,Insecta,Odonata,Corduliidae,,,2,"Barbour et al, 1999",PR,,cb,cb,101796,102020,""
OCa--,broad-winged damselflies,family,Insecta,Odonata,Calopterygidae,,,6,"Barbour et al, 1999",PR,,cb,cb,102042,102043,""
OLe--,spread-winged damselflies,family,Insecta,Odonata,Lestidae,,,9,Hilsenhoff 2008,PR,,cb,cb,102042,102058,""
OCo--,narrow-winged damselflies,family,Insecta,Odonata,Coenagrionidae,,,9,"Barbour et al, 1999",PR,,cb,cb,102042,102077,""
PPtPe,giant stoneflies,genus,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,,0,"Barbour et al, 1999",SH,,cg,,102470,102471,""
PPe--,common stoneflies,family,Insecta,Plecoptera,Perlidae,,,1,"Barbour et al, 1999",PR,,cg,cg,102912,102914,""
PPr--,stripetailed stoneflies,family,Insecta,Plecoptera,Perlodidae,,,2,"Barbour et al, 1999",PR,,cg,cg,102912,102994,""
PPrIo,stripetailed stoneflies,genus,Insecta,Plecoptera,Perlodidae,Isoperla,,2,"Barbour et al, 1999",PR,,cg,,102994,102995,""
HHe--,velvet waterbugs,family,Insecta,Hemiptera,Hebridae,,,,,PR,,cb,cb,100900,103358,X
HHy--,marsh treaders,family,Insecta,Hemiptera,Hydrometridae,,,5,"Mandaville, 2002",PR,,cb,cb,100900,103358,""
H----,true bugs,order,Insecta,Hemiptera,,,,,,PR,,cb,sw,100900,103358,X
HCo--,water boatman,family,Insecta,Hemiptera,Corixidae,,,10,"Barbour et al, 1999",PR,,sw,sw,103358,103364,""
HNo--,backswimmers,family,Insecta,Hemiptera,Notonectidae,,,5,"Mandaville, 2002",PR,,sw,,103358,103557,""
HPl--,pygmy backswimmers,family,Insecta,Hemiptera,Pleidae,,,5,"Mandaville, 2002",PR,,,,103358,103602,""
oNa--,creeping waterbugs,family,Insecta,Hemiptera,Naucoridae,,,5,"Barbour et al, 1999",PR,,cb,cb,103358,103613,""
HNa--,creeping waterbugs,genus,Insecta,Hemiptera,Naucoridae,Ambrysus,,5,"Barbour et al, 1999",PR,,cb,sw,103613,103614,""
HBe--,giant waterbugs,family,Insecta,Hemiptera,Belostomatidae,,,10,"Barbour et al, 1999",PR,,cb,cb,103358,103683,""
HVe--,macroveliid shore-bugs,family,Insecta,Hemiptera,Veliidae,,,6,"Barbour et al, 1999",PR,,sk,sk,103358,103885,""
HMe--,water treaders,family,Insecta,Hemiptera,Mesoveliidae,,,5,"Mandaville, 2002",PR,,sk,,103358,103953,""
HSa--,shore bugs,family,Insecta,Hemiptera,Saldidae,,,10,"Barbour et al, 1999",PR,,cb,,103358,104063,""
CAm--,trout-stream beetles,family,Insecta,Coleoptera,Amphizoidae,,,6,"Barbour et al, 1999",PR,,,,109215,109216,""
CLi--,minute marshloving-beetles,family,Insecta,Coleoptera,Limnichidae,,,6,"Barbour et al, 1999",PR,,,,109215,109216,""
CPt--,toe-winged beetles,family,Insecta,Coleoptera,Ptilodactylidae,,,6,"Barbour et al, 1999",PR,,cn,,109215,109216,""
CHa--,crawling water-beetles,family,Insecta,Coleoptera,Haliplidae,,,7,"Barbour et al, 1999",SH,,cg,cg,109226,111857,""
CDy--,predaceous diving-beetles,family,Insecta,Coleoptera,Dytiscidae,,,5,"Barbour et al, 1999",PR,,sw,sw,109226,111963,""
CNo--,burrowing water-beetles,family,Insecta,Coleoptera,Noteridae,,,7,"Barbour et al, 1999",PR,,cb,cb,109226,112606,""
