sta,group,date,waterYear,q1_depth,log_q1,type,value
blc_wan,Keya Paha Tablelands,1988-10-15,1989,5.12469990114391,0.709668438490093,sci_1mo,-1.2390107049076
blc_wan,Keya Paha Tablelands,1988-11-15,1989,5.41753989549499,0.733802118206813,sci_1mo,-1.63744197567847
blc_wan,Keya Paha Tablelands,1988-12-15,1989,4.13282250092251,0.616246753327858,sci_1mo,-1.61683775016416
blc_wan,Keya Paha Tablelands,1989-01-15,1989,5.32150097261641,0.726034145863537,sci_1mo,-1.37148647742213
blc_wan,Keya Paha Tablelands,1989-02-15,1989,5.49074989408276,0.739631661867536,sci_1mo,-1.6156458129027
blc_wan,Keya Paha Tablelands,1989-03-15,1989,41.1392959806114,1.61425685531321,sci_1mo,-0.439830535579724
blc_wan,Keya Paha Tablelands,1989-04-15,1989,17.6110718825025,1.2457857897259,sci_1mo,-1.49182942774071
blc_wan,Keya Paha Tablelands,1989-05-15,1989,17.1925416038376,1.2353400839546,sci_1mo,-1.83753370746575
blc_wan,Keya Paha Tablelands,1989-06-15,1989,8.02869651179211,0.904645041706148,sci_1mo,-1.93369445835874
blc_wan,Keya Paha Tablelands,1989-07-15,1989,0.763588157313301,-0.117140815811854,sci_1mo,-2.654079459071
blc_wan,Keya Paha Tablelands,1989-08-15,1989,1.259526857424,0.100207432577826,sci_1mo,-2.05166762884315
blc_wan,Keya Paha Tablelands,1989-09-15,1989,6.36113543284847,0.803534642096359,sci_1mo,-0.764028489545443
blc_wan,Keya Paha Tablelands,1989-10-15,1990,1.653129000369,0.21830674465582,sci_1mo,-2.02510099364317
blc_wan,Keya Paha Tablelands,1989-11-15,1990,3.57102104222568,0.552792409278633,sci_1mo,-2.03982905102316
blc_wan,Keya Paha Tablelands,1989-12-15,1990,3.66837197224741,0.564473366611901,sci_1mo,-1.70061989641063
blc_wan,Keya Paha Tablelands,1990-01-15,1990,8.33649338757511,0.920983410029386,sci_1mo,-1.00579265685208
blc_wan,Keya Paha Tablelands,1990-02-15,1990,9.17739625153832,0.962719483599441,sci_1mo,-1.19659025705377
blc_wan,Keya Paha Tablelands,1990-03-15,1990,20.0973254187717,1.30313826472615,sci_1mo,-1.20323648820201
blc_wan,Keya Paha Tablelands,1990-04-15,1990,17.3751729981641,1.23992913739303,sci_1mo,-1.50677237977521
blc_wan,Keya Paha Tablelands,1990-05-15,1990,22.8840285908223,1.35953248169233,sci_1mo,-1.37404001571082
blc_wan,Keya Paha Tablelands,1990-06-15,1990,9.88334980934896,0.994904166970842,sci_1mo,-1.68607349444594
blc_wan,Keya Paha Tablelands,1990-07-15,1990,17.161053432402,1.23454394352651,sci_1mo,-0.374263364145301
blc_wan,Keya Paha Tablelands,1990-08-15,1990,7.36036007307151,0.866899060794419,sci_1mo,-0.702068893900561
blc_wan,Keya Paha Tablelands,1990-09-15,1990,1.7082333003813,0.232547183770431,sci_1mo,-1.93721691851713
blc_wan,Keya Paha Tablelands,1990-10-15,1991,1.4799440574732,0.170245299185581,sci_1mo,-2.09278847224799
blc_wan,Keya Paha Tablelands,1990-11-15,1991,2.31018217765852,0.363646229083549,sci_1mo,-2.42801508144741
blc_wan,Keya Paha Tablelands,1990-12-15,1991,2.3458687719522,0.370303713998156,sci_1mo,-1.99511957823587
blc_wan,Keya Paha Tablelands,1991-01-15,1991,1.1099580431049,0.0453065625772806,sci_1mo,-2.40925583097117
blc_wan,Keya Paha Tablelands,1991-02-15,1991,1.31603687937539,0.119268059707124,sci_1mo,-2.7088913688737
blc_wan,Keya Paha Tablelands,1991-03-15,1991,3.47944294363381,0.541509719270993,sci_1mo,-2.76631114837458
blc_wan,Keya Paha Tablelands,1991-04-15,1991,22.3778562349951,1.3498184794262,sci_1mo,-1.21764025685594
blc_wan,Keya Paha Tablelands,1991-05-15,1991,355.422735079336,2.55074520457143,sci_1mo,2.53406194341345
blc_wan,Keya Paha Tablelands,1991-06-15,1991,187.572150826154,2.27316835834824,sci_1mo,1.30167855003907
blc_wan,Keya Paha Tablelands,1991-07-15,1991,31.2205219783974,1.49444015979119,sci_1mo,0.14910434980788
blc_wan,Keya Paha Tablelands,1991-08-15,1991,18.8771587756422,1.27593662868473,sci_1mo,0.219658162561763
blc_wan,Keya Paha Tablelands,1991-09-15,1991,16.9196441180624,1.22839122399927,sci_1mo,0.442910906241397
blc_wan,Keya Paha Tablelands,1991-10-15,1992,9.4307073449622,0.974544267975193,sci_1mo,-0.708289064471809
blc_wan,Keya Paha Tablelands,1991-11-15,1992,10.159920915125,1.00689032741065,sci_1mo,-0.954729647220253
blc_wan,Keya Paha Tablelands,1991-12-15,1992,15.7125975463644,1.19624798687325,sci_1mo,-0.420482432514373
blc_wan,Keya Paha Tablelands,1992-01-15,1992,32.6532337787172,1.5139261976389,sci_1mo,0.551450630349367
blc_wan,Keya Paha Tablelands,1992-02-15,1992,46.9469634622034,1.67160750726759,sci_1mo,0.249041349603087
blc_wan,Keya Paha Tablelands,1992-03-15,1992,38.966612151555,1.59069264885547,sci_1mo,-0.501128717240408
blc_wan,Keya Paha Tablelands,1992-04-15,1992,15.9353763592713,1.20236232503125,sci_1mo,-1.60146566367725
blc_wan,Keya Paha Tablelands,1992-05-15,1992,13.4926814601546,1.13009826750908,sci_1mo,-2.24091229196183
blc_wan,Keya Paha Tablelands,1992-06-15,1992,24.1999717554018,1.38381485910108,sci_1mo,-0.684609767152292
blc_wan,Keya Paha Tablelands,1992-07-15,1992,10.8870352738587,1.03690963003121,sci_1mo,-0.749566413654699
blc_wan,Keya Paha Tablelands,1992-08-15,1992,4.2745192723827,0.630887279510748,sci_1mo,-1.15808012487479
blc_wan,Keya Paha Tablelands,1992-09-15,1992,3.3351221578873,0.523111745756247,sci_1mo,-1.38224369140812
blc_wan,Keya Paha Tablelands,1992-10-15,1993,3.0581607551342,0.485460310779617,sci_1mo,-1.62199290632986
blc_wan,Keya Paha Tablelands,1992-11-15,1993,11.408543263965,1.05723019368982,sci_1mo,-0.816182080766462
blc_wan,Keya Paha Tablelands,1992-12-15,1993,4.52814189308554,0.655920027371591,sci_1mo,-1.55091066739306
blc_wan,Keya Paha Tablelands,1993-01-15,1993,4.96060488287461,0.695534636425215,sci_1mo,-1.42510351820239
blc_wan,Keya Paha Tablelands,1993-02-15,1993,8.36488812392427,0.922460136871963,sci_1mo,-1.27334403369417
blc_wan,Keya Paha Tablelands,1993-03-15,1993,16.4081546125852,1.21505973969796,sci_1mo,-1.40349980411385
blc_wan,Keya Paha Tablelands,1993-04-15,1993,10.9090909090909,1.0377885608894,sci_1mo,-1.99493293885514
blc_wan,Keya Paha Tablelands,1993-05-15,1993,47.9795932353733,1.68105656175641,sci_1mo,-0.230728159476572
blc_wan,Keya Paha Tablelands,1993-06-15,1993,170.603700042367,2.23198844588518,sci_1mo,1.21709316884456
blc_wan,Keya Paha Tablelands,1993-07-15,1993,34.3693391219574,1.53617118129502,sci_1mo,0.2366813227589
blc_wan,Keya Paha Tablelands,1993-08-15,1993,10.3832245308891,1.01633224546827,sci_1mo,-0.387895991763994
blc_wan,Keya Paha Tablelands,1993-09-15,1993,10.7374664595396,1.03090182024236,sci_1mo,-0.173340979886133
blc_wan,Keya Paha Tablelands,1993-10-15,1994,20.3177426188209,1.30787545446577,sci_1mo,0.182476550759271
blc_wan,Keya Paha Tablelands,1993-11-15,1994,31.1793249541025,1.49386670829086,sci_1mo,0.659829872356842
blc_wan,Keya Paha Tablelands,1993-12-15,1994,37.9668627084748,1.57940471184378,sci_1mo,1.23852707014156
blc_wan,Keya Paha Tablelands,1994-01-15,1994,33.6293670932208,1.5267186939424,sci_1mo,0.59970687884207
blc_wan,Keya Paha Tablelands,1994-02-15,1994,67.2573284645026,1.82773961266391,sci_1mo,0.595239963791697
