sta,date,prcp,location,key,value
COT,1988-10-15,140,NC,sci_1mo,-0.553
COT,1988-10-15,140,NC,sci_2mo,
COT,1988-10-15,140,NC,sci_3mo,
COT,1988-10-15,140,NC,sci_4mo,
COT,1988-10-15,140,NC,sci_6mo,
COT,1988-10-15,140,NC,sci_9mo,
COT,1988-10-15,140,NC,sci_12mo,
COT,1988-10-15,140,NC,sci_18mo,
COT,1988-10-15,140,NC,sci_24mo,
COT,1988-11-15,153,NC,sci_1mo,0.546
COT,1988-11-15,153,NC,sci_2mo,-0.494
COT,1988-11-15,153,NC,sci_3mo,
COT,1988-11-15,153,NC,sci_4mo,
COT,1988-11-15,153,NC,sci_6mo,
COT,1988-11-15,153,NC,sci_9mo,
COT,1988-11-15,153,NC,sci_12mo,
COT,1988-11-15,153,NC,sci_18mo,
COT,1988-11-15,153,NC,sci_24mo,
COT,1988-12-15,130,NC,sci_1mo,0.532
COT,1988-12-15,130,NC,sci_2mo,0.412
COT,1988-12-15,130,NC,sci_3mo,-0.36
COT,1988-12-15,130,NC,sci_4mo,
COT,1988-12-15,130,NC,sci_6mo,
COT,1988-12-15,130,NC,sci_9mo,
COT,1988-12-15,130,NC,sci_12mo,
COT,1988-12-15,130,NC,sci_18mo,
COT,1988-12-15,130,NC,sci_24mo,
COT,1989-01-15,21,NC,sci_1mo,-1.103
COT,1989-01-15,21,NC,sci_2mo,-0.361
COT,1989-01-15,21,NC,sci_3mo,-0.031
COT,1989-01-15,21,NC,sci_4mo,-0.555
COT,1989-01-15,21,NC,sci_6mo,
COT,1989-01-15,21,NC,sci_9mo,
COT,1989-01-15,21,NC,sci_12mo,
COT,1989-01-15,21,NC,sci_18mo,
COT,1989-01-15,21,NC,sci_24mo,
COT,1989-02-15,115,NC,sci_1mo,0.026
COT,1989-02-15,115,NC,sci_2mo,-0.716
COT,1989-02-15,115,NC,sci_3mo,-0.405
COT,1989-02-15,115,NC,sci_4mo,-0.195
COT,1989-02-15,115,NC,sci_6mo,
COT,1989-02-15,115,NC,sci_9mo,
COT,1989-02-15,115,NC,sci_12mo,
COT,1989-02-15,115,NC,sci_18mo,
COT,1989-02-15,115,NC,sci_24mo,
COT,1989-03-15,361,NC,sci_1mo,0.708
COT,1989-03-15,361,NC,sci_2mo,0.465
COT,1989-03-15,361,NC,sci_3mo,-0.037
COT,1989-03-15,361,NC,sci_4mo,0.036
COT,1989-03-15,361,NC,sci_6mo,-0.382
COT,1989-03-15,361,NC,sci_9mo,
COT,1989-03-15,361,NC,sci_12mo,
COT,1989-03-15,361,NC,sci_18mo,
COT,1989-03-15,361,NC,sci_24mo,
COT,1989-04-15,295,NC,sci_1mo,-0.838
COT,1989-04-15,295,NC,sci_2mo,-0.317
COT,1989-04-15,295,NC,sci_3mo,-0.466
COT,1989-04-15,295,NC,sci_4mo,-0.707
COT,1989-04-15,295,NC,sci_6mo,-0.428
COT,1989-04-15,295,NC,sci_9mo,
COT,1989-04-15,295,NC,sci_12mo,
COT,1989-04-15,295,NC,sci_18mo,
COT,1989-04-15,295,NC,sci_24mo,
COT,1989-05-15,359,NC,sci_1mo,-0.608
COT,1989-05-15,359,NC,sci_2mo,-1.152
COT,1989-05-15,359,NC,sci_3mo,-0.947
COT,1989-05-15,359,NC,sci_4mo,-0.965
COT,1989-05-15,359,NC,sci_6mo,-1.092
COT,1989-05-15,359,NC,sci_9mo,
COT,1989-05-15,359,NC,sci_12mo,
COT,1989-05-15,359,NC,sci_18mo,
COT,1989-05-15,359,NC,sci_24mo,
COT,1989-06-15,233,NC,sci_1mo,-1.457
COT,1989-06-15,233,NC,sci_2mo,-1.318
COT,1989-06-15,233,NC,sci_3mo,-1.49
COT,1989-06-15,233,NC,sci_4mo,-1.755
COT,1989-06-15,233,NC,sci_6mo,-1.723
COT,1989-06-15,233,NC,sci_9mo,-1.608
COT,1989-06-15,233,NC,sci_12mo,
COT,1989-06-15,233,NC,sci_18mo,
COT,1989-06-15,233,NC,sci_24mo,
COT,1989-07-15,272,NC,sci_1mo,-0.311
COT,1989-07-15,272,NC,sci_2mo,-1.411
COT,1989-07-15,272,NC,sci_3mo,-1.417
COT,1989-07-15,272,NC,sci_4mo,-1.703
COT,1989-07-15,272,NC,sci_6mo,-1.624
COT,1989-07-15,272,NC,sci_9mo,-1.573
COT,1989-07-15,272,NC,sci_12mo,
COT,1989-07-15,272,NC,sci_18mo,
COT,1989-07-15,272,NC,sci_24mo,
COT,1989-08-15,48,NC,sci_1mo,-1.854
COT,1989-08-15,48,NC,sci_2mo,-1.493
COT,1989-08-15,48,NC,sci_3mo,-2.176
COT,1989-08-15,48,NC,sci_4mo,-2.196
COT,1989-08-15,48,NC,sci_6mo,-2.131
COT,1989-08-15,48,NC,sci_9mo,-1.997
COT,1989-08-15,48,NC,sci_12mo,
COT,1989-08-15,48,NC,sci_18mo,
COT,1989-08-15,48,NC,sci_24mo,
COT,1989-09-15,884,NC,sci_1mo,1.715
COT,1989-09-15,884,NC,sci_2mo,0.665
COT,1989-09-15,884,NC,sci_3mo,-0.092
COT,1989-09-15,884,NC,sci_4mo,-0.849
COT,1989-09-15,884,NC,sci_6mo,-1.405
COT,1989-09-15,884,NC,sci_9mo,-1.527
COT,1989-09-15,884,NC,sci_12mo,-1.411
COT,1989-09-15,884,NC,sci_18mo,
COT,1989-09-15,884,NC,sci_24mo,
COT,1989-10-15,242,NC,sci_1mo,-0.079
COT,1989-10-15,242,NC,sci_2mo,1.048
COT,1989-10-15,242,NC,sci_3mo,0.359
COT,1989-10-15,242,NC,sci_4mo,-0.255
COT,1989-10-15,242,NC,sci_6mo,-1.071
COT,1989-10-15,242,NC,sci_9mo,-1.357
COT,1989-10-15,242,NC,sci_12mo,-1.304
COT,1989-10-15,242,NC,sci_18mo,
COT,1989-10-15,242,NC,sci_24mo,
COT,1989-11-15,295,NC,sci_1mo,1.271
COT,1989-11-15,295,NC,sci_2mo,0.366
COT,1989-11-15,295,NC,sci_3mo,1.355
COT,1989-11-15,295,NC,sci_4mo,0.635
COT,1989-11-15,295,NC,sci_6mo,-0.694
COT,1989-11-15,295,NC,sci_9mo,-1.038
COT,1989-11-15,295,NC,sci_12mo,-1.067
COT,1989-11-15,295,NC,sci_18mo,
COT,1989-11-15,295,NC,sci_24mo,
COT,1989-12-15,137,NC,sci_1mo,0.59
COT,1989-12-15,137,NC,sci_2mo,1.113
COT,1989-12-15,137,NC,sci_3mo,0.402
COT,1989-12-15,137,NC,sci_4mo,1.298
COT,1989-12-15,137,NC,sci_6mo,0.048
COT,1989-12-15,137,NC,sci_9mo,-1.031
COT,1989-12-15,137,NC,sci_12mo,-1.017
COT,1989-12-15,137,NC,sci_18mo,
COT,1989-12-15,137,NC,sci_24mo,
COT,1990-01-15,18,NC,sci_1mo,-1.187
COT,1990-01-15,18,NC,sci_2mo,-0.315
COT,1990-01-15,18,NC,sci_3mo,0.721
COT,1990-01-15,18,NC,sci_4mo,0.246
COT,1990-01-15,18,NC,sci_6mo,0.511
COT,1990-01-15,18,NC,sci_9mo,-0.873
COT,1990-01-15,18,NC,sci_12mo,-1.05
COT,1990-01-15,18,NC,sci_18mo,
COT,1990-01-15,18,NC,sci_24mo,
COT,1990-02-15,53,NC,sci_1mo,-0.819
COT,1990-02-15,53,NC,sci_2mo,-1.629
COT,1990-02-15,53,NC,sci_3mo,-0.881
COT,1990-02-15,53,NC,sci_4mo,0.218
COT,1990-02-15,53,NC,sci_6mo,1.005
COT,1990-02-15,53,NC,sci_9mo,-0.907
COT,1990-02-15,53,NC,sci_12mo,-1.176
COT,1990-02-15,53,NC,sci_18mo,
COT,1990-02-15,53,NC,sci_24mo,
COT,1990-03-15,411,NC,sci_1mo,0.942
COT,1990-03-15,411,NC,sci_2mo,0.402
COT,1990-03-15,411,NC,sci_3mo,-0.117
COT,1990-03-15,411,NC,sci_4mo,-0.003
COT,1990-03-15,411,NC,sci_6mo,0.216
COT,1990-03-15,411,NC,sci_9mo,0.019
COT,1990-03-15,411,NC,sci_12mo,-1.033
COT,1990-03-15,411,NC,sci_18mo,-1.087
COT,1990-03-15,411,NC,sci_24mo,
COT,1990-04-15,150,NC,sci_1mo,-1.5
COT,1990-04-15,150,NC,sci_2mo,-0.726
COT,1990-04-15,150,NC,sci_3mo,-1.006
COT,1990-04-15,150,NC,sci_4mo,-1.172
COT,1990-04-15,150,NC,sci_6mo,-0.461
COT,1990-04-15,150,NC,sci_9mo,-0.096
COT,1990-04-15,150,NC,sci_12mo,-1.152
COT,1990-04-15,150,NC,sci_18mo,-1.294
COT,1990-04-15,150,NC,sci_24mo,
COT,1990-05-15,745,NC,sci_1mo,0.34
COT,1990-05-15,745,NC,sci_2mo,-0.363
COT,1990-05-15,745,NC,sci_3mo,-0.143
COT,1990-05-15,745,NC,sci_4mo,-0.351
COT,1990-05-15,745,NC,sci_6mo,-0.535
COT,1990-05-15,745,NC,sci_9mo,0.452
COT,1990-05-15,745,NC,sci_12mo,-1.044
COT,1990-05-15,745,NC,sci_18mo,-1.322
COT,1990-05-15,745,NC,sci_24mo,
COT,1990-06-15,476,NC,sci_1mo,-0.583
COT,1990-06-15,476,NC,sci_2mo,-0.113
COT,1990-06-15,476,NC,sci_3mo,-0.667
COT,1990-06-15,476,NC,sci_4mo,-0.378
COT,1990-06-15,476,NC,sci_6mo,-0.694
COT,1990-06-15,476,NC,sci_9mo,-0.559
COT,1990-06-15,476,NC,sci_12mo,-0.681
COT,1990-06-15,476,NC,sci_18mo,-1.367
COT,1990-06-15,476,NC,sci_24mo,
COT,1990-07-15,719,NC,sci_1mo,0.702
COT,1990-07-15,719,NC,sci_2mo,0.04
COT,1990-07-15,719,NC,sci_3mo,0.094
COT,1990-07-15,719,NC,sci_4mo,-0.257
COT,1990-07-15,719,NC,sci_6mo,-0.174
COT,1990-07-15,719,NC,sci_9mo,-0.077
COT,1990-07-15,719,NC,sci_12mo,-0.151
COT,1990-07-15,719,NC,sci_18mo,-1.015
COT,1990-07-15,719,NC,sci_24mo,
COT,1990-08-15,219,NC,sci_1mo,-0.523
COT,1990-08-15,219,NC,sci_2mo,0.232
COT,1990-08-15,219,NC,sci_3mo,-0.215
COT,1990-08-15,219,NC,sci_4mo,-0.039
COT,1990-08-15,219,NC,sci_6mo,-0.333
COT,1990-08-15,219,NC,sci_9mo,-0.462
COT,1990-08-15,219,NC,sci_12mo,0.055
COT,1990-08-15,219,NC,sci_18mo,-1.07
COT,1990-08-15,219,NC,sci_24mo,
COT,1990-09-15,140,NC,sci_1mo,-0.532
COT,1990-09-15,140,NC,sci_2mo,-1.097
COT,1990-09-15,140,NC,sci_3mo,-0.362
COT,1990-09-15,140,NC,sci_4mo,-0.632
COT,1990-09-15,140,NC,sci_6mo,-0.763
COT,1990-09-15,140,NC,sci_9mo,-0.799
COT,1990-09-15,140,NC,sci_12mo,-0.486
COT,1990-09-15,140,NC,sci_18mo,-1.343
COT,1990-09-15,140,NC,sci_24mo,-1.345
COT,1990-10-15,83,NC,sci_1mo,-0.947
COT,1990-10-15,83,NC,sci_2mo,-1.342
COT,1990-10-15,83,NC,sci_3mo,-1.684
COT,1990-10-15,83,NC,sci_4mo,-0.804
COT,1990-10-15,83,NC,sci_6mo,-0.619
COT,1990-10-15,83,NC,sci_9mo,-1.014
COT,1990-10-15,83,NC,sci_12mo,-0.835
COT,1990-10-15,83,NC,sci_18mo,-1.348
COT,1990-10-15,83,NC,sci_24mo,-1.468
COT,1990-11-15,143,NC,sci_1mo,0.48
COT,1990-11-15,143,NC,sci_2mo,-0.853
COT,1990-11-15,143,NC,sci_3mo,-1.306
COT,1990-11-15,143,NC,sci_4mo,-2.594
COT,1990-11-15,143,NC,sci_6mo,-1.018
COT,1990-11-15,143,NC,sci_9mo,-0.883
COT,1990-11-15,143,NC,sci_12mo,-1.003
COT,1990-11-15,143,NC,sci_18mo,-1.242
COT,1990-11-15,143,NC,sci_24mo,-1.455
