month,mu_1,sigma_1,gamma_1,mu_2,sigma_2,gamma_2,mu_3,sigma_3,gamma_3,mu_4,sigma_4,gamma_4,mu_5,sigma_5,gamma_5,mu_6,sigma_6,gamma_6,mu_9,sigma_9,gamma_9,mu_12,sigma_12,gamma_12,mu_18,sigma_18,gamma_18,mu_24,sigma_24,gamma_24
1,79.7807339449542,47.1470711825433,1.20352033482664,79.3939814814815,37.4185771013375,0.808063282292016,70.3882716049383,29.2395592330921,0.957960639635443,59.405787037037,22.1609956234148,0.899927276074755,50.0327777777778,18.0500174806784,0.946923091875786,43.6396604938272,15.4435862624141,0.835099232409921,35.4710905349794,11.73785436141,0.791807650366506,37.1976851851852,10.6443783045636,0.670795647971146,39.4083073727934,8.8914761115713,0.901364129281379,37.2624221183801,8.22458227729966,0.74073428439204
2,55.2092592592593,39.6113876134259,1.38688510166541,67.2417431192661,33.5855110758613,1.1759647787589,71.2549382716049,27.8765846535391,0.637226327942741,66.5354166666667,24.0115365617057,0.787186513604855,58.52,19.1359464997918,0.725830269948626,50.8567901234568,16.23218119707,0.792790911602842,38.2759259259259,11.8331085022644,0.865013741086203,37.2057098765432,10.332471512107,0.710853716241729,41.806282450675,8.84125020223624,0.716439436054948,37.2450934579439,7.78095448654476,0.639766209899181
3,39.1082568807339,29.9335380420928,1.36107317200838,46.905504587156,25.2546904404091,0.702738445988015,57.8639143730887,25.1139458228638,1.04173977976249,63.2041666666667,22.6891755064946,0.827658196836478,61.0387037037037,20.2315999666936,0.976363604301159,55.2753086419753,16.8614969436309,0.981300478620474,40.8956790123457,11.9530950571115,1.04781014490859,37.1861111111111,10.3234969032254,0.944556560147209,43.2931983385255,9.23846624830378,0.854782488764183,37.235046728972,7.87622346495696,0.777589506821892
4,33.877358490566,28.5412779746517,1.68109278684622,36.0266055045872,22.5090918652443,1.3047567632841,42.2519877675841,19.8522964646678,0.815296950704987,51.6341743119266,20.5152024861496,1.14958788018397,57.1837037037037,19.281978985111,0.943345746895594,56.3825617283951,17.8790230075644,1.08228584140764,43.2187242798354,12.5578601674556,1.20008384465828,37.1975308641975,10.4868881340545,1.1901916907511,43.6670820353063,9.49398369835351,0.940313472448109,37.2439252336449,7.88059593877707,0.912513300812747
5,30.188785046729,23.473322585275,1.56307834018487,31.2899082568807,19.756525693653,1.26360733156976,33.8960244648318,18.088740729199,1.29582795262367,39.0977064220184,17.0095594409477,0.953950911529262,47.2343119266055,18.0413884714673,1.27162668098764,52.6262345679012,17.2935053119664,1.07565579322769,45.237037037037,12.9885847418466,1.3086060011397,37.2063271604938,10.4314197344904,1.31174831801195,42.426220145379,9.38164005933608,0.783526394600873,37.2430295950156,7.77708561449236,0.974514184212582
6,16.5460784313726,13.1701559675591,1.69111736127409,22.7680555555556,14.1119898187672,1.45912133121376,26.0211009174312,14.0181642976462,1.39518762034049,29.2928899082569,13.8686487228375,1.25756002233463,34.3748623853211,14.1831632817689,0.964840430180368,41.94250764526,15.5268462081113,1.25809274710349,45.5538065843622,13.034751628679,1.22861777368981,37.1994598765432,10.3581528975007,1.23258236913389,38.8175411522634,9.26130360666371,0.813542329307323,37.2357866043614,7.84029054551569,0.998922731665824
7,12.5641509433962,10.3038156521898,1.64533839313507,13.8509174311927,9.49744858681707,1.60783017742841,19.1122324159021,10.6204122304087,1.29866285968157,22.5704128440367,11.0334076044026,1.23092432003369,25.8779816513761,11.4517289390464,1.25843105923116,30.6821100917431,12.1968220805085,1.00453251814819,43.958024691358,13.1210444504445,1.20164968524046,37.1912808641975,10.2840190066518,1.25129080417166,35.0460905349794,8.67110993910324,0.835035597319637,37.2353193146417,7.75594909236122,0.967270317917954
8,12.4911764705882,10.5982149122432,1.83493728487082,11.9536697247706,8.46089090818211,1.52815898991745,13.1302752293578,7.94294248919008,1.34012326030238,17.2564220183486,8.97999597540785,1.16586290186404,20.394128440367,9.31168182307582,1.12125114852592,23.5131498470948,9.87703079937222,1.1974133803125,39.4413580246914,12.2302277785273,1.06996701785075,37.1956790123457,10.1133054698487,1.23091445969695,32.6486625514403,8.1505355818612,0.944390424641678,37.2426012461059,7.6394587544362,0.852151607867913
9,13.0733333333333,10.6671255522974,1.84157579660529,12.1412844036697,7.91451023957573,1.39799154618969,12.1669724770642,6.88541279892631,1.21711953197186,12.9961009174312,6.66854106703017,1.02464839423871,16.3238532110092,7.83457244333197,0.983155989494985,19.0940366972477,8.21450449037661,0.931430290039099,32.0173292558614,10.7722106126859,1.11968254525151,37.2007716049383,10.1453855488521,1.11000077331372,31.1661522633745,8.05777924959461,1.00747536021728,37.2548676012461,7.64206744561342,0.848810850728245
10,26.9299065420561,18.1741627272207,1.12554301834838,19.5146788990826,11.6260625789625,1.25536880058586,16.9061162079511,8.73662289999375,1.41518152237633,15.7341743119266,7.08776609979063,1.3091698436906,15.6840366972477,6.55570167830572,1.11899767335819,18.0091743119266,7.25297651911844,1.09162038723038,26.0901121304791,8.64488471168225,0.873210911296548,37.1996913580247,10.388863692446,1.16253081057004,30.8039609053498,8.01635375126912,1.12976640999514,37.2646806853583,7.7651746280132,0.896793295471509
