sta,name,longitude,latitude,elevation,group,mindate,maxdate,datacoverage,type,sta_id,elevationUnit
AIN,"AINSWORTH, NE US",-99.8555,42.5522,765,SE,1905-11-01,2019-10-19,1,GHCND,USC00250050,METERS
EDG,"EDGEMONT, SD US",-103.82151,43.31359,1046.1,SW,1948-08-01,2019-10-20,1,GHCND,USC00392557,METERS
ELM,"ELM SPRINGS 3 ESE, SD US",-102.4683,44.3186,806.2,NW,1923-03-01,2019-10-20,1,GHCND,USC00392647,METERS
FME,"FORT MEADE, SD US",-103.47683,44.41066,1008.3,NW,1902-01-01,2019-10-19,1,GHCND,USC00393069,METERS
HOT,"HOT SPRINGS, SD US",-103.4738,43.4377,1085.1,SW,1894-02-01,2019-10-19,1,GHCND,USC00394007,METERS
KEN,"KENNEBEC, SD US",-99.8582,43.9024,512.4,NE,1893-01-01,2019-10-18,1,GHCND,USC00394516,METERS
MIL,"MILESVILLE 5 NE, SD US",-101.6184,44.5171,681.8,NC,1911-08-01,2019-10-08,1,GHCND,USC00395544,METERS
MIS,"MISSION 14 S, SD US",-100.6111,43.1123,856.5,SE,1951-08-01,2019-10-20,1,GHCND,USC00395638,METERS
NEW,"NEWELL, SD US",-103.42584,44.71371,871.7,NW,1920-09-01,2019-10-14,1,GHCND,USC00396054,METERS
ORA,"ORAL, SD US",-103.2683,43.4033,902.2,SW,1971-05-01,2019-10-10,1,GHCND,USC00396304,METERS
PIE,"PIERRE REGIONAL AIRPORT, SD US",-100.2855,44.3813,531,NE,1893-01-01,2019-10-19,1,GHCND,USW00024025,METERS
RAP,"RAPID CITY REGIONAL AIRPORT, SD US",-103.0536,44.0433,963.2,NW,1948-05-01,2019-10-19,1,GHCND,USW00024090,METERS
RED,"RED OWL, SD US",-102.5608,44.6981,845.2,NW,1951-08-01,2019-10-16,1,GHCND,USC00397073,METERS
VAL,"VALENTINE MILLER FIELD, NE US",-100.55,42.8783,789.4,SE,1948-01-01,2019-10-19,1,GHCND,USW00024032,METERS
