sta,date,prcp
COT,1959-01-15,135
COT,1960-01-15,161
COT,1961-01-15,20
COT,1962-01-15,53
COT,1963-01-15,97
COT,1964-01-15,35
COT,1965-01-15,89
COT,1966-01-15,56
COT,1967-01-15,61
COT,1968-01-15,79
COT,1969-01-15,44
COT,1970-01-15,122
COT,1971-01-15,152
COT,1972-01-15,30
COT,1973-01-15,77
COT,1974-01-15,16
COT,1975-01-15,365
COT,1976-01-15,81
COT,1977-01-15,75
COT,1978-01-15,0
COT,1979-01-15,87
COT,1980-01-15,21
COT,1981-01-15,11
COT,1982-01-15,110
COT,1983-01-15,31
COT,1984-01-15,5
COT,1985-01-15,149
COT,1986-01-15,134
COT,1987-01-15,23
COT,1988-01-15,92
COT,1989-01-15,21
COT,1990-01-15,18
COT,1991-01-15,44
COT,1992-01-15,219
COT,1993-01-15,89
COT,1994-01-15,87
COT,1995-01-15,62
COT,1996-01-15,204
COT,1997-01-15,325
COT,1998-01-15,87
COT,1999-01-15,170
COT,2000-01-15,130
COT,2001-01-15,173
COT,2002-01-15,56
COT,2003-01-15,84
COT,2004-01-15,79
COT,2005-01-15,111
COT,2006-01-15,81
COT,2007-01-15,11
COT,2008-01-15,67
COT,2009-01-15,98
COT,2010-01-15,79
COT,2011-01-15,113
COT,2012-01-15,59
COT,2013-01-15,223
COT,2014-01-15,15
COT,2015-01-15,0
COT,2016-01-15,31
COT,2017-01-15,224
COT,2018-01-15,86
COT,1959-02-15,236
COT,1960-02-15,139
COT,1961-02-15,33
COT,1962-02-15,154
COT,1963-02-15,54
COT,1964-02-15,12
COT,1965-02-15,11
COT,1966-02-15,114
COT,1967-02-15,57
COT,1968-02-15,34
COT,1969-02-15,267
COT,1970-02-15,97
COT,1971-02-15,203
COT,1972-02-15,94
COT,1973-02-15,26
COT,1974-02-15,39
COT,1975-02-15,86
COT,1976-02-15,85
COT,1977-02-15,48
COT,1978-02-15,186
COT,1979-02-15,150
COT,1980-02-15,76
COT,1981-02-15,15
COT,1982-02-15,28
COT,1983-02-15,8
COT,1984-02-15,33
COT,1985-02-15,3
COT,1986-02-15,168
COT,1987-02-15,620
COT,1988-02-15,206
COT,1989-02-15,115
COT,1990-02-15,53
COT,1991-02-15,346
COT,1992-02-15,199
COT,1993-02-15,279
COT,1994-02-15,145
COT,1995-02-15,222
COT,1996-02-15,36
COT,1997-02-15,181
COT,1998-02-15,138
COT,1999-02-15,36
COT,2000-02-15,173
COT,2001-02-15,297
COT,2002-02-15,48
