group,sta,date,prcp,yr,Period
COT<1989,COT,1988-09-15,143,1988,<1989
GOR<1989,GOR,1988-09-15,422,1988,<1989
MIS<1989,MIS,1988-09-15,398,1988,<1989
OEL<1989,OEL,1988-09-15,351,1988,<1989
ONI<1989,ONI,1988-09-15,172,1988,<1989
RAP<1989,RAP,1988-09-15,143,1988,<1989
COT<1989,COT,1988-10-15,140,1988,<1989
GOR<1989,GOR,1988-10-15,61,1988,<1989
MIS<1989,MIS,1988-10-15,41,1988,<1989
OEL<1989,OEL,1988-10-15,58,1988,<1989
ONI<1989,ONI,1988-10-15,44,1988,<1989
RAP<1989,RAP,1988-10-15,193,1988,<1989
COT<1989,COT,1988-11-15,153,1988,<1989
GOR<1989,GOR,1988-11-15,104,1988,<1989
MIS<1989,MIS,1988-11-15,127,1988,<1989
OEL<1989,OEL,1988-11-15,232,1988,<1989
ONI<1989,ONI,1988-11-15,163,1988,<1989
RAP<1989,RAP,1988-11-15,207,1988,<1989
COT<1989,COT,1988-12-15,130,1988,<1989
GOR<1989,GOR,1988-12-15,144,1988,<1989
MIS<1989,MIS,1988-12-15,103,1988,<1989
OEL<1989,OEL,1988-12-15,63,1988,<1989
ONI<1989,ONI,1988-12-15,223,1988,<1989
RAP<1989,RAP,1988-12-15,119,1988,<1989
COT>1989,COT,1989-01-15,21,1989,>1989
GOR>1989,GOR,1989-01-15,0,1989,>1989
MIS>1989,MIS,1989-01-15,0,1989,>1989
OEL>1989,OEL,1989-01-15,0,1989,>1989
ONI>1989,ONI,1989-01-15,50,1989,>1989
RAP>1989,RAP,1989-01-15,6,1989,>1989
COT>1989,COT,1989-02-15,115,1989,>1989
GOR>1989,GOR,1989-02-15,167,1989,>1989
MIS>1989,MIS,1989-02-15,104,1989,>1989
OEL>1989,OEL,1989-02-15,82,1989,>1989
ONI>1989,ONI,1989-02-15,199,1989,>1989
RAP>1989,RAP,1989-02-15,89,1989,>1989
COT>1989,COT,1989-03-15,361,1989,>1989
GOR>1989,GOR,1989-03-15,183,1989,>1989
MIS>1989,MIS,1989-03-15,213,1989,>1989
OEL>1989,OEL,1989-03-15,276,1989,>1989
ONI>1989,ONI,1989-03-15,402,1989,>1989
