sta,month,mean,med,IQR,min,max
COT,1,10.2068965517241,8.4,7.4,0,32.5
COT,2,13.9793103448276,12.1,12.8,1.3,40.1
COT,3,25.5931034482759,27.4,23.5,0.5,69.3
COT,4,48.1620689655173,48.2,31.8,6,91.6
COT,5,69.5620689655172,59.2,54.4,8,175.2
COT,6,80.2862068965517,63.8,56.9,8.9,198.7
COT,7,52.2241379310345,32.8,52.4,5.6,163.8
COT,8,39.8137931034483,35.4,37.5,2.9,94.8
COT,9,33.4586206896552,22.9,30.8,0,100.5
COT,10,37.1241379310345,28.9,30.8,0.5,175.9
COT,11,14.2172413793103,13.4,12.3,0.6,52.1
COT,12,10.8172413793103,8.9,11,0,37.4
GOR,1,12.3793103448276,10,11.7,0,37.6
GOR,2,15.3172413793103,14,10.5,0,35.8
GOR,3,29.4,24.7,25.9,4.1,79.9
GOR,4,57.9206896551724,60.6,25.8,4.6,111.7
GOR,5,80.1965517241379,77.2,59.3,10.6,186.8
GOR,6,94.3965517241379,109.5,90.1,15.6,165.6
GOR,7,62.8827586206897,60.5,57.2,5.1,139.2
GOR,8,48.0620689655173,47.7,26.6,9.9,139.4
GOR,9,42.4103448275862,31.2,43.4,6.6,117.9
GOR,10,40.7724137931035,29.9,40.7,6.1,119.9
GOR,11,17.1965517241379,13.8,13.5,0,50.5
GOR,12,11.7448275862069,11.4,10.5,0,35.3
MIS,1,9.3551724137931,7,8.7,0,25.9
MIS,2,16.9827586206897,14.3,9.7,3.1,56.5
MIS,3,25.8068965517241,21.4,22.4,2.8,75.5
MIS,4,67.248275862069,60.2,56.6,16,157.8
MIS,5,89.5034482758621,82,74.2,8.5,198.3
MIS,6,94.3172413793103,96.1,69.5,11.3,204.2
MIS,7,71.9689655172414,56.1,70,11.7,203.9
MIS,8,55.8862068965517,49.1,33.2,13.9,216.9
MIS,9,45.3103448275862,36.6,34.5,5.1,128
MIS,10,40.4551724137931,31.9,35.4,3.5,132.8
MIS,11,17.9068965517241,18.8,15.9,0,44.4
MIS,12,14.1344827586207,12.5,14.4,0,39
ONI,1,13.7551724137931,13,11.8,3.2,44.9
ONI,2,19.6793103448276,18.8,16.4,2.1,38.6
ONI,3,25.548275862069,22.7,18.2,2.1,78.7
ONI,4,52.0172413793104,50.9,36.8,11.4,133.9
ONI,5,78.0689655172414,73,59,15.6,159.2
ONI,6,89.5172413793104,84.2,67.1,24.1,164.3
ONI,7,60.8310344827586,66.8,44.6,7.4,114
ONI,8,61.1758620689655,51,50.3,16.6,149.9
ONI,9,47.651724137931,35.9,27.8,0.5,194
ONI,10,47.2413793103448,34.3,48.7,2.9,179.6
ONI,11,16.7103448275862,14.4,18.9,0.3,44.5
ONI,12,15.1241379310345,11.1,13.1,3.3,41.8
ORA,1,9.48275862068965,8.9,9.8,0,25.6
ORA,2,13.0724137931034,10.9,10.9,0,35.4
ORA,3,23.1586206896552,17.2,19.4,1.8,57.1
ORA,4,52.2103448275862,49.2,24.9,5.1,116.1
ORA,5,80.6586206896552,65,54.4,31.4,214.2
ORA,6,77.0413793103448,72.3,81.1,18.6,181.5
ORA,7,56.2413793103448,52.1,33,2.6,192.2
ORA,8,48.9172413793104,41.9,47.3,3.3,130.1
ORA,9,37.9965517241379,32.8,29.6,1.5,105.7
ORA,10,32.1034482758621,26.3,20,0,133.4
ORA,11,12.6965517241379,12.6,9.3,0,56.4
ORA,12,10.5068965517241,8.3,11.1,0,38.4
RAP,1,7.7448275862069,6.1,4.7,0.6,21.7
RAP,2,11.2758620689655,8.9,11.2,0.6,31.7
RAP,3,22.2310344827586,23.4,14.5,1.3,52.7
RAP,4,52.5620689655172,52,41,7.2,122
RAP,5,83.9172413793103,62.7,82.8,21.4,208
RAP,6,68.4379310344828,55.3,59.3,10.8,181
RAP,7,49.5620689655172,47.5,44.8,12.3,109.7
RAP,8,40.6103448275862,37.7,28.2,11.7,102.2
RAP,9,31.7448275862069,23.2,20.4,3.5,80.6
RAP,10,34.8551724137931,23,24.2,2.8,142.5
RAP,11,10.7793103448276,10.9,7.8,0.3,28.8
RAP,12,9.42413793103448,7.4,11.5,0,37.3
