sta,year,mean,med,IQR,min,max
COT,1989,27,25.7,17.95,2.1,88.4
COT,1990,27.2416666666667,14.65,32.25,1.8,74.5
COT,1991,45.1916666666667,27,36.9,1.8,173.4
COT,1992,38.9833333333333,24.7,20.475,0.5,145.7
COT,1993,43.85,31.65,39.35,7.7,120
COT,1994,29.8083333333333,19.35,38.525,6.4,77
COT,1995,37.1,26.1,38.575,2.6,132.4
COT,1996,43.0333333333333,28.6,35.375,3.6,129.7
COT,1997,55.3666666666667,39.7,56.825,1.6,163.8
COT,1998,46.0416666666667,40.4,67.175,3.8,94.8
COT,1999,34.0416666666667,18.05,55.975,3.4,102.9
COT,2000,30.5583333333333,27.55,22.4,5.2,91.2
COT,2001,36.075,26.2,28.55,0,116.6
COT,2002,26.8166666666667,25.4,30.4,0.6,88
COT,2003,23.425,17.05,23.85,2.2,51.3
COT,2004,27.85,23.9,36.025,1.1,100.5
COT,2005,34.6666666666667,25.35,23.75,1.3,104.6
COT,2006,26.4833333333333,14.05,36.65,8.1,60.7
COT,2007,29.75,33.25,31.3,0.6,59.4
COT,2008,47.6333333333333,31.95,48.5,6.7,141.1
COT,2009,36.3,29.9,43.75,3.8,99
COT,2010,44.0916666666667,28.75,62.3,7.9,101.9
COT,2011,53.0583333333333,33.55,49.65,3.8,198.7
COT,2012,25.3583333333333,16.15,28.6,0,114.9
COT,2013,47.7583333333333,21.1,60.3,5.4,175.9
COT,2014,32.2,17,47.125,1.5,104.5
COT,2015,49.4916666666667,23.65,31.175,0,175.2
COT,2016,25.5083333333333,20.55,25.6,2.9,79.3
COT,2017,27.6416666666667,23.55,24.75,2.8,79.9
GOR,1989,29.3166666666667,18.55,25.1,0,117.9
GOR,1990,41.45,40.55,41.1,1.3,90.2
GOR,1991,41.3416666666667,38.45,44.6,0,141.2
GOR,1992,40.425,25.55,38.075,4.6,132.8
GOR,1993,56.5833333333333,46.3,33.8,18.5,153.7
GOR,1994,29.4916666666667,18.7,31.825,9.9,78.5
GOR,1995,52.1166666666667,23.8,49.975,1.8,165.6
GOR,1996,41.5333333333333,40.4,44.625,0,121.2
GOR,1997,50.75,35.3,63.15,7.2,139.2
GOR,1998,53.85,36.15,72.7,4.3,127.4
GOR,1999,45.275,19.25,65.65,5.7,134.5
GOR,2000,42.6833333333333,26.65,27.8,10.2,122.7
GOR,2001,43.25,23.6,37.1,0,145.1
GOR,2002,27.2,18.45,29.825,0,90.7
GOR,2003,38.5166666666667,25.15,33.175,4.9,152.9
GOR,2004,35.875,34.5,40.75,1.3,79.6
GOR,2005,40.3083333333333,21.3,54.6,1.1,153
GOR,2006,37.525,31.15,48.525,9.2,81
GOR,2007,31.1916666666667,21.5,35,0,82.4
GOR,2008,46.3,43.65,57.775,0.5,91.4
GOR,2009,45.7,30,55.475,7.1,109.5
GOR,2010,47.9166666666667,31.25,56.8,7.6,131.6
GOR,2011,56.9166666666667,40.35,35.275,7.8,176.6
GOR,2012,23.5083333333333,16.75,12.825,8.2,68.2
GOR,2013,55.95,35.65,67.375,12,139.4
