date,site,id,watershed,ecoregion
1993-07-13,AMH1,amh1a7,MER,Great Plains
1993-06-30,BEA1,bea1a6,BEL,Great Plains
1993-06-30,BEA3,bea3a6,BEL,Great Plains
1993-06-30,BEL1,bel1a6,BEL,Great Plains
1993-07-02,BLP1,blp1a7,PAS,Great Plains
1993-07-02,BUZ1,buz1a7,PAS,Great Plains
1993-06-01,CRA1,cra1a6,PAS,Great Plains
1993-06-23,LOD1,lod1a6,MER,Great Plains
1993-06-15,LWR1,lwr1a6,LWR,Sandhills
1993-06-16,LWR2,lwr2a6,LWR,Sandhills
1993-06-16,LWR3,lwr3a6,LWR,Sandhills
1993-06-16,LWR4,lwr4a6,LWR,Sandhills
1993-07-01,MER1,mer1a7,MER,Great Plains
1993-07-19,MER3,mer3a7,MER,Badlands
1993-07-01,NFL1,nfl1a7,MER,Great Plains
1993-07-02,PAS1,pas1a7,PAS,Great Plains
1993-06-14,PAS2,pas2a6,PAS,Great Plains
1993-08-03,PAS3,pas3a8,PAS,Badlands
1993-06-16,POR1,por1a6,WOK,Great Plains
1993-06-16,POR2,por2a6,WOK,Great Plains
1993-07-07,POR3,por3a7,WOK,Badlands
1993-07-06,POT1,pot1a7,BEL,Great Plains
1993-07-19,RED1,red1a7,MER,Great Plains
1993-07-11,WCC1,wcc1a6,upper WHR,Great Plains
1993-06-20,WCC2,wcc2a6,upper WHR,Great Plains
1993-07-11,WHI1,whi1a7,upper WHR,River
1993-07-14,WHI2,whi2a7,WOK,River
1993-08-03,WHI4,whi4a8,,
1993-06-15,WOK1,wok1a6,WOK,Sandhills
1993-07-11,WOK2,wok2a7,WOK,Great Plains
1993-06-04,WOK3,wok3a6,WOK,Great Plains
1993-06-04,WOK4,wok4a6,WOK,Badlands
1993-06-04,WOL1,wol1a6,upper WHR,Sandhills
1994-06-15,AMH1,amh1b6,MER,Great Plains
1994-06-14,BEA1,bea1b6,BEL,Great Plains
1994-06-16,BEA2,bea2b6,BEL,Great Plains
1994-06-16,BEL1,bel1b6,BEL,Great Plains
1994-06-27,BEL2,bel2b6,BEL,Great Plains
1994-07-12,BLP1,blp1b7,PAS,Great Plains
1994-07-19,CHE1,che1b7,CHR,Great Plains
1994-07-05,COR1,cor1b7,PAS,Great Plains
1994-06-27,CRA1,cra1b6,PAS,Great Plains
1994-07-05,EAN1,ean1b7,BEL,Great Plains
1994-07-25,LON1,lon1b7,PAS,Great Plains
1994-05-24,LWR1,lwr1b5,LWR,Sandhills
1994-07-15,MER1,mer1b7,MER,Great Plains
1994-06-23,NFL1,nfl1b6,MER,Great Plains
1994-06-27,NFL1,nfl1b7,MER,Great Plains
1994-07-15,PAS2,pas2b7,PAS,Great Plains
1994-07-21,PAS3,pas3b7,PAS,Badlands
1994-07-26,POR1,por1b7,WOK,Great Plains
1994-06-21,POR2,por2b6,WOK,Great Plains
1994-05-05,POR3,por3b5,WOK,Badlands
1994-06-21,POT1,pot1b6,BEL,Great Plains
1994-08-25,RED1,red1b8,MER,Great Plains
1994-06-14,WCC2,wcc2b6,upper WHR,Great Plains
1994-06-13,WHI1,whi1b6,upper WHR,River
1994-05-25,WHI2,whi2b5,WOK,River
1994-05-23,WOK1,wok1b5,WOK,Sandhills
1994-06-01,WOK2,wok2b6,WOK,Great Plains
1994-07-26,WOK3,wok3b7,WOK,Great Plains
1994-05-25,WOK4,wok4b5,WOK,Badlands
1994-05-25,WOL1,wol1b5,upper WHR,Sandhills
1995-08-22,POR1,por1c8,WOK,Great Plains
1996-07-23,AMH1,amh1d7,MER,Great Plains
1996-07-18,BEA1,bea1d7,BEL,Great Plains
1996-07-25,BEA2,bea2d7,BEL,Great Plains
1996-08-19,BEA3,bea3d8,BEL,Great Plains
1996-08-14,BEL1,bel1d8,BEL,Great Plains
1996-08-19,BEL2,bel2d8,BEL,Great Plains
1996-08-13,BLP1,blp1d8,PAS,Great Plains
1996-08-13,BUZ1,buz1d8,PAS,Great Plains
1996-08-30,CHE1,che1d8,CHR,Great Plains
1996-07-30,COR1,cor1d7,PAS,Great Plains
1996-08-20,CRA1,cra1d8,PAS,Great Plains
1996-08-19,EAN1,ean1d8,BEL,Great Plains
1996-08-14,EAN2,ean2d8,BEL,Badlands
1996-07-24,LOD1,lod1d7,MER,Great Plains
1996-08-26,LWR1,lwr1d8,LWR,Sandhills
1996-07-18,LWR2,lwr2d7,LWR,Sandhills
1996-07-25,LWR3,lwr3d7,LWR,Sandhills
1996-07-25,LWR4,lwr4d7,LWR,Sandhills
1996-08-12,MER1,mer1d8,MER,Great Plains
1996-07-22,MER3,mer3d7,MER,Badlands
1996-08-26,NFL1,nfl1d8,MER,Great Plains
1996-08-13,PAS1,pas1d8,PAS,Great Plains
1996-08-13,PAS2,pas2d8,PAS,Great Plains
1996-08-22,PAS3,pas3d8,PAS,Badlands
1996-07-16,POR2,por2d7,WOK,Great Plains
1996-07-24,POT1,pot1d7,BEL,Great Plains
1996-07-24,RED1,red1d7,MER,Great Plains
1996-07-02,WCC1,wcc1d7,upper WHR,Great Plains
1996-07-02,WCC2,wcc2d7,upper WHR,Great Plains
1996-07-15,WCC3,wcc3d7,upper WHR,NW Great Plains
1996-07-08,WHI1,whi1d7,upper WHR,River
